,Outliers,Cluster
0,0,-1
1,0,-1
2,1,21
3,0,-1
4,0,-1
5,1,9
6,1,3
7,1,9
8,0,9
9,0,-1
10,0,-1
11,0,-1
12,1,3
13,1,9
14,0,9
15,0,9
16,1,9
17,0,9
18,0,9
19,0,9
20,0,9
21,0,9
22,0,9
23,0,9
24,0,9
25,1,9
26,0,9
27,1,9
28,0,-1
29,0,9
30,0,9
31,1,9
32,1,9
33,0,9
34,0,9
35,0,-1
36,1,9
37,0,-1
38,0,-1
39,0,-1
40,1,3
41,0,-1
42,0,-1
43,0,9
44,0,-1
45,0,-1
46,0,-1
47,0,-1
48,0,9
49,0,9
50,0,9
51,0,-1
52,1,9
53,0,-1
54,0,20
55,0,20
56,0,20
57,0,20
58,0,21
59,0,21
60,0,-1
61,0,20
62,1,21
63,0,21
64,0,-1
65,0,20
66,0,20
67,0,21
68,0,21
69,0,20
70,0,-1
71,0,-1
72,0,20
73,0,21
74,0,21
75,0,21
76,0,21
77,0,-1
78,0,20
79,0,20
80,0,20
81,0,20
82,0,20
83,0,20
84,1,21
85,0,20
86,0,-1
87,0,20
88,0,9
89,0,-1
90,0,-1
91,0,21
92,0,21
93,0,21
94,0,21
95,0,21
96,0,21
97,0,21
98,0,21
99,0,20
100,0,20
101,0,20
102,0,-1
103,0,21
104,0,20
105,0,-1
106,0,-1
107,0,-1
108,1,21
109,0,21
110,0,0
111,0,0
112,0,0
113,0,0
114,0,21
115,1,21
116,0,21
117,0,21
118,0,-1
119,1,21
120,1,21
121,0,-1
122,0,-1
123,0,-1
124,0,0
125,0,-1
126,1,21
127,1,21
128,1,21
129,0,-1
130,1,21
131,1,21
132,0,20
133,1,21
134,1,23
135,1,21
136,0,1
137,1,21
138,1,21
139,1,21
140,1,3
141,0,-1
142,0,-1
143,0,-1
144,1,1
145,0,-1
146,0,21
147,0,-1
148,0,-1
149,0,20
150,0,-1
151,0,-1
152,0,21
153,0,21
154,0,26
155,0,0
156,0,21
157,0,21
158,0,21
159,0,21
160,0,20
161,0,21
162,0,21
163,0,21
164,0,-1
165,0,-1
166,0,25
167,0,-1
168,0,25
169,0,20
170,0,25
171,0,25
172,0,28
173,0,-1
174,0,-1
175,0,-1
176,0,29
177,0,-1
178,0,-1
179,0,21
180,0,-1
181,0,25
182,0,25
183,0,31
184,0,-1
185,0,-1
186,0,-1
187,0,-1
188,0,-1
189,0,21
190,0,20
191,1,21
192,0,-1
193,0,4
194,0,30
195,0,21
196,0,-1
197,0,21
198,0,25
199,0,25
200,0,25
201,0,25
202,0,25
203,0,-1
204,0,25
205,0,25
206,0,25
207,0,25
208,0,-1
209,0,25
210,0,-1
211,0,28
212,0,-1
213,0,27
214,0,25
215,0,25
216,0,25
217,0,25
218,0,28
219,0,29
220,0,25
221,0,25
222,0,25
223,0,25
224,0,25
225,0,3
226,0,3
227,0,4
228,1,3
229,0,3
230,0,27
231,0,18
232,0,3
233,1,3
234,1,3
235,0,3
236,0,3
237,0,-1
238,0,3
239,0,3
240,0,-1
241,0,3
242,0,18
243,0,3
244,0,3
245,0,3
246,0,18
247,0,3
248,0,3
249,0,3
250,0,3
251,0,11
252,0,-1
253,0,3
254,0,3
255,0,3
256,0,18
257,0,3
258,0,3
259,0,3
260,0,3
261,0,3
262,0,3
263,0,3
264,0,18
265,0,3
266,0,3
267,0,3
268,0,3
269,0,3
270,0,0
271,0,3
272,0,18
273,0,25
274,0,-1
275,0,3
276,0,27
277,0,25
278,0,27
279,1,-1
280,0,18
281,0,3
282,0,3
283,0,3
284,0,3
285,1,3
286,0,3
287,0,3
288,0,3
289,0,27
290,0,27
291,0,25
292,0,27
293,0,4
294,1,18
295,0,4
296,0,3
297,0,3
298,0,3
299,0,-1
300,0,3
301,0,4
302,0,3
303,0,3
304,0,3
305,0,18
306,0,18
307,0,25
308,0,4
309,0,18
310,0,4
311,0,-1
312,1,-1
313,0,18
314,1,18
315,0,-1
316,0,18
317,1,8
318,0,4
319,0,-1
320,0,31
321,0,18
322,0,7
323,0,3
324,0,7
325,0,4
326,0,18
327,0,-1
328,0,-1
329,0,-1
330,0,-1
331,0,-1
332,0,12
333,0,18
334,0,19
335,1,17
336,0,18
337,0,3
338,0,-1
339,1,3
340,0,3
341,1,18
342,0,18
343,0,3
344,0,3
345,0,4
346,0,31
347,0,4
348,0,-1
349,0,-1
350,0,-1
351,0,-1
352,0,4
353,0,-1
354,0,-1
355,0,28
356,0,-1
357,0,-1
358,0,29
359,0,22
360,0,4
361,0,-1
362,0,-1
363,0,4
364,0,11
365,0,27
366,0,11
367,0,11
368,0,4
369,0,-1
370,0,-1
371,0,27
372,0,29
373,0,-1
374,0,-1
375,0,29
376,0,-1
377,0,29
378,0,27
379,0,-1
380,0,4
381,0,4
382,0,-1
383,0,4
384,0,11
385,1,11
386,0,4
387,0,18
388,0,18
389,0,-1
390,0,4
391,0,-1
392,0,4
393,0,-1
394,0,-1
395,0,-1
396,0,11
397,0,-1
398,0,3
