name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetaceae	2062	F	1449576	291889	1741465	0.13757
Microbacteriaceae	85023	F	318005	42277	360282	0.02846
Micrococcaceae	1268	F	194621	41330	235951	0.01864
Intrasporangiaceae	85021	F	63198	14921	78119	0.00617
Cellulomonadaceae	85016	F	61742	19038	80780	0.00638
Promicromonosporaceae	85017	F	29935	10771	40706	0.00322
Ornithinimicrobiaceae	2805590	F	25592	5027	30619	0.00242
Dermabacteraceae	85020	F	17736	3189	20925	0.00165
Brevibacteriaceae	85019	F	17456	3348	20804	0.00164
Dermacoccaceae	145357	F	13416	2911	16327	0.00129
Bogoriellaceae	145358	F	12287	3475	15762	0.00125
Ruaniaceae	1331736	F	10622	10646	21268	0.00168
Beutenbergiaceae	125316	F	7219	2163	9382	0.00074
Sanguibacteraceae	145360	F	5104	1490	6594	0.00052
Dermatophilaceae	85018	F	2401	217	2618	0.00021
Kytococcaceae	2805426	F	2171	751	2922	0.00023
Mycobacteriaceae	1762	F	364550	45393	409943	0.03238
Nocardiaceae	85025	F	184501	32305	216806	0.01713
Corynebacteriaceae	1653	F	47339	10767	58106	0.00459
Gordoniaceae	85026	F	41585	9377	50962	0.00403
Tsukamurellaceae	85028	F	12699	2938	15637	0.00124
Dietziaceae	85029	F	7345	7029	14374	0.00114
Segniliparaceae	316606	F	1088	55	1143	0.00009
Pseudonocardiaceae	2070	F	560166	76715	636881	0.05031
Nocardioidaceae	85015	F	437792	83434	521226	0.04117
Propionibacteriaceae	31957	F	57023	11726	68749	0.00543
Kribbellaceae	2726069	F	40146	5632	45778	0.00362
Actinopolymorphaceae	2805400	F	11595	1227	12822	0.00101
Micromonosporaceae	28056	F	378400	47249	425649	0.03362
Thermomonosporaceae	2012	F	147221	27212	174433	0.01378
Streptosporangiaceae	2004	F	105194	16142	121336	0.00959
Nocardiopsaceae	83676	F	31538	4812	36350	0.00287
Geodermatophilaceae	85030	F	86684	20425	107109	0.00846
Frankiaceae	74712	F	30652	2879	33531	0.00265
Actinomycetaceae	2049	F	29645	4092	33737	0.00267
Jiangellaceae	1217100	F	17321	2848	20169	0.00159
Nakamurellaceae	85031	F	14667	1915	16582	0.00131
Bifidobacteriaceae	31953	F	11705	2730	14435	0.00114
Catenulisporaceae	414877	F	9636	1317	10953	0.00087
Jatrophihabitantaceae	2805416	F	8184	670	8854	0.00070
Glycomycetaceae	85034	F	4294	323	4617	0.00036
Kineosporiaceae	83778	F	3857	999	4856	0.00038
Sporichthyaceae	85033	F	2454	1103	3557	0.00028
Actinopolysporaceae	622451	F	2111	202	2313	0.00018
Acidothermaceae	85032	F	1398	67	1465	0.00012
Conexibacteraceae	320583	F	103298	13897	117195	0.00926
Miltoncostaeaceae	2843199	F	24591	3009	27600	0.00218
Baekduiaceae	2600303	F	38057	5986	44043	0.00348
Rubrobacteraceae	84997	F	17953	741	18694	0.00148
Iamiaceae	633392	F	39112	4662	43774	0.00346
Ilumatobacteraceae	2448023	F	4219	253	4472	0.00035
Acidimicrobiaceae	84994	F	1553	118	1671	0.00013
Eggerthellaceae	1643826	F	10150	1529	11679	0.00092
Atopobiaceae	1643824	F	4879	1021	5900	0.00047
Coriobacteriaceae	84107	F	2162	493	2655	0.00021
Egibacteraceae	1747769	F	4082	219	4301	0.00034
Egicoccaceae	1755824	F	3761	529	4290	0.00034
Euzebyaceae	908622	F	3619	269	3888	0.00031
Bacillaceae	186817	F	85164	93056	178220	0.01408
Paenibacillaceae	186822	F	55127	4427	59554	0.00470
Alicyclobacillaceae	186823	F	4989	780	5769	0.00046
Planococcaceae	186818	F	2820	721	3541	0.00028
Thermoactinomycetaceae	186824	F	1637	176	1813	0.00014
Staphylococcaceae	90964	F	1181	4574	5755	0.00045
Lactobacillaceae	33958	F	3207	998	4205	0.00033
Streptococcaceae	1300	F	1176	637	1813	0.00014
Oscillospiraceae	216572	F	7294	2658	9952	0.00079
Clostridiales Family XVII. Incertae Sedis	539000	F	5463	1276	6739	0.00053
Lachnospiraceae	186803	F	2561	809	3370	0.00027
Clostridiaceae	31979	F	2437	401	2838	0.00022
Symbiobacteriaceae	543349	F	2147	168	2315	0.00018
Peptococcaceae	186807	F	1412	125	1537	0.00012
Thermoanaerobacteraceae	186814	F	2710	441	3151	0.00025
Selenomonadaceae	1843491	F	2696	174	2870	0.00023
Limnochordaceae	1676650	F	2075	74	2149	0.00017
Deinococcaceae	183710	F	24064	1082	25146	0.00199
