name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces	1883	G	2245002	459642	2704644	0.12662
Kitasatospora	2063	G	38270	11919	50189	0.00235
Streptacidiphilus	228398	G	24192	6176	30368	0.00142
Yinghuangia	2805681	G	13382	1900	15282	0.00072
Microbacterium	33882	G	196389	30438	226827	0.01062
Agromyces	33877	G	64202	13678	77880	0.00365
Curtobacterium	2034	G	42919	8148	51067	0.00239
Rathayibacter	33886	G	37963	7722	45685	0.00214
Clavibacter	1573	G	28673	15225	43898	0.00206
Leifsonia	110932	G	28435	7611	36046	0.00169
Leucobacter	55968	G	27967	4765	32732	0.00153
Agrococcus	46352	G	26750	6448	33198	0.00155
Protaetiibacter	2680004	G	12588	3280	15868	0.00074
Salinibacterium	235888	G	10650	1517	12167	0.00057
Cryobacterium	69578	G	9606	1213	10819	0.00051
Frondihabitans	447237	G	8231	1150	9381	0.00044
Plantibacter	190323	G	7151	825	7976	0.00037
Microterricola	518733	G	7032	1527	8559	0.00040
Microcella	337004	G	6343	1947	8290	0.00039
Cnuibacter	1759331	G	5155	980	6135	0.00029
Herbiconiux	881616	G	5143	906	6049	0.00028
Frigoribacterium	96492	G	5020	1296	6316	0.00030
Gryllotalpicola	1195526	G	4785	817	5602	0.00026
Mycetocola	76634	G	4523	512	5035	0.00024
Subtercola	120212	G	4323	319	4642	0.00022
Humibacter	427753	G	3806	738	4544	0.00021
Amnibacterium	1029631	G	3718	785	4503	0.00021
Chryseoglobus	1331730	G	3622	631	4253	0.00020
Gulosibacter	256818	G	3062	770	3832	0.00018
Marisediminicola	1230698	G	2896	317	3213	0.00015
Diaminobutyricimonas	1433997	G	2382	393	2775	0.00013
Glaciihabitans	1649454	G	2226	156	2382	0.00011
Agreia	110934	G	2160	231	2391	0.00011
Arthrobacter	1663	G	184277	39099	223376	0.01046
Kocuria	57493	G	26444	7194	33638	0.00157
Pseudarthrobacter	1742993	G	26253	7670	33923	0.00159
Micrococcus	1269	G	12487	7074	19561	0.00092
Sinomonas	596707	G	11072	2502	13574	0.00064
Glutamicibacter	1742989	G	7513	2408	9921	0.00046
Paenarthrobacter	1742992	G	5898	3086	8984	0.00042
Rothia	32207	G	5273	1969	7242	0.00034
Citricoccus	169133	G	4201	984	5185	0.00024
Nesterenkonia	57494	G	1393	80	1473	0.00007
