name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces sp. BH-MK-02	2880933	S	30729	7517	38246	0.00186
Streptomyces sp. CdTB01	1725411	S	16057	5356	21413	0.00104
Streptomyces sp. SN-593	659352	S	15275	3847	19122	0.00093
Streptomyces sp. A2-16	2781734	S	14959	5534	20493	0.00100
Streptomyces sp. So13.3	2136173	S	14179	2889	17068	0.00083
Streptomyces sp. 3214.6	1882757	S	13701	4741	18442	0.00090
Streptomyces sp. P3	2135430	S	12692	3753	16445	0.00080
Streptomyces sp. WAC 01438	2203204	S	12288	4811	17099	0.00083
Streptomyces sp. SCSIO 64649	2878388	S	12258	2330	14588	0.00071
Streptomyces sp. CB01881	2078691	S	12063	2367	14430	0.00070
Streptomyces sp. NHF165	2175864	S	10691	2008	12699	0.00062
Streptomyces sp. ZYC-3	2797636	S	10553	2478	13031	0.00063
Streptomyces sp. GQFP	2907545	S	9986	1998	11984	0.00058
Streptomyces sp. ST1015	1848900	S	9933	2392	12325	0.00060
Streptomyces sp. NA02950	2742137	S	9701	2167	11868	0.00058
Streptomyces sp. MA3_2.13	2867410	S	9344	1272	10616	0.00052
Streptomyces sp. LRE541	2931983	S	9046	2446	11492	0.00056
Streptomyces sp. 3025	2923272	S	9035	1757	10792	0.00052
Streptomyces sp. SCUT-3	2684469	S	8808	3650	12458	0.00061
Streptomyces sp. RTd22	1841249	S	8750	5250	14000	0.00068
Streptomyces sp. Z423-1	2730915	S	8377	2860	11237	0.00055
Streptomyces sp. NEAU-sy36	2751189	S	8200	3546	11746	0.00057
Streptomyces sp. SAT1	1849967	S	8172	3446	11618	0.00056
Streptomyces sp. 891-h	2720714	S	8010	1613	9623	0.00047
Streptomyces sp. DSM 40868	2721173	S	7997	3424	11421	0.00055
Streptomyces sp. RPA4-2	2721244	S	7908	2763	10671	0.00052
Streptomyces sp. BJ20	2930049	S	7786	3646	11432	0.00056
Streptomyces sp. Go 40/10	2825844	S	7736	4124	11860	0.00058
Streptomyces sp. MBT27	1488356	S	7592	2495	10087	0.00049
Streptomyces sp. YIM 121038	2136401	S	7547	2576	10123	0.00049
Streptomyces sp. GMY02	1333528	S	7446	1465	8911	0.00043
Streptomyces sp. Rer75	2750011	S	7174	4753	11927	0.00058
Streptomyces sp. GS7	2692234	S	7164	2196	9360	0.00045
Streptomyces sp. MST-110588	2833628	S	7093	1910	9003	0.00044
Streptomyces sp. NA04227	2742136	S	6989	1770	8759	0.00043
Streptomyces sp. HM190	2695266	S	6888	2544	9432	0.00046
Streptomyces sp. JB150	2714844	S	6868	2665	9533	0.00046
Streptomyces sp. W1SF4	2305220	S	6744	2718	9462	0.00046
Streptomyces sp. AMCC400023	2056258	S	6596	3394	9990	0.00049
Streptomyces sp. MG62	2838015	S	6496	2893	9389	0.00046
Streptomyces sp. MG28	2865673	S	6446	2878	9324	0.00045
Streptomyces sp. Go-475	2072505	S	6397	3513	9910	0.00048
Streptomyces sp. C8S0	2585716	S	6376	1994	8370	0.00041
Streptomyces sp. SirexAA-E	862751	S	6295	2194	8489	0.00041
Streptomyces sp. QHH-9511	2684468	S	6289	1944	8233	0.00040
Streptomyces sp. SYP-A7193	2662065	S	6239	4802	11041	0.00054
Streptomyces sp. BHT-5-2	2866715	S	6138	2211	8349	0.00041
Streptomyces sp. SM18	1736046	S	6122	1978	8100	0.00039
Streptomyces sp. CMB-StM0423	2059884	S	6050	4174	10224	0.00050
Streptomyces sp. 135	2838850	S	6002	2306	8308	0.00040
Streptomyces sp. CB09001	2083284	S	5933	4781	10714	0.00052
Streptomyces sp. S4.7	2705439	S	5844	2243	8087	0.00039
Streptomyces sp. WY228	2855836	S	5327	3322	8649	0.00042
Streptomyces sp. WAC 01529	2203205	S	5301	2195	7496	0.00036
Streptomyces sp. jing01	2726118	S	5236	3441	8677	0.00042
Streptomyces sp. HP-A2021	2927875	S	5206	3464	8670	0.00042
Streptomyces sp. Tu 2975	2676871	S	5141	1848	6989	0.00034
Streptomyces sp. HSG2	2797167	S	5012	1208	6220	0.00030
Streptomyces sp. S1D4-11	2721246	S	4947	4835	9782	0.00048
Streptomyces sp. fd1-xmd	1812480	S	4919	2697	7616	0.00037
Streptomyces sp. INR7	2607753	S	4803	3160	7963	0.00039
Streptomyces sp. TN58	234612	S	4357	2528	6885	0.00033
Streptomyces sp. MOE7	1961713	S	4343	6065	10408	0.00051
Streptomyces sp. CCM_MD2014	1561022	S	4239	5250	9489	0.00046
Streptomyces sp. AgN23	1188315	S	4025	4246	8271	0.00040
Streptomyces sp. SUK 48	2582831	S	3970	3045	7015	0.00034
Streptomyces sp. WAC 06738	2203210	S	3739	5816	9555	0.00046
Streptomyces sp. HF10	2692233	S	3475	3009	6484	0.00032
Streptomyces sp. CNQ-509	444103	S	3359	5104	8463	0.00041
Streptomyces sp. 2323.1	1938841	S	3303	2326	5629	0.00027
Streptomyces sp. ADI95-16	1522758	S	3273	4286	7559	0.00037
Streptomyces sp. YPW6	2840373	S	3267	1970	5237	0.00025
Streptomyces sp. Mg1	465541	S	3086	4300	7386	0.00036
Streptomyces sp. 769	1262452	S	2998	2712	5710	0.00028
Streptomyces sp. RPA4-5	2721245	S	2757	2081	4838	0.00024
Streptomyces sp. XC 2026	2782004	S	2483	2492	4975	0.00024
Streptomyces sp. S063	2005885	S	2280	1873	4153	0.00020
Streptomyces sp. S8	1837283	S	2278	2331	4609	0.00022
Streptomyces sp. EAS-AB2608	2779671	S	2264	5611	7875	0.00038
Streptomyces sp. NEAU-S7GS2	2202000	S	2218	2305	4523	0.00022
Streptomyces sp. PBH53	1577075	S	2212	5266	7478	0.00036
Streptomyces sp. NA02536	2742133	S	2199	6874	9073	0.00044
Streptomyces sp. RLB1-33	2721243	S	2196	8286	10482	0.00051
Streptomyces sp. ID38640	1265399	S	2097	1944	4041	0.00020
