name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	2607065	127067	2734132	0.17563
Sphingomonadales	204457	O	573346	52337	625683	0.04019
Rhodospirillales	204441	O	220264	157806	378070	0.02429
Rhodobacterales	204455	O	154515	8780	163295	0.01049
Caulobacterales	204458	O	83876	6338	90214	0.00580
Maricaulales	2800059	O	4762	380	5142	0.00033
Hyphomonadales	2800060	O	4111	129	4240	0.00027
Parvularculales	255473	O	1498	83	1581	0.00010
Xanthomonadales	135614	O	887297	171405	1058702	0.06801
Pseudomonadales	72274	O	246300	56583	302883	0.01946
Enterobacterales	91347	O	85689	112618	198307	0.01274
Chromatiales	135613	O	46743	2423	49166	0.00316
Oceanospirillales	135619	O	44696	4544	49240	0.00316
Aeromonadales	135624	O	17512	8358	25870	0.00166
Methylococcales	135618	O	15234	474	15708	0.00101
Alteromonadales	135622	O	10118	950	11068	0.00071
Cellvibrionales	1706369	O	9317	328	9645	0.00062
Acidiferrobacterales	1692040	O	8299	283	8582	0.00055
Nevskiales	1775403	O	8229	859	9088	0.00058
Vibrionales	135623	O	5849	1230	7079	0.00045
Moraxellales	2887326	O	3244	774	4018	0.00026
Legionellales	118969	O	2726	107	2833	0.00018
Immundisolibacterales	1934945	O	2622	2658	5280	0.00034
Thiotrichales	72273	O	2082	87	2169	0.00014
Salinisphaerales	742030	O	1574	47	1621	0.00010
Pasteurellales	135625	O	1437	1896	3333	0.00021
Cardiobacteriales	135615	O	1010	95	1105	0.00007
Burkholderiales	80840	O	904887	167082	1071969	0.06886
Rhodocyclales	206389	O	59686	12961	72647	0.00467
Nitrosomonadales	32003	O	49022	4409	53431	0.00343
Neisseriales	206351	O	39540	7815	47355	0.00304
Myxococcales	29	O	363617	30983	394600	0.02535
Desulfuromonadales	69541	O	31995	1998	33993	0.00218
Desulfovibrionales	213115	O	24036	1538	25574	0.00164
Desulfobacterales	213118	O	8579	534	9113	0.00059
Bradymonadales	1779134	O	6756	153	6909	0.00044
Syntrophobacterales	213462	O	1889	330	2219	0.00014
Desulfarculales	453227	O	1759	685	2444	0.00016
Syntrophales	2914038	O	1058	268	1326	0.00009
Campylobacterales	213849	O	3666	180	3846	0.00025
Acidithiobacillales	225057	O	2048	136	2184	0.00014
Streptomycetales	85011	O	1650218	312610	1962828	0.12609
Micrococcales	85006	O	958760	121469	1080229	0.06939
Corynebacteriales	85007	O	754553	85757	840310	0.05398
Propionibacteriales	85009	O	681055	110949	792004	0.05088
Pseudonocardiales	85010	O	619884	85830	705714	0.04533
Micromonosporales	85008	O	445083	53640	498723	0.03204
Streptosporangiales	85012	O	291115	42199	333314	0.02141
Geodermatophilales	1643682	O	111026	24960	135986	0.00874
Frankiales	85013	O	36024	3180	39204	0.00252
Actinomycetales	2037	O	35364	4590	39954	0.00257
Jiangellales	1217098	O	23926	3824	27750	0.00178
Catenulisporales	414714	O	21159	2759	23918	0.00154
Nakamurellales	1643684	O	16369	2001	18370	0.00118
Bifidobacteriales	85004	O	14128	3562	17690	0.00114
Jatrophihabitantales	2805415	O	9994	777	10771	0.00069
Glycomycetales	85014	O	5169	375	5544	0.00036
Kineosporiales	622452	O	5010	1239	6249	0.00040
Sporichthyales	2495578	O	2902	1258	4160	0.00027
Actinopolysporales	622450	O	2402	219	2621	0.00017
Acidothermales	1643683	O	1675	74	1749	0.00011
Solirubrobacterales	588673	O	153190	19921	173111	0.01112
Miltoncostaeales	2843198	O	33573	3908	37481	0.00241
Rubrobacterales	84996	O	79680	9305	88985	0.00572
Acidimicrobiales	84993	O	49493	4882	54375	0.00349
Eggerthellales	1643822	O	11988	1726	13714	0.00088
Coriobacteriales	84999	O	8727	1606	10333	0.00066
Egibacterales	1747768	O	5183	268	5451	0.00035
Egicoccales	1755823	O	4582	625	5207	0.00033
Euzebyales	908621	O	4411	317	4728	0.00030
Bacillales	1385	O	120547	51655	172202	0.01106
Lactobacillales	186826	O	6465	3105	9570	0.00061
Eubacteriales	186802	O	31477	5401	36878	0.00237
Thermoanaerobacterales	68295	O	3598	437	4035	0.00026
Selenomonadales	909929	O	3905	210	4115	0.00026
Veillonellales	1843489	O	1060	258	1318	0.00008
Limnochordales	1676649	O	2553	84	2637	0.00017
Deinococcales	118964	O	28696	1177	29873	0.00192
Thermales	68933	O	10720	558	11278	0.00072
Trueperales	2762275	O	2141	95	2236	0.00014
Synechococcales	1890424	O	18006	1106	19112	0.00123
Nostocales	1161	O	5912	496	6408	0.00041
Gloeobacterales	307595	O	4022	77	4099	0.00026
Pseudanabaenales	2881377	O	3967	213	4180	0.00027
Oscillatoriales	1150	O	2567	220	2787	0.00018
Chroococcales	1118	O	1015	130	1145	0.00007
Sphaerobacterales	85001	O	7089	405	7494	0.00048
Thermomicrobiales	189776	O	1575	32	1607	0.00010
Chloroflexales	32064	O	5610	197	5807	0.00037
Tepidiformales	2682226	O	4394	159	4553	0.00029
Ardenticatenales	1382929	O	3650	62	3712	0.00024
Ktedonobacterales	388448	O	3640	108	3748	0.00024
Caldilineales	475963	O	1708	108	1816	0.00012
Anaerolineales	292629	O	1345	860	2205	0.00014
