name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinomycetia	1760	C	6814451	363267	7177718	0.47734
Thermoleophilia	1497346	C	225259	28817	254076	0.01690
Rubrobacteria	84995	C	99702	12675	112377	0.00747
Acidimicrobiia	84992	C	53000	5547	58547	0.00389
Coriobacteriia	84998	C	22339	3364	25703	0.00171
Nitriliruptoria	908620	C	15640	1296	16936	0.00113
Bacilli	91061	C	134251	69504	203755	0.01355
Clostridia	186801	C	35786	6415	42201	0.00281
Negativicutes	909932	C	5602	598	6200	0.00041
Limnochordia	1676648	C	2590	97	2687	0.00018
Deinococci	188787	C	43316	27777	71093	0.00473
Gloeobacteria	307596	C	4142	9318	13460	0.00090
Thermomicrobia	189775	C	8819	313	9132	0.00061
Chloroflexia	32061	C	6109	194	6303	0.00042
Tepidiformia	2682225	C	4389	172	4561	0.00030
Ardenticatenia	1382928	C	3777	70	3847	0.00026
Ktedonobacteria	388447	C	2051	53	2104	0.00014
Caldilineae	475962	C	1823	101	1924	0.00013
Anaerolineae	292625	C	1370	23	1393	0.00009
Dehalococcoidia	301297	C	1157	893	2050	0.00014
Fimbriimonadia	1663419	C	2302	12	2314	0.00015
Alphaproteobacteria	28211	C	3025956	225992	3251948	0.21626
Betaproteobacteria	28216	C	1145692	215587	1361279	0.09053
Gammaproteobacteria	1236	C	892705	275488	1168193	0.07769
Deltaproteobacteria	28221	C	467436	30299	497735	0.03310
Epsilonproteobacteria	29547	C	3930	193	4123	0.00027
Acidithiobacillia	1807140	C	2107	198	2305	0.00015
Oligoflexia	1553900	C	1183	16	1199	0.00008
Planctomycetia	203683	C	280978	5109	286087	0.01903
Phycisphaerae	666505	C	14279	580	14859	0.00099
Opitutae	414999	C	19921	903	20824	0.00138
Verrucomicrobiae	203494	C	11680	1993	13673	0.00091
Cytophagia	768503	C	33902	711	34613	0.00230
Chitinophagia	1853228	C	21658	237	21895	0.00146
Bacteroidia	200643	C	12623	2238	14861	0.00099
Flavobacteriia	117743	C	11459	11795	23254	0.00155
Sphingobacteriia	117747	C	9036	594	9630	0.00064
Chlorobia	191410	C	3855	445	4300	0.00029
Gemmatimonadetes	219685	C	83391	4916	88307	0.00587
Acidobacteriia	204432	C	54961	858	55819	0.00371
Vicinamibacteria	1813735	C	48041	2831	50872	0.00338
Blastocatellia	1562566	C	3507	109	3616	0.00024
Holophagae	533205	C	2187	42	2229	0.00015
Nitrospira	203693	C	9930	154	10084	0.00067
Spirochaetia	203692	C	4106	176	4282	0.00028
Synergistia	649775	C	3591	1060	4651	0.00031
Sordariomycetes	147550	C	49623	901	50524	0.00336
Eurotiomycetes	147545	C	6937	232	7169	0.00048
Dothideomycetes	147541	C	2068	267	2335	0.00016
Saccharomycetes	4891	C	2146	254	2400	0.00016
Ustilaginomycetes	5257	C	3922	95	4017	0.00027
Agaricomycetes	155619	C	1362	23	1385	0.00009
