name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinobacteria	201174	P	7304957	340080	7645037	0.50795
Firmicutes	1239	P	182416	74110	256526	0.01704
Deinococcus-Thermus	1297	P	43316	2104	45420	0.00302
Cyanobacteria	1117	P	38248	1006	39254	0.00261
Chloroflexi	200795	P	31221	529	31750	0.00211
Armatimonadetes	67819	P	2928	17	2945	0.00020
Proteobacteria	1224	P	5878782	408093	6286875	0.41771
Planctomycetes	203682	P	296655	4011	300666	0.01998
Verrucomicrobia	74201	P	33522	960	34482	0.00229
Kiritimatiellaeota	134625	P	1383	980	2363	0.00016
Bacteroidetes	976	P	102428	2270	104698	0.00696
Chlorobi	1090	P	3855	148	4003	0.00027
Gemmatimonadetes	142182	P	83391	4912	88303	0.00587
Acidobacteria	57723	P	109620	2915	112535	0.00748
Nitrospirae	40117	P	10084	152	10236	0.00068
Spirochaetes	203691	P	4106	175	4281	0.00028
Synergistetes	508458	P	3591	313	3904	0.00026
Ascomycota	4890	P	61982	691	62673	0.00416
Basidiomycota	5204	P	5942	165	6107	0.00041
Oomycota	4762	P	7812	1031	8843	0.00059
