name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinobacteria	201174	P	8530270	358811	8889081	0.52609
Firmicutes	1239	P	209635	80074	289709	0.01715
Deinococcus-Thermus	1297	P	50672	1803	52475	0.00311
Cyanobacteria	1117	P	44477	1014	45491	0.00269
Chloroflexi	200795	P	37310	506	37816	0.00224
Armatimonadetes	67819	P	3282	16	3298	0.00020
Proteobacteria	1224	P	6361603	399843	6761446	0.40017
Planctomycetes	203682	P	339356	3999	343355	0.02032
Verrucomicrobia	74201	P	37278	944	38222	0.00226
Kiritimatiellaeota	134625	P	1540	1097	2637	0.00016
Bacteroidetes	976	P	102546	1978	104524	0.00619
Chlorobi	1090	P	4380	151	4531	0.00027
Gemmatimonadetes	142182	P	83079	4254	87333	0.00517
Acidobacteria	57723	P	113724	2603	116327	0.00688
Nitrospirae	40117	P	11096	147	11243	0.00067
Spirochaetes	203691	P	4798	194	4992	0.00030
Synergistetes	508458	P	4089	308	4397	0.00026
Thermotogae	200918	P	1064	56	1120	0.00007
Ascomycota	4890	P	79309	783	80092	0.00474
Basidiomycota	5204	P	7271	172	7443	0.00044
Oomycota	4762	P	9861	1173	11034	0.00065
