name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces	1883	G	2111639	411245	2522884	0.12676
Kitasatospora	2063	G	35022	9859	44881	0.00226
Streptacidiphilus	228398	G	24008	5471	29479	0.00148
Yinghuangia	2805681	G	11145	1423	12568	0.00063
Microbacterium	33882	G	202625	27661	230286	0.01157
Agromyces	33877	G	70801	13189	83990	0.00422
Leifsonia	110932	G	43610	28447	72057	0.00362
Curtobacterium	2034	G	41984	6860	48844	0.00245
Rathayibacter	33886	G	35962	6403	42365	0.00213
Clavibacter	1573	G	28110	13662	41772	0.00210
Leucobacter	55968	G	26640	3906	30546	0.00153
Agrococcus	46352	G	25971	5502	31473	0.00158
Protaetiibacter	2680004	G	17515	3961	21476	0.00108
Salinibacterium	235888	G	10905	1384	12289	0.00062
Cryobacterium	69578	G	9699	1070	10769	0.00054
Frondihabitans	447237	G	8220	996	9216	0.00046
Microterricola	518733	G	7168	1357	8525	0.00043
Plantibacter	190323	G	7015	679	7694	0.00039
Microcella	337004	G	6798	1860	8658	0.00044
Cnuibacter	1759331	G	5083	847	5930	0.00030
Gryllotalpicola	1195526	G	5003	747	5750	0.00029
Herbiconiux	881616	G	4988	767	5755	0.00029
Frigoribacterium	96492	G	4665	1053	5718	0.00029
Mycetocola	76634	G	4316	422	4738	0.00024
Subtercola	120212	G	4225	272	4497	0.00023
Humibacter	427753	G	4003	686	4689	0.00024
Amnibacterium	1029631	G	3677	682	4359	0.00022
Chryseoglobus	1331730	G	3605	555	4160	0.00021
Gulosibacter	256818	G	2842	639	3481	0.00017
Marisediminicola	1230698	G	2792	267	3059	0.00015
Diaminobutyricimonas	1433997	G	2634	381	3015	0.00015
Glaciihabitans	1649454	G	2216	135	2351	0.00012
Agreia	110934	G	2159	200	2359	0.00012
Arthrobacter	1663	G	288943	59385	348328	0.01750
Sinomonas	596707	G	49201	10087	59288	0.00298
Pseudarthrobacter	1742993	G	47673	13538	61211	0.00308
Kocuria	57493	G	26192	6205	32397	0.00163
Micrococcus	1269	G	12050	6842	18892	0.00095
Glutamicibacter	1742989	G	8436	2220	10656	0.00054
Paenarthrobacter	1742992	G	7599	3150	10749	0.00054
Rothia	32207	G	5035	1674	6709	0.00034
Citricoccus	169133	G	4368	897	5265	0.00026
Nesterenkonia	57494	G	1351	68	1419	0.00007
Intrasporangium	53357	G	29136	6358	35494	0.00178
Janibacter	53457	G	26304	6591	32895	0.00165
Phycicoccus	367298	G	24340	6206	30546	0.00153
Pedococcus	2805645	G	20366	5645	26011	0.00131
Tetrasphaera	99479	G	15551	3810	19361	0.00097
Arsenicicoccus	267408	G	8121	2677	10798	0.00054
Cellulomonas	1707	G	96115	27703	123818	0.00622
Actinotalea	458839	G	6265	1912	8177	0.00041
Oerskovia	162491	G	4963	1339	6302	0.00032
Pseudactinotalea	1926259	G	4230	515	4745	0.00024
Paraoerskovia	665568	G	3307	725	4032	0.00020
Cellulosimicrobium	157920	G	38182	14216	52398	0.00263
Xylanimonas	186188	G	15535	4223	19758	0.00099
Isoptericola	254250	G	11783	4448	16231	0.00082
Ornithinimicrobium	125287	G	26494	4806	31300	0.00157
Serinicoccus	265976	G	20030	4755	24785	0.00125
Brachybacterium	43668	G	29317	4031	33348	0.00168
Dermabacter	36739	G	2036	948	2984	0.00015
Brevibacterium	1696	G	30623	5183	35806	0.00180
Dermacoccus	57495	G	9310	2758	12068	0.00061
Luteipulveratus	745364	G	6921	838	7759	0.00039
Allobranchiibius	2040262	G	5660	1075	6735	0.00034
Yimella	908935	G	3297	566	3863	0.00019
Georgenia	154116	G	23584	5766	29350	0.00147
Ruania	626119	G	18774	1879	20653	0.00104
Pengzhenrongella	2888818	G	7250	1685	8935	0.00045
Luteimicrobium	754249	G	6590	1699	8289	0.00042
Beutenbergia	84756	G	7719	1075	8794	0.00044
