name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetaceae	2062	F	195849	41255	237104	0.14527
Microbacteriaceae	85023	F	49070	6069	55139	0.03378
Micrococcaceae	1268	F	24317	5339	29656	0.01817
Intrasporangiaceae	85021	F	10895	2573	13468	0.00825
Cellulomonadaceae	85016	F	9206	2914	12120	0.00743
Promicromonosporaceae	85017	F	4523	1625	6148	0.00377
Ornithinimicrobiaceae	2805590	F	3978	779	4757	0.00291
Dermabacteraceae	85020	F	2687	482	3169	0.00194
Brevibacteriaceae	85019	F	2507	469	2976	0.00182
Dermacoccaceae	145357	F	2142	466	2608	0.00160
Bogoriellaceae	145358	F	1911	542	2453	0.00150
Ruaniaceae	1331736	F	1614	1602	3216	0.00197
Beutenbergiaceae	125316	F	1079	315	1394	0.00085
Nocardioidaceae	85015	F	80705	15350	96055	0.05885
Propionibacteriaceae	31957	F	8404	1473	9877	0.00605
Kribbellaceae	2726069	F	5658	777	6435	0.00394
Actinopolymorphaceae	2805400	F	1429	149	1578	0.00097
Mycobacteriaceae	1762	F	47046	5793	52839	0.03237
Nocardiaceae	85025	F	23868	4309	28177	0.01726
Corynebacteriaceae	1653	F	6635	1546	8181	0.00501
Gordoniaceae	85026	F	5804	1161	6965	0.00427
Tsukamurellaceae	85028	F	1782	418	2200	0.00135
Dietziaceae	85029	F	1059	965	2024	0.00124
Pseudonocardiaceae	2070	F	62210	9116	71326	0.04370
Micromonosporaceae	28056	F	49421	6077	55498	0.03400
Thermomonosporaceae	2012	F	19291	3436	22727	0.01393
Streptosporangiaceae	2004	F	10221	1554	11775	0.00721
Nocardiopsaceae	83676	F	4143	593	4736	0.00290
Geodermatophilaceae	85030	F	15211	3561	18772	0.01150
Actinomycetaceae	2049	F	4258	589	4847	0.00297
Frankiaceae	74712	F	4192	393	4585	0.00281
Jiangellaceae	1217100	F	2866	467	3333	0.00204
Nakamurellaceae	85031	F	1885	235	2120	0.00130
Bifidobacteriaceae	31953	F	1650	353	2003	0.00123
Catenulisporaceae	414877	F	1168	158	1326	0.00081
Jatrophihabitantaceae	2805416	F	1082	88	1170	0.00072
Conexibacteraceae	320583	F	20065	2912	22977	0.01408
Miltoncostaeaceae	2843199	F	4153	540	4693	0.00288
Baekduiaceae	2600303	F	7641	1266	8907	0.00546
Rubrobacteraceae	84997	F	3085	132	3217	0.00197
Iamiaceae	633392	F	5098	648	5746	0.00352
Eggerthellaceae	1643826	F	1473	260	1733	0.00106
Bacillaceae	186817	F	7585	7133	14718	0.00902
Paenibacillaceae	186822	F	6413	599	7012	0.00430
Oscillospiraceae	216572	F	1019	514	1533	0.00094
Deinococcaceae	183710	F	3538	325	3863	0.00237
Thermaceae	188786	F	1273	72	1345	0.00082
Synechococcaceae	1890426	F	1617	321	1938	0.00119
Bradyrhizobiaceae	41294	F	83710	8320	92030	0.05639
Phyllobacteriaceae	69277	F	22699	4171	26870	0.01646
Rhizobiaceae	82115	F	21036	3892	24928	0.01527
Methylobacteriaceae	119045	F	15719	2323	18042	0.01105
Xanthobacteraceae	335928	F	10989	1699	12688	0.00777
Hyphomicrobiaceae	45401	F	9257	798	10055	0.00616
Boseaceae	2831100	F	4082	592	4674	0.00286
Devosiaceae	2831106	F	3470	283	3753	0.00230
Aurantimonadaceae	255475	F	3251	3497	6748	0.00413
Methylocystaceae	31993	F	2594	204	2798	0.00171
Phreatobacteraceae	2843305	F	1862	295	2157	0.00132
