name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces sp. BH-MK-02	2880933	S	21811	6492	28303	0.00379
Streptomyces sp. So13.3	2136173	S	19429	4797	24226	0.00324
Streptomyces sp. CdTB01	1725411	S	13373	5338	18711	0.00250
Streptomyces sp. SN-593	659352	S	13243	4010	17253	0.00231
Streptomyces sp. A2-16	2781734	S	9515	4210	13725	0.00184
Streptomyces sp. 3214.6	1882757	S	9403	3894	13297	0.00178
Streptomyces sp. ZYC-3	2797636	S	8285	2309	10594	0.00142
Streptomyces sp. P3	2135430	S	6747	2376	9123	0.00122
Streptomyces sp. RPA4-2	2721244	S	6462	2695	9157	0.00123
Streptomyces sp. SCUT-3	2684469	S	6347	3141	9488	0.00127
Streptomyces sp. CB01881	2078691	S	6194	1399	7593	0.00102
Streptomyces sp. GQFP	2907545	S	6063	1451	7514	0.00101
Streptomyces sp. ST1015	1848900	S	5951	1733	7684	0.00103
Streptomyces sp. SCSIO 64649	2878388	S	5527	1236	6763	0.00091
Streptomyces sp. Z423-1	2730915	S	5248	2138	7386	0.00099
Streptomyces sp. NA02950	2742137	S	5112	1369	6481	0.00087
Streptomyces sp. LRE541	2931983	S	4991	1621	6612	0.00089
Streptomyces sp. NHF165	2175864	S	4542	1015	5557	0.00074
Streptomyces sp. AMCC400023	2056258	S	4523	2714	7237	0.00097
Streptomyces sp. MA3_2.13	2867410	S	4488	722	5210	0.00070
Streptomyces sp. S4.7	2705439	S	4403	2037	6440	0.00086
Streptomyces sp. MG28	2865673	S	4372	2292	6664	0.00089
Streptomyces sp. S1D4-11	2721246	S	4251	4664	8915	0.00119
Streptomyces sp. GMY02	1333528	S	4223	1011	5234	0.00070
Streptomyces sp. SAT1	1849967	S	4044	2049	6093	0.00082
Streptomyces sp. RTd22	1841249	S	3984	2569	6553	0.00088
Streptomyces sp. HM190	2695266	S	3894	1729	5623	0.00075
Streptomyces sp. MBT27	1488356	S	3870	1559	5429	0.00073
Streptomyces sp. 891-h	2720714	S	3803	918	4721	0.00063
Streptomyces sp. 3025	2923272	S	3802	879	4681	0.00063
Streptomyces sp. MST-110588	2833628	S	3789	1237	5026	0.00067
Streptomyces sp. GS7	2692234	S	3725	1353	5078	0.00068
Streptomyces sp. WAC 01438	2203204	S	3697	1736	5433	0.00073
Streptomyces sp. YIM 121038	2136401	S	3642	1496	5138	0.00069
Streptomyces sp. NA04227	2742136	S	3635	1119	4754	0.00064
Streptomyces sp. Go 40/10	2825844	S	3520	2216	5736	0.00077
Streptomyces sp. W1SF4	2305220	S	3478	1669	5147	0.00069
Streptomyces sp. NEAU-sy36	2751189	S	3474	1783	5257	0.00070
Streptomyces sp. C8S0	2585716	S	3414	1277	4691	0.00063
Streptomyces sp. MG62	2838015	S	3388	1802	5190	0.00069
Streptomyces sp. DSM 40868	2721173	S	3385	1723	5108	0.00068
Streptomyces sp. Go-475	2072505	S	3354	2183	5537	0.00074
Streptomyces sp. CMB-StM0423	2059884	S	3352	2450	5802	0.00078
Streptomyces sp. Rer75	2750011	S	3282	2324	5606	0.00075
Streptomyces sp. JB150	2714844	S	3233	1446	4679	0.00063
Streptomyces sp. SM18	1736046	S	3216	1225	4441	0.00059
Streptomyces sp. QHH-9511	2684468	S	3118	1157	4275	0.00057
Streptomyces sp. BHT-5-2	2866715	S	3042	1291	4333	0.00058
Streptomyces sp. SirexAA-E	862751	S	2952	1209	4161	0.00056
Streptomyces sp. BJ20	2930049	S	2893	1625	4518	0.00060
Streptomyces sp. Tu 2975	2676871	S	2717	1176	3893	0.00052
Streptomyces sp. 135	2838850	S	2652	1208	3860	0.00052
Streptomyces sp. HP-A2021	2927875	S	2596	2073	4669	0.00063
Streptomyces sp. HSG2	2797167	S	2548	765	3313	0.00044
Streptomyces sp. WAC 01529	2203205	S	2470	1220	3690	0.00049
Streptomyces sp. jing01	2726118	S	2395	1868	4263	0.00057
Streptomyces sp. SUK 48	2582831	S	2329	2069	4398	0.00059
Streptomyces sp. SYP-A7193	2662065	S	2301	2012	4313	0.00058
Streptomyces sp. fd1-xmd	1812480	S	2299	1439	3738	0.00050
