name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinomycetia	1760	C	3267183	178758	3445941	0.46044
Thermoleophilia	1497346	C	99330	12750	112080	0.01498
Rubrobacteria	84995	C	43477	5584	49061	0.00656
Acidimicrobiia	84992	C	26810	2808	29618	0.00396
Coriobacteriia	84998	C	10246	1495	11741	0.00157
Nitriliruptoria	908620	C	7085	585	7670	0.00102
Bacilli	91061	C	81320	47386	128706	0.01720
Clostridia	186801	C	16776	2699	19475	0.00260
Negativicutes	909932	C	2821	282	3103	0.00041
Limnochordia	1676648	C	1212	42	1254	0.00017
Deinococci	188787	C	19371	14815	34186	0.00457
Gloeobacteria	307596	C	1876	2233	4109	0.00055
Thermomicrobia	189775	C	3556	166	3722	0.00050
Chloroflexia	32061	C	2387	109	2496	0.00033
Tepidiformia	2682225	C	2045	86	2131	0.00028
Ardenticatenia	1382928	C	1634	32	1666	0.00022
Fimbriimonadia	1663419	C	1132	6	1138	0.00015
Alphaproteobacteria	28211	C	1588930	118040	1706970	0.22808
Betaproteobacteria	28216	C	603903	120556	724459	0.09680
Gammaproteobacteria	1236	C	446448	121369	567817	0.07587
Deltaproteobacteria	28221	C	256897	23292	280189	0.03744
Epsilonproteobacteria	29547	C	2068	120	2188	0.00029
Acidithiobacillia	1807140	C	1044	118	1162	0.00016
Planctomycetia	203683	C	110212	1845	112057	0.01497
Phycisphaerae	666505	C	6795	289	7084	0.00095
Opitutae	414999	C	18212	932	19144	0.00256
Verrucomicrobiae	203494	C	6312	923	7235	0.00097
Cytophagia	768503	C	17494	372	17866	0.00239
Flavobacteriia	117743	C	13479	894	14373	0.00192
Chitinophagia	1853228	C	10490	111	10601	0.00142
Bacteroidia	200643	C	6301	1185	7486	0.00100
Sphingobacteriia	117747	C	4931	5291	10222	0.00137
Chlorobia	191410	C	1954	210	2164	0.00029
Gemmatimonadetes	219685	C	45209	2581	47790	0.00639
Acidobacteriia	204432	C	24712	392	25104	0.00335
Vicinamibacteria	1813735	C	22571	1361	23932	0.00320
Blastocatellia	1562566	C	1666	34	1700	0.00023
Holophagae	533205	C	1089	21	1110	0.00015
Nitrospira	203693	C	5498	83	5581	0.00075
Spirochaetia	203692	C	2010	104	2114	0.00028
Synergistia	649775	C	1557	138	1695	0.00023
Sordariomycetes	147550	C	20419	448	20867	0.00279
Eurotiomycetes	147545	C	2041	85	2126	0.00028
Saccharomycetes	4891	C	1058	128	1186	0.00016
Ustilaginomycetes	5257	C	1644	46	1690	0.00023
