name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetales	85011	O	431083	77921	509004	0.19747
Micrococcales	85006	O	193685	23145	216830	0.08412
Corynebacteriales	85007	O	142752	13574	156326	0.06065
Propionibacteriales	85009	O	110894	16285	127179	0.04934
Pseudonocardiales	85010	O	97810	11680	109490	0.04248
Micromonosporales	85008	O	74365	8702	83067	0.03223
Streptosporangiales	85012	O	66631	9128	75759	0.02939
Geodermatophilales	1643682	O	19721	4032	23753	0.00922
Frankiales	85013	O	6482	528	7010	0.00272
Actinomycetales	2037	O	5946	701	6647	0.00258
Catenulisporales	414714	O	4331	513	4844	0.00188
Jiangellales	1217098	O	3329	476	3805	0.00148
Nakamurellales	1643684	O	3311	380	3691	0.00143
Bifidobacteriales	85004	O	2324	861	3185	0.00124
Jatrophihabitantales	2805415	O	2083	145	2228	0.00086
Solirubrobacterales	588673	O	23197	2717	25914	0.01005
Miltoncostaeales	2843198	O	5365	575	5940	0.00230
Rubrobacterales	84996	O	12310	1313	13623	0.00529
Acidimicrobiales	84993	O	7102	648	7750	0.00301
Eggerthellales	1643822	O	1888	260	2148	0.00083
Coriobacteriales	84999	O	1315	222	1537	0.00060
Bacillales	1385	O	28171	9430	37601	0.01459
Lactobacillales	186826	O	1085	555	1640	0.00064
Eubacteriales	186802	O	5957	840	6797	0.00264
Deinococcales	118964	O	4695	172	4867	0.00189
Thermales	68933	O	1743	80	1823	0.00071
Synechococcales	1890424	O	2932	291	3223	0.00125
Sphaerobacterales	85001	O	1227	158	1385	0.00054
Hyphomicrobiales	356	O	332281	12988	345269	0.13395
Sphingomonadales	204457	O	51464	4120	55584	0.02156
Rhodospirillales	204441	O	39635	30800	70435	0.02733
Rhodobacterales	204455	O	24967	1529	26496	0.01028
Caulobacterales	204458	O	12979	939	13918	0.00540
Burkholderiales	80840	O	171146	42448	213594	0.08287
Rhodocyclales	206389	O	9884	2167	12051	0.00468
Nitrosomonadales	32003	O	8695	790	9485	0.00368
Neisseriales	206351	O	6411	1231	7642	0.00297
Xanthomonadales	135614	O	56535	7070	63605	0.02468
Pseudomonadales	72274	O	38814	15471	54285	0.02106
Enterobacterales	91347	O	13570	13697	27267	0.01058
Chromatiales	135613	O	7482	448	7930	0.00308
Oceanospirillales	135619	O	7217	842	8059	0.00313
Aeromonadales	135624	O	2865	2003	4868	0.00189
Methylococcales	135618	O	2516	89	2605	0.00101
Alteromonadales	135622	O	1623	163	1786	0.00069
Cellvibrionales	1706369	O	1461	61	1522	0.00059
Acidiferrobacterales	1692040	O	1382	48	1430	0.00056
Nevskiales	1775403	O	1285	173	1458	0.00057
Myxococcales	29	O	57377	22691	80068	0.03106
Desulfuromonadales	69541	O	5377	252	5629	0.00218
Desulfovibrionales	213115	O	3908	159	4067	0.00158
Desulfobacterales	213118	O	1367	47	1414	0.00055
Bradymonadales	1779134	O	1039	20	1059	0.00041
Isosphaerales	2691356	O	15146	1229	16375	0.00635
Gemmatales	2691355	O	13989	385	14374	0.00558
Planctomycetales	112	O	7141	733	7874	0.00306
Pirellulales	2691354	O	6790	133	6923	0.00269
Tepidisphaerales	1771349	O	1270	32	1302	0.00051
Opitutales	415000	O	2626	102	2728	0.00106
Verrucomicrobiales	48461	O	1608	330	1938	0.00075
Cytophagales	768507	O	4912	102	5014	0.00195
Bacteroidales	171549	O	1847	361	2208	0.00086
Chitinophagales	1853229	O	1838	20	1858	0.00072
Flavobacteriales	200644	O	1599	99	1698	0.00066
Bacteroidetes Order II. Incertae sedis	1100069	O	1499	57	1556	0.00060
Gemmatimonadales	219686	O	11378	503	11881	0.00461
Acidobacteriales	204433	O	11697	196	11893	0.00461
Bryobacterales	332160	O	1585	33	1618	0.00063
Vicinamibacterales	2910145	O	4377	762	5139	0.00199
Nitrospirales	189778	O	1213	12	1225	0.00048
Hypocreales	5125	O	9100	427	9527	0.00370
Sordariales	5139	O	2370	94	2464	0.00096
Peronosporales	4776	O	1154	223	1377	0.00053
