name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces	1883	G	1461890	280325	1742215	0.15271
Kitasatospora	2063	G	32587	9086	41673	0.00365
Yinghuangia	2805681	G	15918	2089	18007	0.00158
Streptacidiphilus	228398	G	14946	3518	18464	0.00162
Microbacterium	33882	G	111026	15998	127024	0.01113
Agromyces	33877	G	34586	6804	41390	0.00363
Leifsonia	110932	G	26580	10440	37020	0.00324
Curtobacterium	2034	G	25534	4410	29944	0.00262
Rathayibacter	33886	G	21894	4110	26004	0.00228
Clavibacter	1573	G	15643	6752	22395	0.00196
Leucobacter	55968	G	15085	2333	17418	0.00153
Agrococcus	46352	G	14582	3215	17797	0.00156
Protaetiibacter	2680004	G	7060	1695	8755	0.00077
Salinibacterium	235888	G	5625	737	6362	0.00056
Cryobacterium	69578	G	5342	626	5968	0.00052
Frondihabitans	447237	G	4622	591	5213	0.00046
Plantibacter	190323	G	3999	427	4426	0.00039
Microterricola	518733	G	3878	776	4654	0.00041
Microcella	337004	G	3619	1026	4645	0.00041
Cnuibacter	1759331	G	2859	502	3361	0.00029
Herbiconiux	881616	G	2852	463	3315	0.00029
Gryllotalpicola	1195526	G	2715	427	3142	0.00028
Frigoribacterium	96492	G	2710	646	3356	0.00029
Mycetocola	76634	G	2500	260	2760	0.00024
Subtercola	120212	G	2415	163	2578	0.00023
Humibacter	427753	G	2141	385	2526	0.00022
Amnibacterium	1029631	G	2102	410	2512	0.00022
Chryseoglobus	1331730	G	2012	337	2349	0.00021
Gulosibacter	256818	G	1678	390	2068	0.00018
Marisediminicola	1230698	G	1533	154	1687	0.00015
Agreia	110934	G	1346	132	1478	0.00013
Diaminobutyricimonas	1433997	G	1309	199	1508	0.00013
Glaciihabitans	1649454	G	1266	81	1347	0.00012
Arthrobacter	1663	G	120304	26478	146782	0.01287
Pseudarthrobacter	1742993	G	20891	6706	27597	0.00242
Sinomonas	596707	G	14489	3197	17686	0.00155
Kocuria	57493	G	13793	3353	17146	0.00150
Micrococcus	1269	G	6690	4042	10732	0.00094
Glutamicibacter	1742989	G	3979	1121	5100	0.00045
Paenarthrobacter	1742992	G	3557	1676	5233	0.00046
Rothia	32207	G	2920	1007	3927	0.00034
Citricoccus	169133	G	2198	462	2660	0.00023
Cellulomonas	1707	G	55030	16486	71516	0.00627
Actinotalea	458839	G	3562	1118	4680	0.00041
Oerskovia	162491	G	2893	805	3698	0.00032
Pseudactinotalea	1926259	G	2390	298	2688	0.00024
Paraoerskovia	665568	G	1924	434	2358	0.00021
Janibacter	53457	G	13599	3509	17108	0.00150
Phycicoccus	367298	G	12441	3209	15650	0.00137
Intrasporangium	53357	G	11695	2594	14289	0.00125
Pedococcus	2805645	G	9375	2594	11969	0.00105
Tetrasphaera	99479	G	7456	1826	9282	0.00081
Arsenicicoccus	267408	G	4130	1385	5515	0.00048
Cellulosimicrobium	157920	G	16118	5798	21916	0.00192
Xylanimonas	186188	G	8710	2430	11140	0.00098
Isoptericola	254250	G	6676	2589	9265	0.00081
Ornithinimicrobium	125287	G	14667	2671	17338	0.00152
Serinicoccus	265976	G	11167	2673	13840	0.00121
Brachybacterium	43668	G	17150	2419	19569	0.00172
Dermabacter	36739	G	1179	559	1738	0.00015
Brevibacterium	1696	G	17792	3056	20848	0.00183
Dermacoccus	57495	G	4884	1478	6362	0.00056
Luteipulveratus	745364	G	3818	469	4287	0.00038
Allobranchiibius	2040262	G	3105	598	3703	0.00032
Yimella	908935	G	1840	322	2162	0.00019
Georgenia	154116	G	13162	3297	16459	0.00144
Ruania	626119	G	10917	1116	12033	0.00105
Pengzhenrongella	2888818	G	4270	1023	5293	0.00046
Luteimicrobium	754249	G	3660	969	4629	0.00041
Beutenbergia	84756	G	4500	647	5147	0.00045
Miniimonas	947525	G	3125	1406	4531	0.00040
Sanguibacter	60919	G	5478	1422	6900	0.00060
Gephyromycinifex	2885697	G	1198	129	1327	0.00012
Kytococcus	57499	G	2295	1201	3496	0.00031
Nocardioides	1839	G	481341	89944	571285	0.05007
Aeromicrobium	2040	G	25189	4253	29442	0.00258
Marmoricola	86795	G	7931	2641	10572	0.00093
Pimelobacter	2044	G	6975	2333	9308	0.00082
Friedmanniella	53387	G	6166	1055	7221	0.00063
Mumia	1546255	G	4096	621	4717	0.00041
Micropruina	116071	G	2028	251	2279	0.00020
Microlunatus	29404	G	19444	1947	21391	0.00188
Tessaracoccus	72763	G	13927	2471	16398	0.00144
Brevilactibacter	2717325	G	5360	1812	7172	0.00063
Acidipropionibacterium	1912215	G	4610	1526	6136	0.00054
Propionibacterium	1743	G	4595	1209	5804	0.00051
Auraticoccus	1278221	G	3671	565	4236	0.00037
Raineyella	1911549	G	2164	246	2410	0.00021
Arachnia	2801844	G	2009	128	2137	0.00019
Cutibacterium	1912216	G	2001	409	2410	0.00021
Kribbella	182639	G	39212	4904	44116	0.00387
Actinopolymorpha	117156	G	10402	986	11388	0.00100
Mycolicibacterium	1866885	G	129080	21008	150088	0.01316
Mycobacterium	1763	G	122882	27138	150020	0.01315
Mycolicibacter	1073531	G	9219	3442	12661	0.00111
Mycobacteroides	670516	G	8019	2921	10940	0.00096
Mycolicibacillus	2126281	G	1765	418	2183	0.00019
Nocardia	1817	G	103197	14829	118026	0.01035
Rhodococcus	1827	G	81148	20397	101545	0.00890
Corynebacterium	1716	G	47028	9629	56657	0.00497
Gordonia	2053	G	39555	7300	46855	0.00411
Skermania	59613	G	2031	195	2226	0.00020
Tsukamurella	2060	G	13016	2745	15761	0.00138
Dietzia	37914	G	7531	1503	9034	0.00079
Tomitella	741759	G	4528	794	5322	0.00047
Segniliparus	286801	G	1122	52	1174	0.00010
Amycolatopsis	1813	G	182806	29505	212311	0.01861
Pseudonocardia	1847	G	124570	19638	144208	0.01264
Saccharopolyspora	1835	G	28421	5197	33618	0.00295
Saccharothrix	2071	G	22941	5609	28550	0.00250
Kutzneria	43356	G	16272	2913	19185	0.00168
Saccharomonospora	1851	G	15255	2406	17661	0.00155
Actinoalloteichus	65496	G	8794	757	9551	0.00084
Actinosynnema	40566	G	8721	2423	11144	0.00098
Lentzea	165301	G	7695	1406	9101	0.00080
Kibdelosporangium	2029	G	6917	721	7638	0.00067
Allokutzneria	1137960	G	6092	1258	7350	0.00064
Alloactinosynnema	674734	G	5258	1007	6265	0.00055
Prauserella	142577	G	3246	258	3504	0.00031
Allosaccharopolyspora	2893576	G	2586	488	3074	0.00027
Micromonospora	1873	G	148946	34192	183138	0.01605
Actinoplanes	1865	G	112863	16530	129393	0.01134
Dactylosporangium	35753	G	21525	2052	23577	0.00207
Phytohabitans	907364	G	19406	2226	21632	0.00190
Couchioplanes	56433	G	16827	3753	20580	0.00180
Plantactinospora	673534	G	14249	2286	16535	0.00145
Actinocatenispora	390988	G	13680	1460	15140	0.00133
Catellatospora	53365	G	9953	1883	11836	0.00104
Polymorphospora	338583	G	6641	1283	7924	0.00069
Natronosporangium	2920401	G	3815	222	4037	0.00035
Verrucosispora	84593	G	3074	2170	5244	0.00046
Salinispora	168694	G	2302	342	2644	0.00023
Actinomadura	1988	G	112175	18317	130492	0.01144
Thermomonospora	2019	G	12115	3032	15147	0.00133
Nonomuraea	83681	G	50061	7303	57364	0.00503
Streptosporangium	2000	G	24429	4078	28507	0.00250
Thermobispora	147067	G	4733	936	5669	0.00050
Nocardiopsis	2013	G	16273	2981	19254	0.00169
Thermobifida	83677	G	6755	1164	7919	0.00069
Streptomonospora	104204	G	3518	588	4106	0.00036
Spiractinospora	2913367	G	2441	136	2577	0.00023
Blastococcus	38501	G	41852	10935	52787	0.00463
Modestobacter	88138	G	30211	8235	38446	0.00337
Geodermatophilus	1860	G	19297	5821	25118	0.00220
Frankia	1854	G	30898	2588	33486	0.00294
Actinomyces	1654	G	21656	2541	24197	0.00212
Schaalia	2529408	G	2796	425	3221	0.00028
Flaviflexus	1522056	G	1666	342	2008	0.00018
Trueperella	1069494	G	1402	353	1755	0.00015
Jiangella	281472	G	17445	2550	19995	0.00175
Nakamurella	53460	G	15669	1850	17519	0.00154
Bifidobacterium	1678	G	11208	2669	13877	0.00122
Catenulispora	414878	G	9978	1211	11189	0.00098
Jatrophihabitans	1434010	G	7425	542	7967	0.00070
Stackebrandtia	283810	G	3745	289	4034	0.00035
Kineococcus	33981	G	4161	959	5120	0.00045
Epidermidibacterium	2078948	G	2398	957	3355	0.00029
Actinopolyspora	1849	G	2020	172	2192	0.00019
Acidothermus	28048	G	1327	57	1384	0.00012
Conexibacter	191494	G	135505	17146	152651	0.01338
Miltoncostaea	2843200	G	28691	3169	31860	0.00279
Baekduia	2600304	G	57335	8194	65529	0.00574
Rubrobacter	42255	G	19910	720	20630	0.00181
Aquihabitans	1648491	G	21242	3102	24344	0.00213
Iamia	467975	G	9252	1313	10565	0.00093
Actinomarinicola	2789775	G	9041	1585	10626	0.00093
Ilumatobacter	682522	G	4392	235	4627	0.00041
Acidimicrobium	53634	G	1659	112	1771	0.00016
Eggerthella	84111	G	2876	791	3667	0.00032
Gordonibacter	644652	G	1547	587	2134	0.00019
Adlercreutzia	447020	G	1301	241	1542	0.00014
Arabiibacter	2005386	G	1263	209	1472	0.00013
Olsenella	133925	G	2028	399	2427	0.00021
Parolsenella	2082587	G	1272	415	1687	0.00015
Collinsella	102106	G	1752	465	2217	0.00019
Egibacter	1747770	G	4552	229	4781	0.00042
Egicoccus	1755825	G	4022	527	4549	0.00040
Euzebya	908623	G	3890	273	4163	0.00036
Priestia	2800373	G	31510	28081	59591	0.00522
Bacillus	1386	G	14937	29198	44135	0.00387
Geobacillus	129337	G	2176	585	2761	0.00024
Neobacillus	2675232	G	2163	809	2972	0.00026
Peribacillus	2675229	G	1656	623	2279	0.00020
Hydrogenibacillus	1609627	G	1494	187	1681	0.00015
Anoxybacillus	150247	G	1036	219	1255	0.00011
Cytobacillus	2675230	G	1015	383	1398	0.00012
Paenibacillus	44249	G	35229	3189	38418	0.00337
Brevibacillus	55080	G	3262	516	3778	0.00033
Cohnella	329857	G	2331	306	2637	0.00023
Thermobacillus	76632	G	1340	157	1497	0.00013
Saccharibacillus	456492	G	1050	109	1159	0.00010
Alicyclobacillus	29330	G	2167	147	2314	0.00020
Tumebacillus	432330	G	1527	470	1997	0.00018
Planococcus	1372	G	1117	316	1433	0.00013
Exiguobacterium	33986	G	1021	260	1281	0.00011
Faecalibacterium	216851	G	1592	1503	3095	0.00027
Thermaerobacter	73918	G	5232	465	5697	0.00050
Symbiobacterium	2733	G	2122	222	2344	0.00021
Clostridium	1485	G	1377	463	1840	0.00016
Selenomonas	970	G	2537	157	2694	0.00024
Limnochorda	1676651	G	1927	63	1990	0.00017
Deinococcus	1298	G	23648	1870	25518	0.00224
Thermus	270	G	3595	247	3842	0.00034
Oceanithermus	208447	G	1984	167	2151	0.00019
Meiothermus	65551	G	1863	96	1959	0.00017
Marinithermus	186191	G	1196	159	1355	0.00012
Truepera	332248	G	1723	75	1798	0.00016
Synechococcus	1129	G	10790	1203	11993	0.00105
Cyanobium	167375	G	2359	505	2864	0.00025
Nostoc	1177	G	1683	900	2583	0.00023
Gloeobacter	33071	G	3025	78	3103	0.00027
Leptolyngbya	47251	G	1414	141	1555	0.00014
Sphaerobacter	2056	G	5223	261	5484	0.00048
Thermomicrobium	499	G	1235	21	1256	0.00011
Roseiflexus	120961	G	3133	145	3278	0.00029
Chloroflexus	1107	G	1058	36	1094	0.00010
Tepidiforma	2682228	G	3138	108	3246	0.00028
Candidatus Promineofilum	1988031	G	2815	46	2861	0.00025
Ktedonosporobacter	2692417	G	2231	58	2289	0.00020
Caldilinea	233191	G	1355	75	1430	0.00013
Fimbriimonas	1005038	G	1866	8	1874	0.00016
Bradyrhizobium	374	G	579564	59810	639374	0.05604
Rhodopseudomonas	1073	G	26166	5877	32043	0.00281
Nitrobacter	911	G	11396	1134	12530	0.00110
Tardiphaga	1395974	G	10464	1011	11475	0.00101
Afipia	1033	G	9198	2975	12173	0.00107
Variibacter	1649510	G	5159	307	5466	0.00048
Mesorhizobium	68287	G	113018	16654	129672	0.01137
Aquibium	2911176	G	6509	1245	7754	0.00068
Aminobacter	31988	G	5309	2887	8196	0.00072
Nitratireductor	245876	G	4131	491	4622	0.00041
Phyllobacterium	28100	G	2784	217	3001	0.00026
Roseitalea	1915401	G	2053	272	2325	0.00020
Hoeflea	274591	G	1648	120	1768	0.00016
Oricola	1594166	G	1411	151	1562	0.00014
Rhizobium	379	G	61592	25472	87064	0.00763
Agrobacterium	357	G	12856	3457	16313	0.00143
Neorhizobium	1525371	G	5982	1086	7068	0.00062
Pseudorhizobium	1903858	G	1648	243	1891	0.00017
Sinorhizobium	28105	G	13576	4697	18273	0.00160
Ensifer	106591	G	12329	1890	14219	0.00125
Shinella	323620	G	10215	5760	15975	0.00140
Ciceribacter	1648508	G	1382	210	1592	0.00014
Georhizobium	2661800	G	1297	217	1514	0.00013
Methylobacterium	407	G	70235	10355	80590	0.00706
Microvirga	186650	G	23600	2228	25828	0.00226
Methylorubrum	2282523	G	15094	5182	20276	0.00178
Rhodoplanes	29407	G	52123	3945	56068	0.00491
Hyphomicrobium	81	G	13175	657	13832	0.00121
Methyloceanibacter	1484898	G	3770	199	3969	0.00035
Methyloligella	1485594	G	2362	222	2584	0.00023
Aquabacter	45402	G	2347	303	2650	0.00023
Rhodomicrobium	1068	G	1603	85	1688	0.00015
Caenibius	2827482	G	1312	507	1819	0.00016
Pseudolabrys	556257	G	36965	4336	41301	0.00362
Starkeya	152053	G	9472	1983	11455	0.00100
Xanthobacter	279	G	8483	1629	10112	0.00089
Ancylobacter	99	G	8285	2383	10668	0.00094
Labrys	204476	G	4474	366	4840	0.00042
Azorhizobium	6	G	2802	483	3285	0.00029
Bosea	85413	G	32429	4091	36520	0.00320
Devosia	46913	G	17531	1148	18679	0.00164
Youhaiella	1827478	G	1996	379	2375	0.00021
Paradevosia	1573407	G	1991	628	2619	0.00023
Aureimonas	414371	G	11267	1852	13119	0.00115
Martelella	293088	G	6093	944	7037	0.00062
Aurantimonas	182269	G	3027	717	3744	0.00033
Nordella	169055	G	7474	325	7799	0.00068
Pseudorhodoplanes	1734920	G	7363	422	7785	0.00068
Terrihabitans	2874214	G	1832	162	1994	0.00017
Methylocystis	133	G	10242	737	10979	0.00096
Methylosinus	425	G	5187	640	5827	0.00051
Phreatobacter	1632780	G	12223	1628	13851	0.00121
Stappia	152161	G	4587	697	5284	0.00046
Roseibium	150830	G	2341	243	2584	0.00023
Pannonibacter	227873	G	2184	1237	3421	0.00030
Labrenzia	478070	G	1948	140	2088	0.00018
Methylocella	120652	G	3684	305	3989	0.00035
Methylovirgula	1156568	G	3064	220	3284	0.00029
Blastochloris	59282	G	7624	1424	9048	0.00079
Kaustia	2838250	G	3577	278	3855	0.00034
Parvibaculum	256616	G	1682	955	2637	0.00023
Pyruvatibacter	1742974	G	1215	128	1343	0.00012
Chelatococcus	28209	G	6575	1174	7749	0.00068
Kaistia	166953	G	4388	856	5244	0.00046
Acuticoccus	1904377	G	4189	367	4556	0.00040
Brucella	234	G	3692	1768	5460	0.00048
Lichenihabitans	2723776	G	2728	105	2833	0.00025
Breoghania	1406135	G	2481	261	2742	0.00024
Hartmannibacter	1572860	G	2465	347	2812	0.00025
Sphingomonas	13687	G	127401	15284	142685	0.01251
Sphingobium	165695	G	29372	13011	42383	0.00372
Sphingopyxis	165697	G	24717	4325	29042	0.00255
Novosphingobium	165696	G	18390	5729	24119	0.00211
Rhizorhabdus	1649486	G	8051	3092	11143	0.00098
Sphingosinithalassobacter	2676233	G	3079	638	3717	0.00033
Allosphingosinicella	2823232	G	2307	234	2541	0.00022
Parasphingopyxis	1234545	G	1950	80	2030	0.00018
Sphingorhabdus	1434046	G	1846	98	1944	0.00017
Blastomonas	150203	G	1709	273	1982	0.00017
Hankyongella	1763827	G	1255	199	1454	0.00013
Tardibacter	2685927	G	1090	649	1739	0.00015
Erythrobacter	1041	G	10740	2356	13096	0.00115
Porphyrobacter	1111	G	3456	810	4266	0.00037
Qipengyuania	1855416	G	6655	1550	8205	0.00072
Croceicoccus	1295327	G	4089	2114	6203	0.00054
Altererythrobacter	361177	G	3688	795	4483	0.00039
Tsuneonella	2800686	G	3602	625	4227	0.00037
Sphingosinicella	335405	G	5951	543	6494	0.00057
Polymorphobacter	1508451	G	3533	123	3656	0.00032
Sandaracinobacter	56358	G	1445	86	1531	0.00013
Azospirillum	191	G	39290	4177	43467	0.00381
Skermanella	204447	G	14406	1726	16132	0.00141
Nitrospirillum	1543705	G	3012	276	3288	0.00029
Indioceanicola	2478349	G	2176	235	2411	0.00021
Niveispirillum	1543704	G	1155	102	1257	0.00011
Roseomonas	125216	G	24650	3099	27749	0.00243
Rhodovastum	504465	G	5945	478	6423	0.00056
Komagataeibacter	1434011	G	3935	1499	5434	0.00048
Acidiphilium	522	G	3499	1595	5094	0.00045
Roseococcus	35812	G	3073	228	3301	0.00029
Acidibrevibacterium	2603324	G	2621	191	2812	0.00025
Sediminicoccus	1706033	G	2556	105	2661	0.00023
Lichenicola	2804525	G	2531	98	2629	0.00023
Acetobacter	434	G	2122	569	2691	0.00024
Gluconacetobacter	89583	G	1576	262	1838	0.00016
Gluconobacter	441	G	1556	333	1889	0.00017
Granulibacter	364409	G	1032	74	1106	0.00010
Hypericibacter	2705399	G	11744	595	12339	0.00108
Magnetospirillum	13134	G	6888	109269	116157	0.01018
Rhodospirillum	1081	G	4216	401	4617	0.00040
Tistrella	171436	G	3139	1131	4270	0.00037
Ferrovibrio	1231242	G	2198	117	2315	0.00020
Defluviicoccus	111830	G	1640	123	1763	0.00015
Stella	93	G	6280	363	6643	0.00058
Elioraea	457933	G	3166	131	3297	0.00029
Thalassospira	168934	G	1248	97	1345	0.00012
Paracoccus	265	G	22508	3263	25771	0.00226
Cereibacter	1653176	G	5920	1642	7562	0.00066
Rhodobacter	1060	G	5646	1393	7039	0.00062
Rhodovulum	34008	G	3304	625	3929	0.00034
Paroceanicella	2683599	G	2540	580	3120	0.00027
Polymorphum	991903	G	2537	538	3075	0.00027
Thioclava	285107	G	1821	192	2013	0.00018
Pikeienuella	2831955	G	1787	146	1933	0.00017
Pontivivens	1844015	G	1661	105	1766	0.00015
Pelagovum	2795377	G	1452	153	1605	0.00014
Silicimonas	1955420	G	1353	67	1420	0.00012
Frigidibacter	1775705	G	1240	439	1679	0.00015
Pukyongiella	2831925	G	1209	253	1462	0.00013
Brevirhabdus	1855413	G	1018	425	1443	0.00013
Roseovarius	74030	G	5916	789	6705	0.00059
Sulfitobacter	60136	G	5795	938	6733	0.00059
Salipiger	263377	G	4603	1270	5873	0.00051
Roseivivax	93682	G	3463	502	3965	0.00035
Celeribacter	875170	G	2492	827	3319	0.00029
Phaeobacter	302485	G	2154	366	2520	0.00022
Leisingera	191028	G	2115	245	2360	0.00021
Ruegeria	97050	G	2030	265	2295	0.00020
Pseudosulfitobacter	2854186	G	1574	369	1943	0.00017
Sagittula	58842	G	1571	542	2113	0.00019
Yangia	2919626	G	1527	218	1745	0.00015
Ponticoccus	983507	G	1218	157	1375	0.00012
Mameliella	1434019	G	1166	183	1349	0.00012
Caulobacter	75	G	28714	3570	32284	0.00283
Brevundimonas	41275	G	22453	2836	25289	0.00222
Phenylobacterium	20	G	8148	1121	9269	0.00081
Asticcacaulis	76890	G	1916	125	2041	0.00018
Terricaulis	2768684	G	1354	39	1393	0.00012
Marinicauda	1649466	G	1851	272	2123	0.00019
Hyphomonas	85	G	2151	84	2235	0.00020
Burkholderia	32008	G	107862	62369	170231	0.01492
Paraburkholderia	1822464	G	58538	5350	63888	0.00560
Cupriavidus	106589	G	54377	33403	87780	0.00769
Pandoraea	93217	G	19141	3590	22731	0.00199
Caballeronia	1827195	G	17664	2051	19715	0.00173
Ralstonia	48736	G	16811	6739	23550	0.00206
Polynucleobacter	44013	G	1407	31	1438	0.00013
Variovorax	34072	G	57364	16426	73790	0.00647
Acidovorax	12916	G	19846	8533	28379	0.00249
Hydrogenophaga	47420	G	19250	7351	26601	0.00233
Comamonas	283	G	11868	4732	16600	0.00146
Ramlibacter	174951	G	10920	3638	14558	0.00128
Rhodoferax	28065	G	9951	2059	12010	0.00105
Diaphorobacter	238749	G	6411	5954	12365	0.00108
Delftia	80865	G	6201	5414	11615	0.00102
Schlegelella	215579	G	6168	1555	7723	0.00068
Kinneretia	683756	G	4390	2298	6688	0.00059
Polaromonas	52972	G	4334	298	4632	0.00041
Ottowia	219181	G	3230	475	3705	0.00032
Alicycliphilus	201096	G	2969	4532	7501	0.00066
Melaminivora	1649468	G	2609	2004	4613	0.00040
Serpentinimonas	2490452	G	1831	371	2202	0.00019
Verminephrobacter	364316	G	1547	161	1708	0.00015
Pulveribacter	2678886	G	1243	546	1789	0.00016
Hylemonella	232523	G	1230	149	1379	0.00012
Massilia	149698	G	54771	8205	62976	0.00552
Duganella	75654	G	4891	1365	6256	0.00055
Herbaspirillum	963	G	9937	1570	11507	0.00101
Janthinobacterium	29580	G	9924	2660	12584	0.00110
Collimonas	202907	G	4544	418	4962	0.00043
Noviherbaspirillum	1344552	G	2553	354	2907	0.00025
Achromobacter	222	G	32520	11503	44023	0.00386
Bordetella	517	G	26052	17915	43967	0.00385
Pigmentiphaga	152267	G	4452	404	4856	0.00043
Orrella	1921582	G	1854	456	2310	0.00020
Castellaniella	359336	G	1731	974	2705	0.00024
Alcaligenes	507	G	1234	270	1504	0.00013
Rhizobacter	212743	G	7799	1446	9245	0.00081
Sphaerotilus	34102	G	5546	2361	7907	0.00069
Rubrivivax	28067	G	4247	1134	5381	0.00047
Methylibium	316612	G	4211	1109	5320	0.00047
Thiomonas	32012	G	3678	195	3873	0.00034
Aquincola	391952	G	3379	999	4378	0.00038
Mitsuaria	65047	G	3215	545	3760	0.00033
Leptothrix	88	G	2922	790	3712	0.00033
Xylophilus	54066	G	2643	655	3298	0.00029
Ideonella	36862	G	1754	896	2650	0.00023
Tepidimonas	114248	G	1589	495	2084	0.00018
Aquabacterium	92793	G	1451	327	1778	0.00016
Roseateles	93681	G	1421	232	1653	0.00014
Sutterella	40544	G	1266	101	1367	0.00012
Thauera	33057	G	10674	5709	16383	0.00144
Azoarcus	12960	G	9119	2461	11580	0.00102
Nitrogeniibacter	2891294	G	2914	392	3306	0.00029
Aromatoleum	551759	G	8539	2124	10663	0.00093
Azospira	146937	G	5798	2217	8015	0.00070
Niveibacterium	1769726	G	1582	192	1774	0.00016
Oryzomicrobium	1911577	G	1076	225	1301	0.00011
Dechloromonas	73029	G	2665	404	3069	0.00027
Ferribacterium	88875	G	2287	336	2623	0.00023
Quatrionicoccus	138117	G	1022	259	1281	0.00011
Usitatibacter	2803845	G	16928	1162	18090	0.00159
Denitratisoma	311181	G	2267	976	3243	0.00028
Sulfuritalea	1054211	G	1745	221	1966	0.00017
Methyloversatilis	378210	G	1621	189	1810	0.00016
Sterolibacterium	157591	G	1138	273	1411	0.00012
Nitrosospira	35798	G	5096	152	5248	0.00046
Thiobacillus	919	G	2159	372	2531	0.00022
Sulfuritortus	1938335	G	1427	531	1958	0.00017
Sideroxydans	314343	G	1476	229	1705	0.00015
Sulfuriferula	1778653	G	1120	159	1279	0.00011
Sulfurimicrobium	2772198	G	1079	126	1205	0.00011
Chromobacterium	535	G	9544	1839	11383	0.00100
Jeongeupia	885864	G	2607	406	3013	0.00026
Paludibacterium	400060	G	2185	313	2498	0.00022
Pseudogulbenkiania	568394	G	1574	438	2012	0.00018
Vogesella	57739	G	1481	303	1784	0.00016
Aquitalea	407217	G	1279	208	1487	0.00013
Microvirgula	57479	G	1061	168	1229	0.00011
Neisseria	482	G	3421	1114	4535	0.00040
Crenobacter	1654931	G	1757	486	2243	0.00020
Chitinolyticbacter	1055692	G	1249	129	1378	0.00012
Casimicrobium	2706000	G	1254	496	1750	0.00015
Lysobacter	68	G	65282	9526	74808	0.00656
Stenotrophomonas	40323	G	27700	10569	38269	0.00335
Xanthomonas	338	G	27425	12432	39857	0.00349
Luteimonas	83614	G	16745	2884	19629	0.00172
Pseudoxanthomonas	83618	G	11464	4319	15783	0.00138
Thermomonas	141948	G	7833	1839	9672	0.00085
Arenimonas	490567	G	1812	305	2117	0.00019
Pseudolysobacter	2709666	G	1631	36	1667	0.00015
Frateuria	70411	G	12691	2572	15263	0.00134
Luteibacter	242605	G	11873	1070	12943	0.00113
Dyella	231454	G	10131	1409	11540	0.00101
Rhodanobacter	75309	G	9377	1662	11039	0.00097
Dokdonella	323413	G	4540	652	5192	0.00046
Aerosticca	2707020	G	1886	2009	3895	0.00034
Ahniella	2233801	G	1007	21	1028	0.00009
Pseudomonas	286	G	199759	57668	257427	0.02256
Azotobacter	352	G	4018	7948	11966	0.00105
