name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Corynebacteriales	85007	O	1188124	76563	1264687	0.11122
Streptomycetales	85011	O	1016074	160449	1176523	0.10347
Micrococcales	85006	O	724953	74016	798969	0.07027
Pseudonocardiales	85010	O	335400	36135	371535	0.03268
Micromonosporales	85008	O	259444	26337	285781	0.02513
Propionibacteriales	85009	O	246523	32069	278592	0.02450
Streptosporangiales	85012	O	227904	27996	255900	0.02251
Geodermatophilales	1643682	O	42862	7872	50734	0.00446
Actinomycetales	2037	O	18351	1887	20238	0.00178
Frankiales	85013	O	18175	1332	19507	0.00172
Catenulisporales	414714	O	11375	1213	12588	0.00111
Jiangellales	1217098	O	9242	1199	10441	0.00092
Nakamurellales	1643684	O	9204	947	10151	0.00089
Bifidobacteriales	85004	O	7175	1369	8544	0.00075
Jatrophihabitantales	2805415	O	5089	317	5406	0.00048
Glycomycetales	85014	O	2571	150	2721	0.00024
Kineosporiales	622452	O	2266	455	2721	0.00024
Sporichthyales	2495578	O	1469	539	2008	0.00018
Actinopolysporales	622450	O	1249	92	1341	0.00012
Solirubrobacterales	588673	O	66258	6730	72988	0.00642
Miltoncostaeales	2843198	O	15671	1413	17084	0.00150
Rubrobacterales	84996	O	35796	3304	39100	0.00344
Acidimicrobiales	84993	O	31234	2471	33705	0.00296
Eggerthellales	1643822	O	5958	627	6585	0.00058
Coriobacteriales	84999	O	4277	543	4820	0.00042
Egibacterales	1747768	O	2379	99	2478	0.00022
Euzebyales	908621	O	2163	126	2289	0.00020
Egicoccales	1755823	O	2085	228	2313	0.00020
Bacillales	1385	O	1275485	167880	1443365	0.12694
Lactobacillales	186826	O	5589	1938	7527	0.00066
Eubacteriales	186802	O	19628	3006	22634	0.00199
Thermoanaerobacterales	68295	O	1979	154	2133	0.00019
Selenomonadales	909929	O	7739	332	8071	0.00071
Limnochordales	1676649	O	1201	22	1223	0.00011
Deinococcales	118964	O	14866	1094	15960	0.00140
Thermales	68933	O	5176	188	5364	0.00047
Trueperales	2762275	O	1042	35	1077	0.00009
Synechococcales	1890424	O	9556	516	10072	0.00089
Nostocales	1161	O	3683	364	4047	0.00036
Oscillatoriales	1150	O	1560	146	1706	0.00015
Gloeobacterales	307595	O	2078	32	2110	0.00019
Pseudanabaenales	2881377	O	2005	102	2107	0.00019
Sphaerobacterales	85001	O	3439	231	3670	0.00032
Chloroflexales	32064	O	2568	100	2668	0.00023
Ktedonobacterales	388448	O	2441	89	2530	0.00022
Tepidiformales	2682226	O	1885	52	1937	0.00017
Ardenticatenales	1382929	O	1775	22	1797	0.00016
Fimbriimonadales	1663425	O	1123	3	1126	0.00010
Hyphomicrobiales	356	O	1869161	75271	1944432	0.17101
Sphingomonadales	204457	O	261617	19337	280954	0.02471
Rhodospirillales	204441	O	163838	87781	251619	0.02213
Rhodobacterales	204455	O	95055	5409	100464	0.00884
Caulobacterales	204458	O	67108	4845	71953	0.00633
Maricaulales	2800059	O	2832	219	3051	0.00027
Hyphomonadales	2800060	O	2745	82	2827	0.00025
Burkholderiales	80840	O	622311	107478	729789	0.06418
Rhodocyclales	206389	O	30992	6880	37872	0.00333
Nitrosomonadales	32003	O	28555	2403	30958	0.00272
Neisseriales	206351	O	22272	4248	26520	0.00233
Xanthomonadales	135614	O	216645	34335	250980	0.02207
Pseudomonadales	72274	O	151519	39300	190819	0.01678
Enterobacterales	91347	O	54231	62302	116533	0.01025
Oceanospirillales	135619	O	26334	2587	28921	0.00254
Chromatiales	135613	O	25642	1396	27038	0.00238
Aeromonadales	135624	O	10364	5265	15629	0.00137
Methylococcales	135618	O	9273	295	9568	0.00084
Alteromonadales	135622	O	7450	704	8154	0.00072
Cellvibrionales	1706369	O	6175	214	6389	0.00056
Nevskiales	1775403	O	5365	725	6090	0.00054
Vibrionales	135623	O	4950	1015	5965	0.00052
Acidiferrobacterales	1692040	O	4009	132	4141	0.00036
Moraxellales	2887326	O	2931	795	3726	0.00033
Legionellales	118969	O	2045	60	2105	0.00019
Thiotrichales	72273	O	1621	1586	3207	0.00028
Immundisolibacterales	1934945	O	1286	186	1472	0.00013
Pasteurellales	135625	O	1141	414	1555	0.00014
Myxococcales	29	O	313649	9984	323633	0.02846
Desulfuromonadales	69541	O	17634	1259	18893	0.00166
Desulfovibrionales	213115	O	13122	1066	14188	0.00125
Desulfobacterales	213118	O	4777	406	5183	0.00046
Bradymonadales	1779134	O	3887	80	3967	0.00035
Campylobacterales	213849	O	2991	119	3110	0.00027
Acidithiobacillales	225057	O	1160	90	1250	0.00011
Isosphaerales	2691356	O	87262	4988	92250	0.00811
Gemmatales	2691355	O	43034	759	43793	0.00385
Pirellulales	2691354	O	40041	493	40534	0.00356
Planctomycetales	112	O	39790	3597	43387	0.00382
Tepidisphaerales	1771349	O	4723	82	4805	0.00042
Phycisphaerales	666506	O	2807	112	2919	0.00026
Opitutales	415000	O	19315	687	20002	0.00176
Verrucomicrobiales	48461	O	8044	1025	9069	0.00080
Cytophagales	768507	O	25840	482	26322	0.00232
Chitinophagales	1853229	O	25660	317	25977	0.00228
Flavobacteriales	200644	O	13446	1115	14561	0.00128
Sphingobacteriales	200666	O	10633	935	11568	0.00102
Bacteroidales	171549	O	7798	1982	9780	0.00086
Bacteroidetes Order II. Incertae sedis	1100069	O	4790	138	4928	0.00043
Chlorobiales	191411	O	2115	57	2172	0.00019
Gemmatimonadales	219686	O	37050	1269	38319	0.00337
Acidobacteriales	204433	O	29806	458	30264	0.00266
Bryobacterales	332160	O	4904	102	5006	0.00044
Vicinamibacterales	2910145	O	12552	2131	14683	0.00129
Acanthopleuribacterales	533206	O	1085	23	1108	0.00010
Nitrospirales	189778	O	4736	40	4776	0.00042
Spirochaetales	136	O	1870	54	1924	0.00017
Synergistales	649776	O	1718	82	1800	0.00016
Hypocreales	5125	O	53190	1920	55110	0.00485
Glomerellales	1028384	O	1110	381	1491	0.00013
Sordariales	5139	O	3366	123	3489	0.00031
Magnaporthales	639021	O	1307	17	1324	0.00012
Eurotiales	5042	O	4761	304	5065	0.00045
Saccharomycetales	4892	O	12245	426	12671	0.00111
Ustilaginales	5267	O	2155	81	2236	0.00020
Peronosporales	4776	O	4288	1075	5363	0.00047
