name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetaceae	2062	F	1533048	310704	1843752	0.13084
Microbacteriaceae	85023	F	551374	70006	621380	0.04409
Micrococcaceae	1268	F	239459	51615	291074	0.02066
Intrasporangiaceae	85021	F	86757	19173	105930	0.00752
Cellulomonadaceae	85016	F	78474	22592	101066	0.00717
Promicromonosporaceae	85017	F	37827	12615	50442	0.00358
Ornithinimicrobiaceae	2805590	F	32369	5907	38276	0.00272
Dermabacteraceae	85020	F	23109	3857	26966	0.00191
Brevibacteriaceae	85019	F	20857	3719	24576	0.00174
Dermacoccaceae	145357	F	16981	3421	20402	0.00145
Bogoriellaceae	145358	F	15875	4158	20033	0.00142
Ruaniaceae	1331736	F	13166	13398	26564	0.00189
Beutenbergiaceae	125316	F	9070	2507	11577	0.00082
Sanguibacteraceae	145360	F	6547	1769	8316	0.00059
Dermatophilaceae	85018	F	2799	239	3038	0.00022
Kytococcaceae	2805426	F	2785	1925	4710	0.00033
Nocardioidaceae	85015	F	703039	128005	831044	0.05897
Propionibacteriaceae	31957	F	74649	13939	88588	0.00629
Kribbellaceae	2726069	F	36848	4874	41722	0.00296
Actinopolymorphaceae	2805400	F	14811	1477	16288	0.00116
Mycobacteriaceae	1762	F	361146	43270	404416	0.02870
Nocardiaceae	85025	F	203288	35645	238933	0.01696
Corynebacteriaceae	1653	F	53393	11680	65073	0.00462
Gordoniaceae	85026	F	48866	9435	58301	0.00414
Tsukamurellaceae	85028	F	14776	3324	18100	0.00128
Dietziaceae	85029	F	8712	8150	16862	0.00120
Segniliparaceae	316606	F	1240	61	1301	0.00009
Pseudonocardiaceae	2070	F	492450	64997	557447	0.03956
Micromonosporaceae	28056	F	425215	54359	479574	0.03403
Thermomonosporaceae	2012	F	152227	25683	177910	0.01262
Streptosporangiaceae	2004	F	85697	12371	98068	0.00696
Nocardiopsaceae	83676	F	34324	5048	39372	0.00279
Geodermatophilaceae	85030	F	147709	33017	180726	0.01282
Nakamurellaceae	85031	F	89340	13708	103048	0.00731
Actinomycetaceae	2049	F	34609	4553	39162	0.00278
Frankiaceae	74712	F	33883	2987	36870	0.00262
Jiangellaceae	1217100	F	21552	3343	24895	0.00177
Bifidobacteriaceae	31953	F	13066	3864	16930	0.00120
Catenulisporaceae	414877	F	8768	1133	9901	0.00070
Jatrophihabitantaceae	2805416	F	7245	565	7810	0.00055
Kineosporiaceae	83778	F	4928	1208	6136	0.00044
Glycomycetaceae	85034	F	4795	342	5137	0.00036
Sporichthyaceae	85033	F	2773	1171	3944	0.00028
Actinopolysporaceae	622451	F	2208	201	2409	0.00017
Acidothermaceae	85032	F	1454	67	1521	0.00011
Conexibacteraceae	320583	F	191405	25836	217241	0.01542
Miltoncostaeaceae	2843199	F	33953	4001	37954	0.00269
Baekduiaceae	2600303	F	76344	11587	87931	0.00624
Rubrobacteraceae	84997	F	26140	1023	27163	0.00193
Iamiaceae	633392	F	40464	4663	45127	0.00320
Ilumatobacteraceae	2448023	F	4665	267	4932	0.00035
Acidimicrobiaceae	84994	F	1779	129	1908	0.00014
Eggerthellaceae	1643826	F	11526	1663	13189	0.00094
Atopobiaceae	1643824	F	5851	1198	7049	0.00050
Coriobacteriaceae	84107	F	2454	524	2978	0.00021
Egibacteraceae	1747769	F	5261	273	5534	0.00039
Egicoccaceae	1755824	F	4530	616	5146	0.00037
Euzebyaceae	908622	F	4474	321	4795	0.00034
Bacillaceae	186817	F	47694	46626	94320	0.00669
Paenibacillaceae	186822	F	47685	3813	51498	0.00365
Alicyclobacillaceae	186823	F	4951	724	5675	0.00040
Planococcaceae	186818	F	2464	694	3158	0.00022
Thermoactinomycetaceae	186824	F	1628	1697	3325	0.00024
Staphylococcaceae	90964	F	1164	4846	6010	0.00043
Lactobacillaceae	33958	F	3258	1047	4305	0.00031
Streptococcaceae	1300	F	1134	680	1814	0.00013
Oscillospiraceae	216572	F	7544	3157	10701	0.00076
Clostridiales Family XVII. Incertae Sedis	539000	F	5817	1310	7127	0.00051
Lachnospiraceae	186803	F	2471	808	3279	0.00023
Symbiobacteriaceae	543349	F	2341	176	2517	0.00018
Clostridiaceae	31979	F	2301	362	2663	0.00019
Peptococcaceae	186807	F	1369	107	1476	0.00010
Thermoanaerobacteraceae	186814	F	2729	465	3194	0.00023
Selenomonadaceae	1843491	F	2862	182	3044	0.00022
Limnochordaceae	1676650	F	2310	80	2390	0.00017
Deinococcaceae	183710	F	28969	1262	30231	0.00215
Thermaceae	188786	F	10041	541	10582	0.00075
Trueperaceae	332247	F	2045	93	2138	0.00015
Synechococcaceae	1890426	F	12268	1256	13524	0.00096
Prochlorococcaceae	2881426	F	2896	561	3457	0.00025
Nostocaceae	1162	F	2435	959	3394	0.00024
Calotrichaceae	2661849	F	1082	120	1202	0.00009
Oscillatoriaceae	1892254	F	1436	260	1696	0.00012
Gloeobacteraceae	1890422	F	3809	82	3891	0.00028
Leptolyngbyaceae	1890438	F	2482	185	2667	0.00019
Sphaerobacteraceae	85002	F	6036	312	6348	0.00045
Thermomicrobiaceae	189777	F	1398	24	1422	0.00010
Roseiflexaceae	1508635	F	3832	199	4031	0.00029
Chloroflexaceae	1106	F	1268	49	1317	0.00009
Tepidiformaceae	2682227	F	3394	126	3520	0.00025
Ardenticatenaceae	1382930	F	3208	56	3264	0.00023
Caldilineaceae	475964	F	1559	90	1649	0.00012
Ktedonosporobacteraceae	2692416	F	1312	36	1348	0.00010
Anaerolineaceae	292628	F	1189	752	1941	0.00014
Fimbriimonadaceae	1663426	F	2004	10	2014	0.00014
Bradyrhizobiaceae	41294	F	645229	50413	695642	0.04936
Phyllobacteriaceae	69277	F	178683	27837	206520	0.01466
Rhizobiaceae	82115	F	158998	29004	188002	0.01334
Methylobacteriaceae	119045	F	155250	22043	177293	0.01258
Hyphomicrobiaceae	45401	F	74602	5880	80482	0.00571
Xanthobacteraceae	335928	F	71545	10143	81688	0.00580
Boseaceae	2831100	F	53004	7391	60395	0.00429
Devosiaceae	2831106	F	30951	2235	33186	0.00235
Aurantimonadaceae	255475	F	23900	23079	46979	0.00333
Methylocystaceae	31993	F	17613	1292	18905	0.00134
Phreatobacteraceae	2843305	F	14087	2016	16103	0.00114
Stappiaceae	2821832	F	13165	2512	15677	0.00111
Beijerinckiaceae	45404	F	8333	515	8848	0.00063
Parvibaculaceae	2813035	F	8099	1614	9713	0.00069
Blastochloridaceae	2831090	F	8022	1611	9633	0.00068
Chelatococcaceae	2036754	F	7439	1416	8855	0.00063
Kaistiaceae	2831111	F	5417	1132	6549	0.00046
Brucellaceae	118882	F	5203	1873	7076	0.00050
Amorphaceae	2685818	F	4786	450	5236	0.00037
Lichenihabitantaceae	2723775	F	2895	120	3015	0.00021
Pleomorphomonadaceae	2843308	F	2860	430	3290	0.00023
Breoghaniaceae	2831104	F	2667	300	2967	0.00021
Sphingomonadaceae	41297	F	387214	54089	441303	0.03132
Erythrobacteraceae	335929	F	51877	8208	60085	0.00426
Sphingosinicellaceae	2820280	F	13828	906	14734	0.00105
Azospirillaceae	2829815	F	75144	7325	82469	0.00585
Acetobacteraceae	433	F	69815	7827	77642	0.00551
Rhodospirillaceae	41295	F	35299	127508	162807	0.01155
Stellaceae	2844601	F	7523	462	7985	0.00057
Elioraeaceae	2690195	F	3641	163	3804	0.00027
Thalassospiraceae	2844866	F	2150	134	2284	0.00016
Rhodobacteraceae	31989	F	79264	9720	88984	0.00631
Roseobacteraceae	2854170	F	54607	5227	59834	0.00425
Caulobacteraceae	76892	F	81660	7142	88802	0.00630
Maricaulaceae	2800061	F	4242	383	4625	0.00033
Hyphomonadaceae	69657	F	3630	127	3757	0.00027
Parvularculaceae	255474	F	1372	85	1457	0.00010
Burkholderiaceae	119060	F	427877	110052	537929	0.03817
Comamonadaceae	80864	F	280651	87879	368530	0.02615
Oxalobacteraceae	75682	F	153000	19005	172005	0.01221
Alcaligenaceae	506	F	104889	114776	219665	0.01559
Sutterellaceae	995019	F	1664	130	1794	0.00013
Zoogloeaceae	2008794	F	30992	11478	42470	0.00301
Rhodocyclaceae	75787	F	23040	6752	29792	0.00211
Azonexaceae	2008795	F	8141	827	8968	0.00064
Usitatibacteraceae	2803844	F	22604	1660	24264	0.00172
Sterolibacteriaceae	2008793	F	9268	2298	11566	0.00082
Nitrosomonadaceae	206379	F	8365	314	8679	0.00062
Thiobacillaceae	2008790	F	5121	1339	6460	0.00046
Gallionellaceae	90627	F	4933	542	5475	0.00039
Sulfuricellaceae	2772226	F	4095	480	4575	0.00032
Methylophilaceae	32011	F	1752	146	1898	0.00013
Chromobacteriaceae	1499392	F	27242	4972	32214	0.00229
Neisseriaceae	481	F	11186	2044	13230	0.00094
Casimicrobiaceae	2705999	F	1734	784	2518	0.00018
Pseudomonadaceae	135621	F	304889	88601	393490	0.02792
Marinobacteraceae	2887365	F	5212	334	5546	0.00039
Xanthomonadaceae	32033	F	235979	50611	286590	0.02034
Rhodanobacteraceae	1775411	F	56314	7508	63822	0.00453
Enterobacteriaceae	543	F	35682	124361	160043	0.01136
Yersiniaceae	1903411	F	14411	2846	17257	0.00122
Erwiniaceae	1903409	F	13453	2212	15665	0.00111
Pectobacteriaceae	1903410	F	6720	943	7663	0.00054
Hafniaceae	1903412	F	2084	504	2588	0.00018
Morganellaceae	1903414	F	1551	783	2334	0.00017
Bruguierivoracaceae	2812006	F	1141	67	1208	0.00009
Ectothiorhodospiraceae	72276	F	20078	1536	21614	0.00153
Chromatiaceae	1046	F	15530	953	16483	0.00117
Wenzhouxiangellaceae	1676141	F	2410	1984	4394	0.00031
Thioalkalibacteraceae	2035710	F	1376	294	1670	0.00012
Thioalkalispiraceae	1096778	F	1223	379	1602	0.00011
Halomonadaceae	28256	F	34608	3432	38040	0.00270
Alcanivoracaceae	224372	F	3699	1481	5180	0.00037
Oceanospirillaceae	135620	F	2304	205	2509	0.00018
Aeromonadaceae	84642	F	16723	10811	27534	0.00195
Methylococcaceae	403	F	14430	551	14981	0.00106
Sinobacteraceae	568386	F	6572	696	7268	0.00052
Steroidobacteraceae	2689614	F	2389	491	2880	0.00020
Microbulbiferaceae	1706373	F	4311	215	4526	0.00032
Halieaceae	1706372	F	2090	172	2262	0.00016
Cellvibrionaceae	1706371	F	1584	47	1631	0.00012
Shewanellaceae	267890	F	4286	594	4880	0.00035
Alteromonadaceae	72275	F	1889	194	2083	0.00015
Pseudoalteromonadaceae	267888	F	1375	146	1521	0.00011
Acidiferrobacteraceae	1692041	F	8597	356	8953	0.00064
Vibrionaceae	641	F	5323	824	6147	0.00044
Legionellaceae	444	F	2444	152	2596	0.00018
Immundisolibacteraceae	1934946	F	2973	459	3432	0.00024
Moraxellaceae	468	F	2881	2975	5856	0.00042
Salinisphaeraceae	742031	F	1594	1272	2866	0.00020
Pasteurellaceae	712	F	1093	312	1405	0.00010
Myxococcaceae	31	F	60897	35518	96415	0.00684
Anaeromyxobacteraceae	1524215	F	55696	3571	59267	0.00421
Archangiaceae	39	F	49094	2029	51123	0.00363
Vulgatibacteraceae	1524213	F	5765	390	6155	0.00044
Polyangiaceae	49	F	100375	6947	107322	0.00762
Sandaracinaceae	1055686	F	28828	1413	30241	0.00215
Labilitrichaceae	1524216	F	14758	604	15362	0.00109
Kofleriaceae	224464	F	11986	532	12518	0.00089
Geobacteraceae	213422	F	22006	1808	23814	0.00169
Desulfuromonadaceae	213421	F	6841	873	7714	0.00055
Syntrophotaleaceae	2812024	F	1197	118	1315	0.00009
Desulfovibrionaceae	194924	F	20910	1622	22532	0.00160
Desulfomicrobiaceae	213116	F	1126	99	1225	0.00009
Desulfobacteraceae	213119	F	4776	355	5131	0.00036
Desulfobulbaceae	213121	F	2097	242	2339	0.00017
Bradymonadaceae	1779135	F	6154	708	6862	0.00049
Desulfarculaceae	453228	F	1727	734	2461	0.00017
Syntrophobacteraceae	213465	F	1719	319	2038	0.00014
Acidithiobacillaceae	225058	F	1826	163	1989	0.00014
Bdellovibrionaceae	213483	F	1165	14	1179	0.00008
Gemmataceae	1914233	F	77442	2382	79824	0.00566
Isosphaeraceae	1763524	F	65154	5690	70844	0.00503
Pirellulaceae	2691357	F	19892	732	20624	0.00146
Lacipirellulaceae	2691359	F	19632	848	20480	0.00145
Planctomycetaceae	126	F	39096	4016	43112	0.00306
Tepidisphaeraceae	1771355	F	8274	207	8481	0.00060
Phycisphaeraceae	666507	F	4990	295	5285	0.00038
Opitutaceae	134623	F	21533	948	22481	0.00160
Verrucomicrobiaceae	203557	F	9287	417	9704	0.00069
Akkermansiaceae	1647988	F	1268	1470	2738	0.00019
Hymenobacteraceae	1853232	F	29131	996	30127	0.00214
Cytophagaceae	89373	F	5527	208	5735	0.00041
Spirosomaceae	2896860	F	4733	183	4916	0.00035
