name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces sp. CdTB01	1725411	S	20289	7195	27484	0.00195
Streptomyces sp. BH-MK-02	2880933	S	18347	4823	23170	0.00165
Streptomyces sp. A2-16	2781734	S	12826	5024	17850	0.00127
Streptomyces sp. SN-593	659352	S	12450	3383	15833	0.00113
Streptomyces sp. 3214.6	1882757	S	11270	4139	15409	0.00110
Streptomyces sp. So13.3	2136173	S	10823	2380	13203	0.00094
Streptomyces sp. S4.7	2705439	S	10032	4093	14125	0.00100
Streptomyces sp. P3	2135430	S	9558	2997	12555	0.00089
Streptomyces sp. CB01881	2078691	S	9520	1984	11504	0.00082
Streptomyces sp. ZYC-3	2797636	S	8914	2216	11130	0.00079
Streptomyces sp. SCSIO 64649	2878388	S	8713	1774	10487	0.00075
Streptomyces sp. GQFP	2907545	S	7579	1613	9192	0.00065
Streptomyces sp. ST1015	1848900	S	7525	1939	9464	0.00067
Streptomyces sp. CMB-StM0423	2059884	S	7411	5076	12487	0.00089
Streptomyces sp. NHF165	2175864	S	6985	1406	8391	0.00060
Streptomyces sp. LRE541	2931983	S	6942	1996	8938	0.00064
Streptomyces sp. Z423-1	2730915	S	6927	2508	9435	0.00067
Streptomyces sp. RPA4-2	2721244	S	6681	2468	9149	0.00065
Streptomyces sp. MA3_2.13	2867410	S	6647	971	7618	0.00054
Streptomyces sp. SAT1	1849967	S	6637	2989	9626	0.00068
Streptomyces sp. SCUT-3	2684469	S	6480	2891	9371	0.00067
Streptomyces sp. NA02950	2742137	S	6439	1539	7978	0.00057
Streptomyces sp. NEAU-sy36	2751189	S	6078	2784	8862	0.00063
Streptomyces sp. Go 40/10	2825844	S	6056	3396	9452	0.00067
Streptomyces sp. WAC 01438	2203204	S	5993	2498	8491	0.00060
Streptomyces sp. 3025	2923272	S	5923	1232	7155	0.00051
Streptomyces sp. DSM 40868	2721173	S	5836	2645	8481	0.00060
Streptomyces sp. GMY02	1333528	S	5547	1176	6723	0.00048
Streptomyces sp. YIM 121038	2136401	S	5472	1986	7458	0.00053
Streptomyces sp. MBT27	1488356	S	5427	1924	7351	0.00052
Streptomyces sp. 891-h	2720714	S	5371	1160	6531	0.00046
Streptomyces sp. MG62	2838015	S	5358	2525	7883	0.00056
Streptomyces sp. JB150	2714844	S	5278	2142	7420	0.00053
Streptomyces sp. RTd22	1841249	S	5229	3134	8363	0.00059
Streptomyces sp. HM190	2695266	S	5166	2033	7199	0.00051
Streptomyces sp. NA04227	2742136	S	5154	1408	6562	0.00047
Streptomyces sp. GS7	2692234	S	5107	1662	6769	0.00048
Streptomyces sp. Go-475	2072505	S	5020	2905	7925	0.00056
Streptomyces sp. AMCC400023	2056258	S	4965	2657	7622	0.00054
Streptomyces sp. BJ20	2930049	S	4956	2470	7426	0.00053
Streptomyces sp. SirexAA-E	862751	S	4899	1801	6700	0.00048
Streptomyces sp. MG28	2865673	S	4893	2283	7176	0.00051
Streptomyces sp. MST-110588	2833628	S	4863	1410	6273	0.00045
Streptomyces sp. SM18	1736046	S	4810	1642	6452	0.00046
Streptomyces sp. W1SF4	2305220	S	4737	2030	6767	0.00048
Streptomyces sp. C8S0	2585716	S	4666	1563	6229	0.00044
Streptomyces sp. Rer75	2750011	S	4644	3066	7710	0.00055
Streptomyces sp. SYP-A7193	2662065	S	4622	3654	8276	0.00059
