name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	2094164	115992	2210156	0.25713
Gammaproteobacteria	1236	C	826947	169967	996914	0.11598
Betaproteobacteria	28216	C	644936	117340	762276	0.08868
Deltaproteobacteria	28221	C	269125	11246	280371	0.03262
Epsilonproteobacteria	29547	C	2130	93	2223	0.00026
Acidithiobacillia	1807140	C	1060	82	1142	0.00013
Actinomycetia	1760	C	3404923	164610	3569533	0.41527
Thermoleophilia	1497346	C	86651	10043	96694	0.01125
Rubrobacteria	84995	C	38775	4472	43247	0.00503
Acidimicrobiia	84992	C	26477	2553	29030	0.00338
Coriobacteriia	84998	C	9861	1323	11184	0.00130
Nitriliruptoria	908620	C	6752	517	7269	0.00085
Bacilli	91061	C	55654	22454	78108	0.00909
Clostridia	186801	C	16053	2688	18741	0.00218
Negativicutes	909932	C	2530	213	2743	0.00032
Limnochordia	1676648	C	1135	36	1171	0.00014
Deinococci	188787	C	19041	14632	33673	0.00392
Gloeobacteria	307596	C	1926	2416	4342	0.00051
Thermomicrobia	189775	C	3349	132	3481	0.00041
Chloroflexia	32061	C	2709	105	2814	0.00033
Tepidiformia	2682225	C	1696	62	1758	0.00020
Ardenticatenia	1382928	C	1624	27	1651	0.00019
Ktedonobacteria	388447	C	1052	35	1087	0.00013
Fimbriimonadia	1663419	C	1254	5	1259	0.00015
Planctomycetia	203683	C	136814	1912	138726	0.01614
Phycisphaerae	666505	C	7313	247	7560	0.00088
Opitutae	414999	C	32828	1248	34076	0.00396
Verrucomicrobiae	203494	C	9354	1016	10370	0.00121
Chitinophagia	1853228	C	50004	437	50441	0.00587
Cytophagia	768503	C	24187	483	24670	0.00287
Flavobacteriia	117743	C	9492	751	10243	0.00119
Sphingobacteriia	117747	C	7072	624	7696	0.00090
Bacteroidia	200643	C	6877	6416	13293	0.00155
Chlorobia	191410	C	1934	227	2161	0.00025
Gemmatimonadetes	219685	C	46665	2305	48970	0.00570
Acidobacteriia	204432	C	26250	348	26598	0.00309
Vicinamibacteria	1813735	C	19702	1008	20710	0.00241
Blastocatellia	1562566	C	1654	42	1696	0.00020
Holophagae	533205	C	1015	17	1032	0.00012
Nitrospira	203693	C	5141	64	5205	0.00061
Spirochaetia	203692	C	2264	85	2349	0.00027
Synergistia	649775	C	1574	114	1688	0.00020
Sordariomycetes	147550	C	20708	477	21185	0.00246
Eurotiomycetes	147545	C	1932	63	1995	0.00023
Dothideomycetes	147541	C	1025	141	1166	0.00014
Saccharomycetes	4891	C	1028	92	1120	0.00013
Ustilaginomycetes	5257	C	1693	56	1749	0.00020
