name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinobacteria	201174	P	3633811	183159	3816970	0.50933
Firmicutes	1239	P	86520	36032	122552	0.01635
Deinococcus-Thermus	1297	P	19859	812	20671	0.00276
Cyanobacteria	1117	P	17548	473	18021	0.00240
Chloroflexi	200795	P	14237	238	14475	0.00193
Armatimonadetes	67819	P	1334	8	1342	0.00018
Proteobacteria	1224	P	2943354	200281	3143635	0.41948
Planctomycetes	203682	P	136946	2143	139089	0.01856
Verrucomicrobia	74201	P	18704	758	19462	0.00260
Bacteroidetes	976	P	54121	1083	55204	0.00737
Chlorobi	1090	P	2003	83	2086	0.00028
Gemmatimonadetes	142182	P	44196	2710	46906	0.00626
Acidobacteria	57723	P	54515	1546	56061	0.00748
Nitrospirae	40117	P	4461	71	4532	0.00060
Spirochaetes	203691	P	1976	109	2085	0.00028
Synergistetes	508458	P	1541	144	1685	0.00022
Ascomycota	4890	P	22700	303	23003	0.00307
Basidiomycota	5204	P	2458	75	2533	0.00034
Oomycota	4762	P	3341	458	3799	0.00051
