name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetales	85011	O	1366215	235786	1602001	0.14674
Micrococcales	85006	O	722274	89188	811462	0.07433
Corynebacteriales	85007	O	555432	58621	614053	0.05625
Propionibacteriales	85009	O	516615	79623	596238	0.05462
Pseudonocardiales	85010	O	381795	48044	429839	0.03937
Micromonosporales	85008	O	315546	36783	352329	0.03227
Streptosporangiales	85012	O	197677	26454	224131	0.02053
Geodermatophilales	1643682	O	67677	14315	81992	0.00751
Frankiales	85013	O	28201	2369	30570	0.00280
Actinomycetales	2037	O	27639	3408	31047	0.00284
Jiangellales	1217098	O	15104	2221	17325	0.00159
Bifidobacteriales	85004	O	11231	4123	15354	0.00141
Nakamurellales	1643684	O	10609	1186	11795	0.00108
Catenulisporales	414714	O	7635	934	8569	0.00079
Jatrophihabitantales	2805415	O	6215	456	6671	0.00061
Glycomycetales	85014	O	3783	256	4039	0.00037
Kineosporiales	622452	O	3459	803	4262	0.00039
Sporichthyales	2495578	O	2073	839	2912	0.00027
Actinopolysporales	622450	O	1744	150	1894	0.00017
Acidothermales	1643683	O	1209	51	1260	0.00012
Solirubrobacterales	588673	O	109083	13902	122985	0.01127
Miltoncostaeales	2843198	O	24239	2696	26935	0.00247
Rubrobacterales	84996	O	63100	7029	70129	0.00642
Acidimicrobiales	84993	O	43394	4064	47458	0.00435
Eggerthellales	1643822	O	9971	1394	11365	0.00104
Coriobacteriales	84999	O	7252	1240	8492	0.00078
Egibacterales	1747768	O	4121	210	4331	0.00040
Egicoccales	1755823	O	3702	491	4193	0.00038
Euzebyales	908621	O	3626	258	3884	0.00036
Bacillales	1385	O	105072	55358	160430	0.01470
Lactobacillales	186826	O	5563	2247	7810	0.00072
Eubacteriales	186802	O	25080	6340	31420	0.00288
Thermoanaerobacterales	68295	O	3007	374	3381	0.00031
Selenomonadales	909929	O	3191	163	3354	0.00031
Limnochordales	1676649	O	2037	62	2099	0.00019
Deinococcales	118964	O	22559	1186	23745	0.00218
Thermales	68933	O	9125	454	9579	0.00088
Trueperales	2762275	O	1719	72	1791	0.00016
Synechococcales	1890424	O	14658	868	15526	0.00142
Nostocales	1161	O	5045	356	5401	0.00049
Pseudanabaenales	2881377	O	3615	194	3809	0.00035
Gloeobacterales	307595	O	3485	65	3550	0.00033
Oscillatoriales	1150	O	2198	198	2396	0.00022
Sphaerobacterales	85001	O	4672	210	4882	0.00045
Thermomicrobiales	189776	O	1175	17	1192	0.00011
Chloroflexales	32064	O	4428	127	4555	0.00042
Tepidiformales	2682226	O	2959	97	3056	0.00028
Ardenticatenales	1382929	O	2749	43	2792	0.00026
Caldilineales	475963	O	1409	69	1478	0.00014
