name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces sp. CdTB01	1725411	S	24732	7298	32030	0.00168
Streptomyces sp. A2-16	2781734	S	24172	7860	32032	0.00168
Streptomyces sp. SN-593	659352	S	20061	4528	24589	0.00129
Streptomyces sp. BH-MK-02	2880933	S	18138	3919	22057	0.00115
Streptomyces sp. 3214.6	1882757	S	14437	4411	18848	0.00099
Streptomyces sp. So13.3	2136173	S	13465	2445	15910	0.00083
Streptomyces sp. SCSIO 64649	2878388	S	10915	1880	12795	0.00067
Streptomyces sp. ZYC-3	2797636	S	10859	2265	13124	0.00069
Streptomyces sp. P3	2135430	S	10606	2781	13387	0.00070
Streptomyces sp. CB01881	2078691	S	10394	1886	12280	0.00064
Streptomyces sp. ST1015	1848900	S	9719	2066	11785	0.00062
Streptomyces sp. NEAU-sy36	2751189	S	9711	3727	13438	0.00070
Streptomyces sp. GQFP	2907545	S	9161	1624	10785	0.00056
Streptomyces sp. Go 40/10	2825844	S	8957	4230	13187	0.00069
Streptomyces sp. DSM 40868	2721173	S	8919	3383	12302	0.00064
Streptomyces sp. LRE541	2931983	S	8752	2089	10841	0.00057
Streptomyces sp. SAT1	1849967	S	8697	3251	11948	0.00063
Streptomyces sp. Z423-1	2730915	S	8633	2603	11236	0.00059
Streptomyces sp. NHF165	2175864	S	8538	1440	9978	0.00052
Streptomyces sp. MA3_2.13	2867410	S	8285	1019	9304	0.00049
Streptomyces sp. SCUT-3	2684469	S	8219	3063	11282	0.00059
Streptomyces sp. WAC 01438	2203204	S	7852	2717	10569	0.00055
Streptomyces sp. NA02950	2742137	S	7717	1536	9253	0.00048
Streptomyces sp. RPA4-2	2721244	S	7326	2250	9576	0.00050
Streptomyces sp. 3025	2923272	S	7077	1235	8312	0.00043
Streptomyces sp. JB150	2714844	S	6928	2405	9333	0.00049
Streptomyces sp. NA02536	2742133	S	6905	18611	25516	0.00134
Streptomyces sp. YIM 121038	2136401	S	6718	2010	8728	0.00046
Streptomyces sp. MBT27	1488356	S	6712	1942	8654	0.00045
Streptomyces sp. HM190	2695266	S	6594	2150	8744	0.00046
Streptomyces sp. AMCC400023	2056258	S	6559	2981	9540	0.00050
Streptomyces sp. jing01	2726118	S	6509	3762	10271	0.00054
Streptomyces sp. MG62	2838015	S	6465	2536	9001	0.00047
Streptomyces sp. BJ20	2930049	S	6432	2660	9092	0.00048
Streptomyces sp. 891-h	2720714	S	6398	1152	7550	0.00040
Streptomyces sp. GMY02	1333528	S	6363	1110	7473	0.00039
Streptomyces sp. Go-475	2072505	S	6346	3075	9421	0.00049
Streptomyces sp. CB09001	2083284	S	6320	4514	10834	0.00057
Streptomyces sp. NA04227	2742136	S	6306	1417	7723	0.00040
Streptomyces sp. SYP-A7193	2662065	S	6303	4356	10659	0.00056
Streptomyces sp. W1SF4	2305220	S	6176	2214	8390	0.00044
Streptomyces sp. GS7	2692234	S	6171	1685	7856	0.00041
Streptomyces sp. MG28	2865673	S	6121	2417	8538	0.00045
Streptomyces sp. MST-110588	2833628	S	5963	1426	7389	0.00039
Streptomyces sp. RTd22	1841249	S	5885	3258	9143	0.00048
Streptomyces sp. C8S0	2585716	S	5834	1629	7463	0.00039
Streptomyces sp. QHH-9511	2684468	S	5646	1548	7194	0.00038
Streptomyces sp. CMB-StM0423	2059884	S	5486	3517	9003	0.00047
Streptomyces sp. BHT-5-2	2866715	S	5286	1696	6982	0.00037
Streptomyces sp. SM18	1736046	S	5263	1526	6789	0.00036
Streptomyces sp. SirexAA-E	862751	S	5217	1632	6849	0.00036
Streptomyces sp. Rer75	2750011	S	5161	3160	8321	0.00044
Streptomyces sp. 135	2838850	S	5078	1719	6797	0.00036
Streptomyces sp. HP-A2021	2927875	S	4764	2763	7527	0.00039
Streptomyces sp. Tu 2975	2676871	S	4630	1465	6095	0.00032
Streptomyces sp. SUK 48	2582831	S	4622	3155	7777	0.00041
Streptomyces sp. S1D4-11	2721246	S	4535	3961	8496	0.00044
Streptomyces sp. S4.7	2705439	S	4492	1508	6000	0.00031
Streptomyces sp. WAC 01529	2203205	S	4448	1621	6069	0.00032
Streptomyces sp. HSG2	2797167	S	4431	939	5370	0.00028
Streptomyces sp. fd1-xmd	1812480	S	4365	2159	6524	0.00034
Streptomyces sp. INR7	2607753	S	4341	2586	6927	0.00036
Streptomyces sp. TN58	234612	S	3951	2072	6023	0.00032
Streptomyces sp. CCM_MD2014	1561022	S	3934	4436	8370	0.00044
Streptomyces sp. HF10	2692233	S	3746	2887	6633	0.00035
Streptomyces sp. AgN23	1188315	S	3566	3260	6826	0.00036
Streptomyces sp. 2114.2	1881022	S	3465	22439	25904	0.00136
Streptomyces sp. WAC 06738	2203210	S	3281	4771	8052	0.00042
Streptomyces sp. WY228	2855836	S	3200	1784	4984	0.00026
Streptomyces sp. CNQ-509	444103	S	2852	4051	6903	0.00036
Streptomyces sp. YPW6	2840373	S	2808	1515	4323	0.00023
Streptomyces sp. CRSS-Y-16	2906474	S	2780	26379	29159	0.00153
Streptomyces sp. M2	646637	S	2726	24451	27177	0.00142
Streptomyces sp. Mg1	465541	S	2724	3506	6230	0.00033
Streptomyces sp. ADI95-16	1522758	S	2723	3296	6019	0.00031
Streptomyces sp. EAS-AB2608	2779671	S	2661	6081	8742	0.00046
Streptomyces sp. MOE7	1961713	S	2660	3215	5875	0.00031
Streptomyces sp. 769	1262452	S	2614	2073	4687	0.00025
Streptomyces sp. 2323.1	1938841	S	2344	1438	3782	0.00020
Streptomyces sp. PBH53	1577075	S	2299	5073	7372	0.00039
Streptomyces sp. RPA4-5	2721245	S	2240	1472	3712	0.00019
Streptomyces sp. S063	2005885	S	2075	1521	3596	0.00019
Streptomyces sp. 3211	1964449	S	1976	3654	5630	0.00029
Streptomyces sp. RLB1-33	2721243	S	1960	6440	8400	0.00044
Streptomyces sp. NEAU-S7GS2	2202000	S	1952	1794	3746	0.00020
Streptomyces sp. S8	1837283	S	1918	1775	3693	0.00019
Streptomyces sp. PAMC 26508	1265601	S	1726	10333	12059	0.00063
Streptomyces sp. WA6-1-16	2879427	S	1613	1792	3405	0.00018
Streptomyces sp. ID38640	1265399	S	1570	1293	2863	0.00015
Streptomyces sp. Sge12	1972846	S	1537	3499	5036	0.00026
Streptomyces sp. 11-1-2	1851167	S	1473	2877	4350	0.00023
Streptomyces sp. HNA39	2850561	S	1468	1838	3306	0.00017
Streptomyces sp. S501	2420135	S	1465	9499	10964	0.00057
Streptomyces sp. XC 2026	2782004	S	1449	1264	2713	0.00014
Streptomyces sp. CC0208	2306165	S	1314	37363	38677	0.00202
Streptomyces sp. Tue 6075	1661694	S	1206	1499	2705	0.00014
Streptomyces sp. CB00271	2750025	S	1203	1705	2908	0.00015
Streptomyces sp. CFMR 7	1649184	S	1062	1965	3027	0.00016
Streptomyces sp. WAC00303	2933779	S	1017	1521	2538	0.00013
Streptomyces sp. CLI2509	1984801	S	1012	5768	6780	0.00035
Streptomyces sp. Tu6071	355249	S	1008	5120	6128	0.00032
Streptomyces venezuelae	54571	S	34487	11551	46038	0.00241
Streptomyces hygroscopicus	1912	S	13158	19834	32992	0.00173
Streptomyces rapamycinicus	1226757	S	10547	2308	12855	0.00067
Streptomyces violaceusniger	68280	S	3185	2014	5199	0.00027
Streptomyces yatensis	155177	S	3132	2185	5317	0.00028
Streptomyces cadmiisoli	2184053	S	8165	1834	9999	0.00052
Streptomyces aurantiacus	47760	S	7196	1566	8762	0.00046
Streptomyces qaidamensis	1783515	S	5083	1987	7070	0.00037
Streptomyces alboniger	132473	S	3913	1343	5256	0.00028
Streptomyces koyangensis	188770	S	2903	2767	5670	0.00030
Streptomyces collinus	42684	S	24491	13440	37931	0.00198
Streptomyces griseorubiginosus	67304	S	20216	6051	26267	0.00137
Streptomyces aquilus	2548456	S	16764	4490	21254	0.00111
Streptomyces griseochromogenes	68214	S	16207	4065	20272	0.00106
Streptomyces chartreusis	1969	S	16104	6351	22455	0.00117
Streptomyces lydicus	47763	S	15587	10075	25662	0.00134
Streptomyces griseus	1911	S	5688	4616	10304	0.00054
Streptomyces anulatus	1892	S	4056	4082	8138	0.00043
Streptomyces microflavus	1919	S	2043	8851	10894	0.00057
Streptomyces globisporus	1908	S	1597	11561	13158	0.00069
Streptomyces albus	1888	S	13059	6109	19168	0.00100
Streptomyces seoulensis	73044	S	12959	4383	17342	0.00091
Streptomyces formicae	1616117	S	11543	3334	14877	0.00078
Streptomyces cattleya	29303	S	11056	2757	13813	0.00072
Streptomyces asoensis	249586	S	10885	2921	13806	0.00072
Streptomyces bingchenggensis	379067	S	10602	1764	12366	0.00065
Streptomyces lincolnensis	1915	S	10488	2744	13232	0.00069
Streptomyces niveus	193462	S	10462	4281	14743	0.00077
Streptomyces buecherae	2763006	S	10193	2239	12432	0.00065
Streptomyces tsukubensis	83656	S	9598	2412	12010	0.00063
Streptomyces spectabilis	68270	S	9414	2794	12208	0.00064
Streptomyces broussonetiae	2686304	S	9056	2468	11524	0.00060
Streptomyces griseoviridis	45398	S	8899	2555	11454	0.00060
Streptomyces cyaneochromogenes	2496836	S	8850	2361	11211	0.00059
Streptomyces incarnatus	665007	S	8814	2369	11183	0.00059
Streptomyces armeniacus	83291	S	8631	1059	9690	0.00051
Streptomyces davaonensis	348043	S	8618	2175	10793	0.00056
Streptomyces actuosus	1885	S	8615	3258	11873	0.00062
Streptomyces roseirectus	2768066	S	8600	1866	10466	0.00055
Streptomyces fodineus	1904616	S	8502	2738	11240	0.00059
Streptomyces dangxiongensis	1442032	S	8240	2564	10804	0.00057
Streptomyces xanthii	2768069	S	8239	2189	10428	0.00055
Streptomyces ferrugineus	1413221	S	8215	2392	10607	0.00056
Streptomyces avermitilis	33903	S	8213	2116	10329	0.00054
Streptomyces capitiformicae	2014920	S	8203	1180	9383	0.00049
Streptomyces antibioticus	1890	S	8035	2562	10597	0.00055
Streptomyces roseochromogenus	285450	S	8022	2287	10309	0.00054
Streptomyces bathyalis	2710756	S	7577	1085	8662	0.00045
Streptomyces rimosus	1927	S	7450	20593	28043	0.00147
Streptomyces nigra	1827580	S	7239	2534	9773	0.00051
Streptomyces dengpaensis	2049881	S	7168	1784	8952	0.00047
Streptomyces cyanogenus	80860	S	7139	2888	10027	0.00052
Streptomyces durmitorensis	319947	S	6919	1335	8254	0.00043
Streptomyces galilaeus	33899	S	6897	2077	8974	0.00047
Streptomyces genisteinicus	2768068	S	6837	1880	8717	0.00046
Streptomyces liangshanensis	2717324	S	6783	1500	8283	0.00043
Streptomyces phaeolivaceus	2653200	S	6729	1713	8442	0.00044
Streptomyces ambofaciens	1889	S	6726	3544	10270	0.00054
Streptomyces xinghaiensis	1038928	S	6693	1753	8446	0.00044
Streptomyces nodosus	40318	S	6685	1505	8190	0.00043
Streptomyces alboflavus	67267	S	6646	1653	8299	0.00043
Streptomyces vietnamensis	362257	S	6644	1997	8641	0.00045
Streptomyces paludis	2282738	S	6613	1267	7880	0.00041
Streptomyces aureoverticillatus	66871	S	6567	1592	8159	0.00043
Streptomyces albulus	68570	S	6563	1778	8341	0.00044
Streptomyces lunaelactis	1535768	S	6427	1187	7614	0.00040
Streptomyces parvulus	146923	S	6352	2533	8885	0.00046
Streptomyces olivoreticuli	68246	S	6283	1555	7838	0.00041
Streptomyces pluripotens	1355015	S	6253	1277	7530	0.00039
Streptomyces globosus	68209	S	6252	2005	8257	0.00043
Streptomyces glaucescens	1907	S	6212	2394	8606	0.00045
Streptomyces calvus	67282	S	6155	2154	8309	0.00043
Streptomyces rectiverticillatus	173860	S	6139	1721	7860	0.00041
Streptomyces fungicidicus	68203	S	6136	17672	23808	0.00125
Streptomyces luteoverticillatus	66425	S	6120	1773	7893	0.00041
Streptomyces griseocarneus	51201	S	6114	1869	7983	0.00042
Streptomyces pactum	68249	S	6034	2211	8245	0.00043
Streptomyces clavuligerus	1901	S	5955	1260	7215	0.00038
Streptomyces prasinus	67345	S	5894	1701	7595	0.00040
Streptomyces atratus	1893	S	5882	1053	6935	0.00036
Streptomyces chromofuscus	42881	S	5755	1991	7746	0.00041
Streptomyces exfoliatus	1905	S	5673	1729	7402	0.00039
Streptomyces coelicolor	1902	S	4826	51244	56070	0.00293
Streptomyces lavendulae	1914	S	5628	1746	7374	0.00039
Streptomyces ficellus	1977088	S	5621	1769	7390	0.00039
Streptomyces tendae	1932	S	5577	2073	7650	0.00040
Streptomyces viridosporus	67581	S	5574	2018	7592	0.00040
Streptomyces hundungensis	1077946	S	5567	1544	7111	0.00037
Streptomyces harbinensis	1176198	S	5451	1286	6737	0.00035
Streptomyces fagopyri	2662397	S	5439	1706	7145	0.00037
Streptomyces subrutilus	36818	S	5391	1777	7168	0.00038
Streptomyces peucetius	1950	S	5246	1267	6513	0.00034
Streptomyces katrae	68223	S	5227	1741	6968	0.00036
Streptomyces gilvosporeus	553510	S	5220	1475	6695	0.00035
Streptomyces deccanensis	424188	S	5198	2031	7229	0.00038
Streptomyces vinaceus	1960	S	5169	1657	6826	0.00036
Streptomyces kanamyceticus	1967	S	5012	1573	6585	0.00034
Streptomyces coeruleorubidus	116188	S	5004	2240	7244	0.00038
Streptomyces pratensis	1169025	S	4945	1083	6028	0.00032
Streptomyces pristinaespiralis	38300	S	4887	1741	6628	0.00035
Streptomyces inhibens	2293571	S	4738	1297	6035	0.00032
Streptomyces tirandamycinicus	2174846	S	4672	1387	6059	0.00032
Streptomyces nitrosporeus	28894	S	4668	1167	5835	0.00031
Streptomyces hawaiiensis	67305	S	4625	1877	6502	0.00034
Streptomyces gardneri	66892	S	4578	1718	6296	0.00033
Streptomyces mobaraensis	35621	S	4575	178802	183377	0.00959
Streptomyces finlayi	67296	S	4401	889	5290	0.00028
Streptomyces tuirus	68278	S	4383	2031	6414	0.00034
Streptomyces angustmyceticus	285578	S	4285	1575	5860	0.00031
Streptomyces nojiriensis	66374	S	4154	1646	5800	0.00030
Streptomyces spongiicola	1690221	S	4086	1512	5598	0.00029
Streptomyces huasconensis	1854574	S	4086	1459	5545	0.00029
Streptomyces rutgersensis	53451	S	4039	1773	5812	0.00030
Streptomyces qinzhouensis	2599401	S	3991	855	4846	0.00025
Streptomyces lividans	1916	S	3572	25296	28868	0.00151
Streptomyces gobiensis	2875706	S	3518	577	4095	0.00021
Streptomyces leeuwenhoekii	1437453	S	3259	2134	5393	0.00028
Streptomyces cyaneogriseus	68192	S	2847	2068	4915	0.00026
Streptomyces antimycoticus	68175	S	2653	2688	5341	0.00028
Streptomyces decoyicus	249567	S	2106	1111	3217	0.00017
Streptomyces lydicamycinicus	1546107	S	2095	1195	3290	0.00017
Streptomyces auratus	114687	S	2047	1294	3341	0.00017
Streptomyces platensis	58346	S	1797	1294	3091	0.00016
Streptomyces xiamenensis	408015	S	1598	1325	2923	0.00015
Streptomyces olivaceus	47716	S	1315	4822	6137	0.00032
Streptomyces filamentosus	67294	S	1184	1446	2630	0.00014
Streptomyces alfalfae	1642299	S	1159	6646	7805	0.00041
Streptomyces mirabilis	68239	S	1114	6816	7930	0.00041
Streptomyces californicus	67351	S	1035	3368	4403	0.00023
Kitasatospora sp. MMS16-BH015	2018025	S	8524	2469	10993	0.00058
Kitasatospora sp. NA04385	2742135	S	7853	3721	11574	0.00061
Kitasatospora setae	2066	S	7818	3558	11376	0.00060
Kitasatospora aureofaciens	1894	S	6059	2184	8243	0.00043
Kitasatospora albolonga	68173	S	2367	1681	4048	0.00021
Streptacidiphilus sp. P02-A3a	2704468	S	8657	2295	10952	0.00057
Streptacidiphilus sp. PB12-B1b	2705012	S	7472	2542	10014	0.00052
Streptacidiphilus bronchialis	2126346	S	7220	2037	9257	0.00048
Yinghuangia sp. ASG 101	2896848	S	11145	1598	12743	0.00067
Microbacterium sp. 4R-513	2567934	S	5974	1161	7135	0.00037
Microbacterium sp. No. 7	1714373	S	5958	2501	8459	0.00044
Microbacterium sp. 10M-3C3	2483401	S	4398	2608	7006	0.00037
Microbacterium sp. JZ31	1906274	S	4338	1204	5542	0.00029
Microbacterium sp. SSW1-51	2851650	S	3735	1502	5237	0.00027
Microbacterium sp. YJN-G	2763257	S	3515	1433	4948	0.00026
Microbacterium sp. SSW1-36	2851648	S	3446	1080	4526	0.00024
Microbacterium sp. BH-3-3-3	1906742	S	3344	835	4179	0.00022
Microbacterium sp. XT11	367477	S	3270	824	4094	0.00021
Microbacterium sp. ABRD_28	2268461	S	3181	450	3631	0.00019
Microbacterium sp. Y-01	2048898	S	2870	1895	4765	0.00025
Microbacterium sp. NIBRBAC000506063	2734618	S	2813	1090	3903	0.00020
Microbacterium sp. H1-D42	2925844	S	2788	550	3338	0.00017
Microbacterium sp. cx-55	2875948	S	2771	417	3188	0.00017
Microbacterium sp. LKL04	912630	S	2704	673	3377	0.00018
Microbacterium sp. PM5	2014534	S	2682	530	3212	0.00017
