name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinomycetia	1760	C	3823365	163806	3987171	0.44372
Thermoleophilia	1497346	C	84628	8590	93218	0.01037
Rubrobacteria	84995	C	35843	3636	39479	0.00439
Acidimicrobiia	84992	C	27772	2487	30259	0.00337
Coriobacteriia	84998	C	12422	1559	13981	0.00156
Nitriliruptoria	908620	C	7982	570	8552	0.00095
Bacilli	91061	C	120297	55040	175337	0.01951
Clostridia	186801	C	23823	3521	27344	0.00304
Negativicutes	909932	C	3622	284	3906	0.00043
Limnochordia	1676648	C	1543	44	1587	0.00018
Deinococci	188787	C	25870	17220	43090	0.00480
Gloeobacteria	307596	C	2677	5666	8343	0.00093
Thermomicrobia	189775	C	4848	176	5024	0.00056
Chloroflexia	32061	C	3231	117	3348	0.00037
Ktedonobacteria	388447	C	2921	89	3010	0.00034
Tepidiformia	2682225	C	2459	82	2541	0.00028
Ardenticatenia	1382928	C	2281	36	2317	0.00026
Caldilineae	475962	C	1062	68	1130	0.00013
Fimbriimonadia	1663419	C	1292	5	1297	0.00014
Alphaproteobacteria	28211	C	2053674	118602	2172276	0.24175
Betaproteobacteria	28216	C	772180	130813	902993	0.10049
Gammaproteobacteria	1236	C	558836	137495	696331	0.07749
Deltaproteobacteria	28221	C	263490	7016	270506	0.03010
Epsilonproteobacteria	29547	C	2637	118	2755	0.00031
Acidithiobacillia	1807140	C	1382	107	1489	0.00017
Planctomycetia	203683	C	200041	2931	202972	0.02259
Phycisphaerae	666505	C	9254	317	9571	0.00107
Opitutae	414999	C	13432	510	13942	0.00155
Verrucomicrobiae	203494	C	6841	1190	8031	0.00089
Cytophagia	768503	C	22479	391	22870	0.00255
Chitinophagia	1853228	C	18097	139	18236	0.00203
Sphingobacteriia	117747	C	10485	633	11118	0.00124
Bacteroidia	200643	C	8019	1143	9162	0.00102
Flavobacteriia	117743	C	7934	6563	14497	0.00161
Chlorobia	191410	C	2456	265	2721	0.00030
Gemmatimonadetes	219685	C	37232	1663	38895	0.00433
Acidobacteriia	204432	C	45912	595	46507	0.00518
Vicinamibacteria	1813735	C	17545	916	18461	0.00205
Blastocatellia	1562566	C	2221	73	2294	0.00026
Holophagae	533205	C	1260	21	1281	0.00014
Nitrospira	203693	C	7843	92	7935	0.00088
Spirochaetia	203692	C	2875	113	2988	0.00033
Synergistia	649775	C	2111	557	2668	0.00030
Sordariomycetes	147550	C	41044	698	41742	0.00465
Eurotiomycetes	147545	C	6034	213	6247	0.00070
Dothideomycetes	147541	C	1527	209	1736	0.00019
Saccharomycetes	4891	C	1769	149	1918	0.00021
Ustilaginomycetes	5257	C	2535	56	2591	0.00029
