name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinobacteria	201174	P	9635907	375981	10011888	0.50404
Firmicutes	1239	P	246728	122665	369393	0.01860
Cyanobacteria	1117	P	57058	1239	58297	0.00293
Deinococcus-Thermus	1297	P	56856	2012	58868	0.00296
Chloroflexi	200795	P	37835	566	38401	0.00193
Armatimonadetes	67819	P	3857	20	3877	0.00020
Tenericutes	544448	P	1432	121	1553	0.00008
Proteobacteria	1224	P	7806203	510902	8317105	0.41871
Planctomycetes	203682	P	340377	3506	343883	0.01731
Verrucomicrobia	74201	P	69465	2113	71578	0.00360
Kiritimatiellaeota	134625	P	1718	1091	2809	0.00014
Bacteroidetes	976	P	173089	3430	176519	0.00889
Chlorobi	1090	P	5492	186	5678	0.00029
Gemmatimonadetes	142182	P	130416	6525	136941	0.00689
Acidobacteria	57723	P	137176	3230	140406	0.00707
Nitrospirae	40117	P	15719	205	15924	0.00080
Spirochaetes	203691	P	6187	352	6539	0.00033
Synergistetes	508458	P	4592	353	4945	0.00025
Thermotogae	200918	P	1265	65	1330	0.00007
Ascomycota	4890	P	74088	867	74955	0.00377
Basidiomycota	5204	P	8471	295	8766	0.00044
Oomycota	4762	P	11767	1974	13741	0.00069
