name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetaceae	2062	F	1665395	344645	2010040	0.12531
Microbacteriaceae	85023	F	638762	84328	723090	0.04508
Micrococcaceae	1268	F	351724	79559	431283	0.02689
Intrasporangiaceae	85021	F	111714	26056	137770	0.00859
Cellulomonadaceae	85016	F	102716	31173	133889	0.00835
Promicromonosporaceae	85017	F	46127	16299	62426	0.00389
Ornithinimicrobiaceae	2805590	F	39105	7601	46706	0.00291
Dermabacteraceae	85020	F	26527	4721	31248	0.00195
Brevibacteriaceae	85019	F	25515	4796	30311	0.00189
Dermacoccaceae	145357	F	22174	4806	26980	0.00168
Bogoriellaceae	145358	F	18778	5259	24037	0.00150
Ruaniaceae	1331736	F	15765	17149	32914	0.00205
Beutenbergiaceae	125316	F	11089	3297	14386	0.00090
Sanguibacteraceae	145360	F	7958	2297	10255	0.00064
Dermatophilaceae	85018	F	3519	315	3834	0.00024
Kytococcaceae	2805426	F	3438	2287	5725	0.00036
Demequinaceae	1042322	F	1187	89	1276	0.00008
Mycobacteriaceae	1762	F	398231	52841	451072	0.02812
Nocardiaceae	85025	F	227322	43245	270567	0.01687
Corynebacteriaceae	1653	F	66704	15204	81908	0.00511
Gordoniaceae	85026	F	56451	11021	67472	0.00421
Tsukamurellaceae	85028	F	17511	4066	21577	0.00135
Dietziaceae	85029	F	10338	9810	20148	0.00126
Segniliparaceae	316606	F	1682	86	1768	0.00011
Nocardioidaceae	85015	F	616060	117281	733341	0.04572
Propionibacteriaceae	31957	F	80186	15813	95999	0.00598
Kribbellaceae	2726069	F	56974	8103	65077	0.00406
Actinopolymorphaceae	2805400	F	13174	1416	14590	0.00091
Pseudonocardiaceae	2070	F	521502	73869	595371	0.03712
Micromonosporaceae	28056	F	505594	63189	568783	0.03546
Thermomonosporaceae	2012	F	206770	38011	244781	0.01526
Streptosporangiaceae	2004	F	90631	13813	104444	0.00651
Nocardiopsaceae	83676	F	39919	5902	45821	0.00286
Geodermatophilaceae	85030	F	128428	30397	158825	0.00990
Actinomycetaceae	2049	F	42057	5753	47810	0.00298
Frankiaceae	74712	F	42027	3901	45928	0.00286
Jiangellaceae	1217100	F	24396	4062	28458	0.00177
Catenulisporaceae	414877	F	21293	2929	24222	0.00151
Nakamurellaceae	85031	F	17372	2169	19541	0.00122
Bifidobacteriaceae	31953	F	16706	3926	20632	0.00129
Jatrophihabitantaceae	2805416	F	11332	928	12260	0.00076
Glycomycetaceae	85034	F	5952	451	6403	0.00040
Kineosporiaceae	83778	F	5286	1379	6665	0.00042
Sporichthyaceae	85033	F	3580	1642	5222	0.00033
Actinopolysporaceae	622451	F	2695	259	2954	0.00018
Acidothermaceae	85032	F	2198	103	2301	0.00014
Conexibacteraceae	320583	F	207006	28728	235734	0.01470
Miltoncostaeaceae	2843199	F	49494	6062	55556	0.00346
Baekduiaceae	2600303	F	81185	13003	94188	0.00587
Rubrobacteraceae	84997	F	29214	1139	30353	0.00189
Iamiaceae	633392	F	45385	5514	50899	0.00317
Ilumatobacteraceae	2448023	F	5218	302	5520	0.00034
Acidimicrobiaceae	84994	F	2099	151	2250	0.00014
Eggerthellaceae	1643826	F	14665	2173	16838	0.00105
Atopobiaceae	1643824	F	7544	1599	9143	0.00057
Coriobacteriaceae	84107	F	3282	772	4054	0.00025
Egibacteraceae	1747769	F	6959	391	7350	0.00046
Egicoccaceae	1755824	F	5549	816	6365	0.00040
Euzebyaceae	908622	F	5319	417	5736	0.00036
Bacillaceae	186817	F	87284	72746	160030	0.00998
Paenibacillaceae	186822	F	74914	5756	80670	0.00503
Alicyclobacillaceae	186823	F	6517	869	7386	0.00046
Planococcaceae	186818	F	3910	1038	4948	0.00031
Thermoactinomycetaceae	186824	F	2368	253	2621	0.00016
Staphylococcaceae	90964	F	1707	4516	6223	0.00039
Lactobacillaceae	33958	F	4316	1357	5673	0.00035
Streptococcaceae	1300	F	1679	3425	5104	0.00032
Oscillospiraceae	216572	F	9797	3288	13085	0.00082
Clostridiales Family XVII. Incertae Sedis	539000	F	7677	1554	9231	0.00058
Lachnospiraceae	186803	F	3298	1122	4420	0.00028
Clostridiaceae	31979	F	3214	4356	7570	0.00047
Symbiobacteriaceae	543349	F	3028	232	3260	0.00020
Peptococcaceae	186807	F	1932	160	2092	0.00013
Christensenellaceae	990719	F	1026	398	1424	0.00009
Thermoanaerobacteraceae	186814	F	3575	635	4210	0.00026
Selenomonadaceae	1843491	F	3962	193	4155	0.00026
Veillonellaceae	31977	F	1179	300	1479	0.00009
Limnochordaceae	1676650	F	3046	104	3150	0.00020
Deinococcaceae	183710	F	34057	1810	35867	0.00224
Thermaceae	188786	F	12371	649	13020	0.00081
Trueperaceae	332247	F	2523	119	2642	0.00016
Sphaerobacteraceae	85002	F	10803	738	11541	0.00072
Thermomicrobiaceae	189777	F	2157	53	2210	0.00014
Roseiflexaceae	1508635	F	4942	295	5237	0.00033
Chloroflexaceae	1106	F	1839	79	1918	0.00012
Tepidiformaceae	2682227	F	5469	215	5684	0.00035
Ardenticatenaceae	1382930	F	4662	86	4748	0.00030
Ktedonosporobacteraceae	2692416	F	3359	122	3481	0.00022
Caldilineaceae	475964	F	2063	159	2222	0.00014
Anaerolineaceae	292628	F	1687	1144	2831	0.00018
Synechococcaceae	1890426	F	15048	1496	16544	0.00103
Prochlorococcaceae	2881426	F	3462	645	4107	0.00026
Nostocaceae	1162	F	2352	904	3256	0.00020
