name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces	1883	G	1718141	347471	2065612	0.15929
Kitasatospora	2063	G	24477	6836	31313	0.00241
Yinghuangia	2805681	G	21211	2775	23986	0.00185
Streptacidiphilus	228398	G	15411	3588	18999	0.00147
Microbacterium	33882	G	112624	16946	129570	0.00999
Agromyces	33877	G	34350	7256	41606	0.00321
Curtobacterium	2034	G	25945	4765	30710	0.00237
Leifsonia	110932	G	21315	6757	28072	0.00216
Rathayibacter	33886	G	21002	4272	25274	0.00195
Leucobacter	55968	G	15989	2605	18594	0.00143
Clavibacter	1573	G	15893	7579	23472	0.00181
Agrococcus	46352	G	15097	3566	18663	0.00144
Protaetiibacter	2680004	G	7827	2031	9858	0.00076
Salinibacterium	235888	G	6037	852	6889	0.00053
Cryobacterium	69578	G	5593	705	6298	0.00049
Frondihabitans	447237	G	4807	665	5472	0.00042
Microterricola	518733	G	4049	873	4922	0.00038
Plantibacter	190323	G	3997	456	4453	0.00034
Microcella	337004	G	3872	1170	5042	0.00039
Cnuibacter	1759331	G	2920	554	3474	0.00027
Herbiconiux	881616	G	2851	500	3351	0.00026
Gryllotalpicola	1195526	G	2844	478	3322	0.00026
Frigoribacterium	96492	G	2753	708	3461	0.00027
Subtercola	120212	G	2475	178	2653	0.00020
Mycetocola	76634	G	2446	269	2715	0.00021
Humibacter	427753	G	2393	462	2855	0.00022
Amnibacterium	1029631	G	2085	437	2522	0.00019
Chryseoglobus	1331730	G	2050	384	2434	0.00019
Gulosibacter	256818	G	1703	416	2119	0.00016
Marisediminicola	1230698	G	1648	178	1826	0.00014
Diaminobutyricimonas	1433997	G	1369	223	1592	0.00012
Glaciihabitans	1649454	G	1349	93	1442	0.00011
Agreia	110934	G	1283	136	1419	0.00011
Arthrobacter	1663	G	155014	34012	189026	0.01458
Pseudarthrobacter	1742993	G	29117	10115	39232	0.00303
Kocuria	57493	G	14497	3610	18107	0.00140
Sinomonas	596707	G	12203	2677	14880	0.00115
Micrococcus	1269	G	6997	4322	11319	0.00087
Paenarthrobacter	1742992	G	4455	2199	6654	0.00051
Glutamicibacter	1742989	G	4199	1237	5436	0.00042
Rothia	32207	G	2973	1038	4011	0.00031
Citricoccus	169133	G	2353	502	2855	0.00022
Janibacter	53457	G	14891	3934	18825	0.00145
Phycicoccus	367298	G	13873	3644	17517	0.00135
Pedococcus	2805645	G	13141	3708	16849	0.00130
Intrasporangium	53357	G	13029	2993	16022	0.00124
Tetrasphaera	99479	G	10724	2681	13405	0.00103
Arsenicicoccus	267408	G	4528	1560	6088	0.00047
Cellulomonas	1707	G	54532	17161	71693	0.00553
Actinotalea	458839	G	3567	1159	4726	0.00036
Oerskovia	162491	G	2857	826	3683	0.00028
Pseudactinotalea	1926259	G	2466	318	2784	0.00021
Paraoerskovia	665568	G	2058	480	2538	0.00020
Cellulosimicrobium	157920	G	15948	5880	21828	0.00168
Xylanimonas	186188	G	8852	2562	11414	0.00088
Isoptericola	254250	G	6774	2748	9522	0.00073
Ornithinimicrobium	125287	G	15547	2915	18462	0.00142
Serinicoccus	265976	G	11683	2875	14558	0.00112
Brachybacterium	43668	G	17715	2576	20291	0.00156
Dermabacter	36739	G	1212	591	1803	0.00014
Brevibacterium	1696	G	18344	3176	21520	0.00166
Dermacoccus	57495	G	5308	1667	6975	0.00054
Luteipulveratus	745364	G	4171	524	4695	0.00036
Allobranchiibius	2040262	G	3529	695	4224	0.00033
Yimella	908935	G	1915	343	2258	0.00017
Georgenia	154116	G	13348	3457	16805	0.00130
Ruania	626119	G	11195	1187	12382	0.00095
Pengzhenrongella	2888818	G	4199	1049	5248	0.00040
Luteimicrobium	754249	G	3728	1030	4758	0.00037
Beutenbergia	84756	G	4500	661	5161	0.00040
Miniimonas	947525	G	3061	1433	4494	0.00035
Sanguibacter	60919	G	5570	1501	7071	0.00055
Gephyromycinifex	2885697	G	1298	139	1437	0.00011
Kytococcus	57499	G	2370	752	3122	0.00024
Mycolicibacterium	1866885	G	161418	26276	187694	0.01447
Mycobacterium	1763	G	160019	40672	200691	0.01548
Mycolicibacter	1073531	G	9702	3107	12809	0.00099
Mycobacteroides	670516	G	7922	2430	10352	0.00080
Mycolicibacillus	2126281	G	1912	420	2332	0.00018
Nocardia	1817	G	95480	13929	109409	0.00844
Rhodococcus	1827	G	83682	19429	103111	0.00795
Corynebacterium	1716	G	49101	10294	59395	0.00458
Gordonia	2053	G	40958	8868	49826	0.00384
Skermania	59613	G	1993	195	2188	0.00017
Tsukamurella	2060	G	13286	2778	16064	0.00124
Dietzia	37914	G	7579	1518	9097	0.00070
Tomitella	741759	G	4807	835	5642	0.00044
Segniliparus	286801	G	1146	53	1199	0.00009
Nocardioides	1839	G	512139	95587	607726	0.04686
Aeromicrobium	2040	G	26251	4431	30682	0.00237
Marmoricola	86795	G	8131	2673	10804	0.00083
Pimelobacter	2044	G	6733	2204	8937	0.00069
Friedmanniella	53387	G	5727	975	6702	0.00052
Mumia	1546255	G	4196	634	4830	0.00037
Micropruina	116071	G	2108	260	2368	0.00018
Microlunatus	29404	G	19654	1874	21528	0.00166
Tessaracoccus	72763	G	14326	2563	16889	0.00130
Brevilactibacter	2717325	G	5561	1884	7445	0.00057
Acidipropionibacterium	1912215	G	4859	1692	6551	0.00051
Propionibacterium	1743	G	4729	1319	6048	0.00047
Auraticoccus	1278221	G	3614	557	4171	0.00032
Raineyella	1911549	G	2229	255	2484	0.00019
Cutibacterium	1912216	G	2204	431	2635	0.00020
Arachnia	2801844	G	2101	134	2235	0.00017
Kribbella	182639	G	37842	4747	42589	0.00328
Actinopolymorpha	117156	G	11377	1078	12455	0.00096
Amycolatopsis	1813	G	206344	33960	240304	0.01853
Pseudonocardia	1847	G	132686	20203	152889	0.01179
Saccharopolyspora	1835	G	27287	4628	31915	0.00246
Saccharothrix	2071	G	23270	5625	28895	0.00223
Kutzneria	43356	G	16471	2927	19398	0.00150
Saccharomonospora	1851	G	15665	2442	18107	0.00140
Actinoalloteichus	65496	G	13535	1067	14602	0.00113
