name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetaceae	2062	F	1571480	434127	2005607	0.13204
Microbacteriaceae	85023	F	468260	76707	544967	0.03588
Micrococcaceae	1268	F	166784	48451	215235	0.01417
Cellulomonadaceae	85016	F	99231	38468	137699	0.00907
Intrasporangiaceae	85021	F	53951	17354	71305	0.00469
Promicromonosporaceae	85017	F	46645	21026	67671	0.00446
Ornithinimicrobiaceae	2805590	F	42196	10568	52764	0.00347
Dermabacteraceae	85020	F	25351	5724	31075	0.00205
Brevibacteriaceae	85019	F	23155	5827	28982	0.00191
Bogoriellaceae	145358	F	22246	7947	30193	0.00199
Dermacoccaceae	145357	F	16386	4535	20921	0.00138
Ruaniaceae	1331736	F	16301	18141	34442	0.00227
Beutenbergiaceae	125316	F	10928	3992	14920	0.00098
Sanguibacteraceae	145360	F	7348	2705	10053	0.00066
Dermatophilaceae	85018	F	3181	376	3557	0.00023
Kytococcaceae	2805426	F	3180	1402	4582	0.00030
Demequinaceae	1042322	F	1077	104	1181	0.00008
Jonesiaceae	85022	F	181	40	221	0.00001
Mycobacteriaceae	1762	F	552000	91142	643142	0.04234
Nocardiaceae	85025	F	232314	53026	285340	0.01879
Corynebacteriaceae	1653	F	61485	19147	80632	0.00531
Gordoniaceae	85026	F	56049	18371	74420	0.00490
Tsukamurellaceae	85028	F	17376	5077	22453	0.00148
Dietziaceae	85029	F	11343	10589	21932	0.00144
Segniliparaceae	316606	F	1385	92	1477	0.00010
Lawsonellaceae	2805586	F	183	25	208	0.00001
Micromonosporaceae	28056	F	816813	142304	959117	0.06315
Pseudonocardiaceae	2070	F	792130	143902	936032	0.06163
Nocardioidaceae	85015	F	606349	149779	756128	0.04978
Propionibacteriaceae	31957	F	87705	24994	112699	0.00742
Kribbellaceae	2726069	F	40651	7593	48244	0.00318
Actinopolymorphaceae	2805400	F	9784	1370	11154	0.00073
Geodermatophilaceae	85030	F	270750	86343	357093	0.02351
Thermomonosporaceae	2012	F	110077	26933	137010	0.00902
Streptosporangiaceae	2004	F	109813	22511	132324	0.00871
Nocardiopsaceae	83676	F	45054	9100	54154	0.00357
Frankiaceae	74712	F	43723	5475	49198	0.00324
Actinomycetaceae	2049	F	39293	7125	46418	0.00306
Jiangellaceae	1217100	F	36989	8044	45033	0.00296
Nakamurellaceae	85031	F	17440	2894	20334	0.00134
Bifidobacteriaceae	31953	F	13487	4354	17841	0.00117
Catenulisporaceae	414877	F	11006	2010	13016	0.00086
Jatrophihabitantaceae	2805416	F	9429	1038	10467	0.00069
Glycomycetaceae	85034	F	7086	722	7808	0.00051
Kineosporiaceae	83778	F	6451	2230	8681	0.00057
Sporichthyaceae	85033	F	3503	2068	5571	0.00037
Actinopolysporaceae	622451	F	3344	431	3775	0.00025
Acidothermaceae	85032	F	2058	140	2198	0.00014
Candidatus Nanopelagicaceae	2162846	F	360	8	368	0.00002
Conexibacteraceae	320583	F	282936	49660	332596	0.02190
Miltoncostaeaceae	2843199	F	36737	5779	42516	0.00280
Rubrobacteraceae	84997	F	119234	6234	125468	0.00826
Baekduiaceae	2600303	F	88167	17628	105795	0.00697
Iamiaceae	633392	F	73135	10706	83841	0.00552
Ilumatobacteraceae	2448023	F	6486	458	6944	0.00046
Acidimicrobiaceae	84994	F	2152	195	2347	0.00015
