name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinobacteria	201174	P	8399949	481622	8881571	0.58454
Firmicutes	1239	P	115586	50988	166574	0.01096
Deinococcus-Thermus	1297	P	39503	2170	41673	0.00274
Cyanobacteria	1117	P	36700	1415	38115	0.00251
Chloroflexi	200795	P	25927	580	26507	0.00174
Armatimonadetes	67819	P	2003	17	2020	0.00013
Tenericutes	544448	P	467	75	542	0.00004
Proteobacteria	1224	P	4931221	466952	5398173	0.35528
Planctomycetes	203682	P	302053	6021	308074	0.02028
Verrucomicrobia	74201	P	26793	1064	27857	0.00183
Kiritimatiellaeota	134625	P	1094	952	2046	0.00013
Chlamydiae	204428	P	285	15	300	0.00002
Candidatus Omnitrophica	67812	P	201	1	202	0.00001
Bacteroidetes	976	P	80299	2453	82752	0.00545
Chlorobi	1090	P	2954	144	3098	0.00020
Balneolaeota	1936987	P	216	20	236	0.00002
Ignavibacteriae	1134404	P	143	3	146	0.00001
Gemmatimonadetes	142182	P	55027	4767	59794	0.00394
Fibrobacteres	65842	P	124	3	127	0.00001
Acidobacteria	57723	P	79086	3367	82453	0.00543
Nitrospirae	40117	P	7431	160	7591	0.00050
Synergistetes	508458	P	2901	377	3278	0.00022
Spirochaetes	203691	P	2848	197	3045	0.00020
Candidatus Bipolaricaulota	67810	P	556	34	590	0.00004
Candidatus Saccharibacteria	95818	P	239	42	281	0.00002
Thermotogae	200918	P	685	72	757	0.00005
Aquificae	200783	P	588	11	599	0.00004
Thermodesulfobacteria	200940	P	406	12	418	0.00003
Deferribacteres	200930	P	236	11	247	0.00002
Calditrichaeota	1930617	P	231	3	234	0.00002
Fusobacteria	32066	P	228	60	288	0.00002
Chrysiogenetes	200938	P	208	143	351	0.00002
Ascomycota	4890	P	42231	752	42983	0.00283
Basidiomycota	5204	P	4387	146	4533	0.00030
Oomycota	4762	P	5676	1046	6722	0.00044
