name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinomycetia	1760	C	13749462	817816	14567278	0.53479
Thermoleophilia	1497346	C	530231	80390	610621	0.02242
Rubrobacteria	84995	C	406899	39643	446542	0.01639
Acidimicrobiia	84992	C	122330	14800	137130	0.00503
Coriobacteriia	84998	C	39644	6863	46507	0.00171
Nitriliruptoria	908620	C	37075	3548	40623	0.00149
Bacilli	91061	C	136517	85426	221943	0.00815
Clostridia	186801	C	58377	11533	69910	0.00257
Negativicutes	909932	C	8372	1024	9396	0.00034
Limnochordia	1676648	C	5340	237	5577	0.00020
Tissierellia	1737404	C	899	543	1442	0.00005
Erysipelotrichia	526524	C	842	74489	75331	0.00277
Gloeobacteria	307596	C	7718	1857	9575	0.00035
Deinococci	188787	C	80237	4078	84315	0.00310
Thermomicrobia	189775	C	15802	581	16383	0.00060
Chloroflexia	32061	C	9161	291	9452	0.00035
Ardenticatenia	1382928	C	6263	137	6400	0.00023
Tepidiformia	2682225	C	5853	266	6119	0.00022
Caldilineae	475962	C	2738	143	2881	0.00011
Anaerolineae	292625	C	1827	31	1858	0.00007
Dehalococcoidia	301297	C	1708	27	1735	0.00006
Ktedonobacteria	388447	C	1516	1469	2985	0.00011
Candidatus Thermofonsia	2364196	C	638	6	644	0.00002
Fimbriimonadia	1663419	C	3224	22	3246	0.00012
Chthonomonadetes	1077257	C	675	7	682	0.00003
Mollicutes	31969	C	831	179	1010	0.00004
Alphaproteobacteria	28211	C	4518226	454525	4972751	0.18256
Betaproteobacteria	28216	C	1731698	383128	2114826	0.07764
Gammaproteobacteria	1236	C	1291719	452308	1744027	0.06403
Deltaproteobacteria	28221	C	802707	51639	854346	0.03136
Epsilonproteobacteria	29547	C	5762	367	6129	0.00023
Acidithiobacillia	1807140	C	2977	355	3332	0.00012
Oligoflexia	1553900	C	1294	24	1318	0.00005
Hydrogenophilalia	2008785	C	943	232	1175	0.00004
Zetaproteobacteria	580370	C	563	20	583	0.00002
Planctomycetia	203683	C	395174	8041	403215	0.01480
Phycisphaerae	666505	C	29612	1098	30710	0.00113
Candidatus Brocadiia	2517206	C	212	1	213	0.00001
Candidatus Uabimicrobiia	2897345	C	152	2	154	0.00001
Opitutae	414999	C	33861	1484	35345	0.00130
Verrucomicrobiae	203494	C	18617	3337	21954	0.00081
Spartobacteria	134549	C	264	16	280	0.00001
Methylacidiphilae	1955630	C	221	9	230	0.00001
Kiritimatiellae	1921781	C	1636	1615	3251	0.00012
Tichowtungiia	2907184	C	561	501	1062	0.00004
Chlamydiia	204429	C	395	28	423	0.00002
Cytophagia	768503	C	64513	1657	66170	0.00243
Chitinophagia	1853228	C	26082	398	26480	0.00097
Bacteroidia	200643	C	20636	25125	45761	0.00168
Flavobacteriia	117743	C	15480	1349	16829	0.00062
Sphingobacteriia	117747	C	9149	839	9988	0.00037
Saprospiria	1937959	C	531	134	665	0.00002
Chlorobia	191410	C	6117	720	6837	0.00025
Ignavibacteria	795747	C	339	7	346	0.00001
Gemmatimonadetes	219685	C	130219	9929	140148	0.00515
Fibrobacteria	204430	C	239	71	310	0.00001
Vicinamibacteria	1813735	C	112420	8134	120554	0.00443
Acidobacteriia	204432	C	68606	1401	70007	0.00257
Blastocatellia	1562566	C	8321	292	8613	0.00032
Holophagae	533205	C	3950	94	4044	0.00015
Nitrospira	203693	C	13707	275	13982	0.00051
Thermodesulfovibrionia	2811502	C	261	8	269	0.00001
Spirochaetia	203692	C	6259	388	6647	0.00024
Synergistia	649775	C	6169	1999	8168	0.00030
Candidatus Saccharimonia	2093818	C	191	298	489	0.00002
Thermotogae	188708	C	1670	94	1764	0.00006
Aquificae	187857	C	1016	19	1035	0.00004
Thermodesulfobacteria	67799	C	749	19	768	0.00003
Deferribacteres	68337	C	483	20	503	0.00002
Fusobacteriia	203490	C	461	111	572	0.00002
Calditrichia	1962850	C	454	5	459	0.00002
Chrysiogenetes	118001	C	432	272	704	0.00003
Elusimicrobia	641853	C	105	1	106	0.00000
Sordariomycetes	147550	C	66383	1047	67430	0.00248
Leotiomycetes	147548	C	403	2	405	0.00001
Eurotiomycetes	147545	C	10415	267	10682	0.00039
Dothideomycetes	147541	C	3930	481	4411	0.00016
Saccharomycetes	4891	C	3213	501	3714	0.00014
Ustilaginomycetes	5257	C	7130	129	7259	0.00027
Malasseziomycetes	1538075	C	475	70	545	0.00002
Agaricomycetes	155619	C	2321	32	2353	0.00009
Tremellomycetes	155616	C	504	14951	15455	0.00057
