name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces	1883	G	2694838	739091	3433929	0.12616
Kitasatospora	2063	G	54517	21314	75831	0.00279
Streptacidiphilus	228398	G	36767	11749	48516	0.00178
Yinghuangia	2805681	G	14104	2506	16610	0.00061
Microbacterium	33882	G	252583	46568	299151	0.01099
Agromyces	33877	G	81979	20341	102320	0.00376
Curtobacterium	2034	G	56986	12604	69590	0.00256
Rathayibacter	33886	G	50917	12257	63174	0.00232
Clavibacter	1573	G	39027	23131	62158	0.00228
Leifsonia	110932	G	37701	13046	50747	0.00186
Agrococcus	46352	G	36338	10315	46653	0.00171
Leucobacter	55968	G	35752	7406	43158	0.00159
Protaetiibacter	2680004	G	16259	4879	21138	0.00078
Salinibacterium	235888	G	13761	2273	16034	0.00059
Cryobacterium	69578	G	12937	1958	14895	0.00055
Frondihabitans	447237	G	10935	1778	12713	0.00047
Microterricola	518733	G	9680	2456	12136	0.00045
Plantibacter	190323	G	9511	1275	10786	0.00040
Microcella	337004	G	8723	3157	11880	0.00044
Cnuibacter	1759331	G	6755	1489	8244	0.00030
Frigoribacterium	96492	G	6707	2015	8722	0.00032
Herbiconiux	881616	G	6651	1365	8016	0.00029
Gryllotalpicola	1195526	G	6561	1320	7881	0.00029
Mycetocola	76634	G	5863	798	6661	0.00024
Subtercola	120212	G	5158	451	5609	0.00021
Amnibacterium	1029631	G	5155	1272	6427	0.00024
Humibacter	427753	G	5141	1159	6300	0.00023
Chryseoglobus	1331730	G	4722	968	5690	0.00021
Gulosibacter	256818	G	3783	1128	4911	0.00018
Marisediminicola	1230698	G	3715	476	4191	0.00015
Diaminobutyricimonas	1433997	G	3460	669	4129	0.00015
Agreia	110934	G	2857	360	3217	0.00012
Glaciihabitans	1649454	G	2788	228	3016	0.00011
Aquiluna	529881	G	435	27	462	0.00002
Rhodoluna	529883	G	384	23	407	0.00001
Pseudoclavibacter	255204	G	677	134	811	0.00003
Aurantimicrobium	1705353	G	412	24	436	0.00002
Pontimonas	1434032	G	241	12	253	0.00001
Arthrobacter	1663	G	119866	30298	150164	0.00552
Kocuria	57493	G	41083	13646	54729	0.00201
Pseudarthrobacter	1742993	G	24520	9148	33668	0.00124
Micrococcus	1269	G	17330	12505	29835	0.00110
Sinomonas	596707	G	14011	3891	17902	0.00066
Glutamicibacter	1742989	G	9429	3915	13344	0.00049
Rothia	32207	G	7332	3508	10840	0.00040
Paenarthrobacter	1742992	G	6280	4294	10574	0.00039
Citricoccus	169133	G	6015	1785	7800	0.00029
Nesterenkonia	57494	G	2028	144	2172	0.00008
Paeniglutamicibacter	1742990	G	1006	184	1190	0.00004
Psychromicrobium	2078575	G	690	125	815	0.00003
Auritidibacter	1160973	G	573	63	636	0.00002
Neomicrococcus	1868332	G	549	317	866	0.00003
Renibacterium	1645	G	414	29	443	0.00002
Cellulomonas	1707	G	144298	54545	198843	0.00731
Actinotalea	458839	G	9963	3936	13899	0.00051
Oerskovia	162491	G	7154	2512	9666	0.00036
Pseudactinotalea	1926259	G	6324	1015	7339	0.00027
Paraoerskovia	665568	G	4883	1409	6292	0.00023
Janibacter	53457	G	25899	8536	34435	0.00127
Phycicoccus	367298	G	22589	7077	29666	0.00109
Pedococcus	2805645	G	12496	3975	16471	0.00061
Intrasporangium	53357	G	10744	3140	13884	0.00051
Tetrasphaera	99479	G	9984	2812	12796	0.00047
Arsenicicoccus	267408	G	8265	3465	11730	0.00043
Cellulosimicrobium	157920	G	40091	17891	57982	0.00213
Xylanimonas	186188	G	22467	8028	30495	0.00112
Isoptericola	254250	G	17498	8674	26172	0.00096
Ornithinimicrobium	125287	G	35947	8231	44178	0.00162
Serinicoccus	265976	G	26579	7885	34464	0.00127
Brachybacterium	43668	G	43301	7943	51244	0.00188
Dermabacter	36739	G	2731	1721	4452	0.00016
Devriesea	472568	G	574	35	609	0.00002
Brevibacterium	1696	G	42786	9628	52414	0.00193
Georgenia	154116	G	37276	12064	49340	0.00181
Ruania	626119	G	29190	3872	33062	0.00121
Dermacoccus	57495	G	9595	3644	13239	0.00049
Luteipulveratus	745364	G	7976	1231	9207	0.00034
Allobranchiibius	2040262	G	6279	1519	7798	0.00029
Yimella	908935	G	3651	819	4470	0.00016
Pengzhenrongella	2888818	G	11336	3489	14825	0.00054
Luteimicrobium	754249	G	9148	3075	12223	0.00045
Beutenbergia	84756	G	11937	2171	14108	0.00052
Miniimonas	947525	G	7801	4361	12162	0.00045
Sanguibacter	60919	G	13427	4458	17885	0.00066
Gephyromycinifex	2885697	G	2773	368	3141	0.00012
Austwickia	1184606	G	2204	195	2399	0.00009
Dermatophilus	1862	G	513	54	567	0.00002
Kytococcus	57499	G	5416	2146	7562	0.00028
Demequina	577469	G	1949	170	2119	0.00008
Jonesia	43673	G	361	73	434	0.00002
Micromonospora	1873	G	595782	166145	761927	0.02799
Actinoplanes	1865	G	375014	78277	453291	0.01665
Phytohabitans	907364	G	267869	39714	307583	0.01130
Plantactinospora	673534	G	64408	12509	76917	0.00283
Couchioplanes	56433	G	56097	15270	71367	0.00262
Dactylosporangium	35753	G	50789	6297	57086	0.00210
Actinocatenispora	390988	G	43535	6009	49544	0.00182
Catellatospora	53365	G	39769	9713	49482	0.00182
Polymorphospora	338583	G	28686	6825	35511	0.00130
Natronosporangium	2920401	G	14297	1098	15395	0.00057
Verrucosispora	84593	G	10675	8243	18918	0.00070
Salinispora	168694	G	8261	1485	9746	0.00036
Pseudonocardia	1847	G	528037	95789	623826	0.02292
Amycolatopsis	1813	G	524695	116010	640705	0.02354
Saccharothrix	2071	G	136518	42148	178666	0.00656
Saccharopolyspora	1835	G	74121	17751	91872	0.00338
Kutzneria	43356	G	57294	13136	70430	0.00259
