name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetales	85011	O	3530891	827992	4358883	0.12159
Micrococcales	85006	O	2750491	419199	3169690	0.08842
Corynebacteriales	85007	O	2182351	263111	2445462	0.06821
Propionibacteriales	85009	O	2089225	411179	2500404	0.06975
Pseudonocardiales	85010	O	1697571	263205	1960776	0.05469
Micromonosporales	85008	O	1689472	244366	1933838	0.05394
Geodermatophilales	1643682	O	723467	190884	914351	0.02551
Streptosporangiales	85012	O	654103	106359	760462	0.02121
Frankiales	85013	O	99719	10300	110019	0.00307
Actinomycetales	2037	O	96494	14636	111130	0.00310
Jiangellales	1217098	O	62365	11218	73583	0.00205
Nakamurellales	1643684	O	39989	5488	45477	0.00127
Bifidobacteriales	85004	O	33936	8602	42538	0.00119
Catenulisporales	414714	O	32861	4984	37845	0.00106
Jatrophihabitantales	2805415	O	27671	2517	30188	0.00084
Glycomycetales	85014	O	17202	1464	18666	0.00052
Kineosporiales	622452	O	15992	4594	20586	0.00057
Sporichthyales	2495578	O	8733	4308	13041	0.00036
Actinopolysporales	622450	O	7027	752	7779	0.00022
Acidothermales	1643683	O	4951	275	5226	0.00015
Candidatus Nanopelagicales	2039638	O	886	18	904	0.00003
Solirubrobacterales	588673	O	583526	87824	671350	0.01873
Miltoncostaeales	2843198	O	80806	10734	91540	0.00255
Rubrobacterales	84996	O	452276	43786	496062	0.01384
Acidimicrobiales	84993	O	173818	19338	193156	0.00539
Eggerthellales	1643822	O	28084	4465	32549	0.00091
Coriobacteriales	84999	O	20816	4129	24945	0.00070
Euzebyales	908621	O	13566	1106	14672	0.00041
Egibacterales	1747768	O	13338	786	14124	0.00039
Egicoccales	1755823	O	13030	1985	15015	0.00042
Bacillales	1385	O	153019	84720	237739	0.00663
Lactobacillales	186826	O	11246	5612	16858	0.00047
Eubacteriales	186802	O	62679	12208	74887	0.00209
Thermoanaerobacterales	68295	O	7309	1040	8349	0.00023
Halanaerobiales	53433	O	677	36	713	0.00002
Thermosediminibacterales	2770089	O	500	25	525	0.00001
Natranaerobiales	485256	O	178	8	186	0.00001
Koleobacterales	2786987	O	127	10	137	0.00000
Selenomonadales	909929	O	7467	432	7899	0.00022
Veillonellales	1843489	O	2047	628	2675	0.00007
Acidaminococcales	1843488	O	926	169	1095	0.00003
Limnochordales	1676649	O	5716	228	5944	0.00017
Tissierellales	1737405	O	1050	883	1933	0.00005
Erysipelotrichales	526525	O	1173	689	1862	0.00005
Deinococcales	118964	O	69062	3913	72975	0.00204
Thermales	68933	O	24594	1495	26089	0.00073
Trueperales	2762275	O	5296	271	5567	0.00016
Synechococcales	1890424	O	38939	2543	41482	0.00116
Nostocales	1161	O	13763	938	14701	0.00041
Pseudanabaenales	2881377	O	10891	864	11755	0.00033
Gloeobacterales	307595	O	8910	187	9097	0.00025
Oscillatoriales	1150	O	5962	428	6390	0.00018
Chroococcales	1118	O	1921	234	2155	0.00006
Chroococcidiopsidales	1890505	O	961	115	1076	0.00003
Pleurocapsales	52604	O	381	33	414	0.00001
Gloeomargaritales	1955042	O	242	7	249	0.00001
Thermostichales	2881383	O	160	85	245	0.00001
Sphaerobacterales	85001	O	15143	795	15938	0.00044
Thermomicrobiales	189776	O	3329	62	3391	0.00009
Chloroflexales	32064	O	11770	370	12140	0.00034
Ardenticatenales	1382929	O	7531	150	7681	0.00021
Tepidiformales	2682226	O	7466	311	7777	0.00022
Caldilineales	475963	O	3429	182	3611	0.00010
Anaerolineales	292629	O	2503	1705	4208	0.00012
Dehalococcoidales	1202465	O	558	20	578	0.00002
Ktedonobacterales	388448	O	1902	1904	3806	0.00011
Phototrophicales	2364208	O	801	7	808	0.00002
Fimbriimonadales	1663425	O	4275	26	4301	0.00012
Chthonomonadales	1077263	O	839	8	847	0.00002
Mycoplasmatales	2085	O	583	122	705	0.00002
Entomoplasmatales	186328	O	303	26	329	0.00001
Acholeplasmatales	186329	O	243	22	265	0.00001
Hyphomicrobiales	356	O	3566725	217404	3784129	0.10556
Sphingomonadales	204457	O	1379812	134825	1514637	0.04225
Rhodospirillales	204441	O	545220	446778	991998	0.02767
Rhodobacterales	204455	O	408805	29684	438489	0.01223
Caulobacterales	204458	O	253794	24217	278011	0.00775
Maricaulales	2800059	O	11206	1118	12324	0.00034
Hyphomonadales	2800060	O	9323	366	9689	0.00027
Parvularculales	255473	O	3407	220	3627	0.00010
Emcibacterales	2066490	O	1454	158	1612	0.00004
Rickettsiales	766	O	1391	1374	2765	0.00008
Magnetococcales	1191478	O	421	12	433	0.00001
Holosporales	1921002	O	415	14	429	0.00001
Pelagibacterales	54526	O	189	4	193	0.00001
Kordiimonadales	362534	O	160	3	163	0.00000
Burkholderiales	80840	O	2089192	495596	2584788	0.07210
Rhodocyclales	206389	O	136645	39983	176628	0.00493
Nitrosomonadales	32003	O	103205	12432	115637	0.00323
Neisseriales	206351	O	86207	21453	107660	0.00300
Xanthomonadales	135614	O	626886	112857	739743	0.02063
Pseudomonadales	72274	O	549279	157465	706744	0.01971
Enterobacterales	91347	O	180925	296675	477600	0.01332
Chromatiales	135613	O	105305	8290	113595	0.00317
Oceanospirillales	135619	O	101641	15186	116827	0.00326
Aeromonadales	135624	O	39696	28582	68278	0.00190
Methylococcales	135618	O	32350	1542	33892	0.00095
Nevskiales	1775403	O	21205	3564	24769	0.00069
Cellvibrionales	1706369	O	19439	1033	20472	0.00057
Alteromonadales	135622	O	19386	2651	22037	0.00061
Acidiferrobacterales	1692040	O	18462	936	19398	0.00054
Vibrionales	135623	O	11119	2508	13627	0.00038
Moraxellales	2887326	O	6077	2385	8462	0.00024
Immundisolibacterales	1934945	O	5149	5926	11075	0.00031
Thiotrichales	72273	O	3784	254	4038	0.00011
Salinisphaerales	742030	O	3539	156	3695	0.00010
Legionellales	118969	O	3085	3033	6118	0.00017
Pasteurellales	135625	O	2117	1807	3924	0.00011
Cardiobacteriales	135615	O	2099	293	2392	0.00007
Kangiellales	2887327	O	321	22	343	0.00001
Orbales	1240482	O	136	33	169	0.00000
Myxococcales	29	O	765687	75673	841360	0.02347
Desulfuromonadales	69541	O	69835	5716	75551	0.00211
Desulfovibrionales	213115	O	54001	4074	58075	0.00162
Desulfobacterales	213118	O	17600	1370	18970	0.00053
Bradymonadales	1779134	O	14777	443	15220	0.00042
Desulfarculales	453227	O	4126	1857	5983	0.00017
Syntrophobacterales	213462	O	3801	748	4549	0.00013
Syntrophales	2914038	O	1969	554	2523	0.00007
Campylobacterales	213849	O	7023	607	7630	0.00021
Nautiliales	235899	O	635	47	682	0.00002
Acidithiobacillales	225057	O	3970	430	4400	0.00012
Bdellovibrionales	213481	O	1620	26	1646	0.00005
Bacteriovoracales	2024979	O	230	3	233	0.00001
Silvanigrellales	2024973	O	116	3	119	0.00000
Hydrogenophilales	119069	O	1260	279	1539	0.00004
Mariprofundales	580371	O	730	24	754	0.00002
Gemmatales	2691355	O	184115	6051	190166	0.00530
Isosphaerales	2691356	O	144645	13311	157956	0.00441
Pirellulales	2691354	O	103041	2274	105315	0.00294
Planctomycetales	112	O	91901	8809	100710	0.00281
Tepidisphaerales	1771349	O	35383	971	36354	0.00101
Phycisphaerales	666506	O	14124	941	15065	0.00042
Sedimentisphaerales	2483366	O	1402	94	1496	0.00004
Candidatus Brocadiales	1127829	O	273	1	274	0.00001
Candidatus Uabimicrobiales	2897347	O	187	3	190	0.00001
Opitutales	415000	O	45363	1820	47183	0.00132
Puniceicoccales	415001	O	2244	296	2540	0.00007
Verrucomicrobiales	48461	O	27826	5237	33063	0.00092
Methylacidiphilales	717963	O	326	14	340	0.00001
Kiritimatiellales	1921782	O	2008	2079	4087	0.00011
Tichowtungiales	2907185	O	765	23	788	0.00002
Parachlamydiales	1963360	O	447	4	451	0.00001
Chlamydiales	51291	O	250	607	857	0.00002
Cytophagales	768507	O	107462	2697	110159	0.00307
Chitinophagales	1853229	O	51399	881	52280	0.00146
Flavobacteriales	200644	O	31410	2796	34206	0.00095
Bacteroidales	171549	O	28023	6829	34852	0.00097
Marinilabiliales	1970189	O	739	23	762	0.00002
Bacteroidetes Order II. Incertae sedis	1100069	O	23152	1246	24398	0.00068
Sphingobacteriales	200666	O	19132	1900	21032	0.00059
Saprospirales	1936988	O	927	14	941	0.00003
Candidatus Sulfidibacteriales	2923288	O	173	6	179	0.00000
Chlorobiales	191411	O	8042	995	9037	0.00025
Ignavibacteriales	795748	O	404	8	412	0.00001
Gemmatimonadales	219686	O	173545	11907	185452	0.00517
Fibrobacterales	218872	O	339	78	417	0.00001
Vicinamibacterales	2910145	O	130875	8494	139369	0.00389
Acidobacteriales	204433	O	83544	2105	85649	0.00239
Bryobacterales	332160	O	14419	9999	24418	0.00068
Acanthopleuribacterales	533206	O	4777	107	4884	0.00014
Thermotomaculales	2562243	O	109	6	115	0.00000
Nitrospirales	189778	O	17111	301	17412	0.00049
Thermodesulfovibrionales	2811503	O	291	8	299	0.00001
Spirochaetales	136	O	6068	449	6517	0.00018
Leptospirales	1643688	O	1773	50	1823	0.00005
Brachyspirales	1643686	O	120	3	123	0.00000
Synergistales	649776	O	7609	2280	9889	0.00028
Candidatus Nanosynbacterales	2093819	O	381	476	857	0.00002
Candidatus Absconditabacterales	2900568	O	135	1	136	0.00000
Candidatus Babeliales	2497644	O	112	92	204	0.00001
Thermotogales	2419	O	1093	62	1155	0.00003
Kosmotogales	1643946	O	423	14	437	0.00001
Petrotogales	1643947	O	141	62	203	0.00001
Aquificales	32069	O	845	21	866	0.00002
Desulfurobacteriales	1485951	O	268	42	310	0.00001
Thermodesulfobacteriales	188710	O	883	21	904	0.00003
Fusobacteriales	203491	O	703	167	870	0.00002
Deferribacterales	191393	O	610	23	633	0.00002
Calditrichales	1962852	O	544	6	550	0.00002
Chrysiogenales	189769	O	543	308	851	0.00002
Elusimicrobiales	641854	O	150	2	152	0.00000
Endomicrobiales	1783344	O	111	2	113	0.00000
Caldisericales	693072	O	161	0	161	0.00000
Coprothermobacterales	2138246	O	105	25	130	0.00000
Hypocreales	5125	O	98625	2468	101093	0.00282
Glomerellales	1028384	O	4331	637	4968	0.00014
Sordariales	5139	O	11733	219	11952	0.00033
Magnaporthales	639021	O	5225	33	5258	0.00015
Xylariales	37989	O	2477	26	2503	0.00007
Helotiales	5178	O	597	3	600	0.00002
Eurotiales	5042	O	12870	391	13261	0.00037
Pleosporales	92860	O	4640	822	5462	0.00015
Mycosphaerellales	2726947	O	2111	18	2129	0.00006
Saccharomycetales	4892	O	4513	538	5051	0.00014
Ustilaginales	5267	O	9235	146	9381	0.00026
Malasseziales	162474	O	586	71	657	0.00002
Polyporales	5303	O	2280	20	2300	0.00006
Cantharellales	36064	O	494	15	509	0.00001
Agaricales	5338	O	451	18	469	0.00001
Tremellales	5234	O	697	171	868	0.00002
Peronosporales	4776	O	15558	2488	18046	0.00050
Pythiales	121069	O	1511	17	1528	0.00004
