name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Arthrobacter sp. NicSoilC5	2831000	S	86175	43890	130065	0.01564
Arthrobacter sp. FW305-BF8	2879617	S	8563	2797	11360	0.00137
Arthrobacter sp. QXT-31	1357915	S	8097	2759	10856	0.00131
Arthrobacter sp. PGP41	2079227	S	6120	1926	8046	0.00097
Arthrobacter sp. FW306-06-A	2879621	S	4348	10532	14880	0.00179
Arthrobacter sp. 24S4-2	2575374	S	4324	1124	5448	0.00066
Arthrobacter sp. PM3	2017685	S	4111	619	4730	0.00057
Arthrobacter sp. NicSoilB8	2830998	S	3797	1150	4947	0.00060
Arthrobacter sp. NicSoilB11	2830999	S	3777	10262	14039	0.00169
Arthrobacter sp. FB24	290399	S	3734	1142	4876	0.00059
Arthrobacter sp. StoSoilB19	2830994	S	3546	11069	14615	0.00176
Arthrobacter sp. KBS0702	2578107	S	3545	1627	5172	0.00062
Arthrobacter sp. FW306-07-I	2879622	S	3498	13339	16837	0.00203
Arthrobacter sp. UKPF54-2	2600159	S	3490	1684	5174	0.00062
Arthrobacter sp. PAMC25564	2565366	S	3425	1117	4542	0.00055
Arthrobacter sp. FW306-2-2C-D06B	2879618	S	3386	828	4214	0.00051
Arthrobacter sp. U41	1849032	S	3358	1076	4434	0.00053
Arthrobacter sp. NicSoilB4	2830997	S	3107	1138	4245	0.00051
Arthrobacter sp. FW306-05-C	2879620	S	2876	10278	13154	0.00158
Arthrobacter sp. PAMC25284	2861279	S	2397	776	3173	0.00038
Arthrobacter sp. QL17	2895818	S	2132	687	2819	0.00034
Arthrobacter sp. StoSoilB20	2830995	S	1951	536	2487	0.00030
Arthrobacter sp. NtRootA1	2830983	S	1781	519	2300	0.00028
Arthrobacter sp. ERGS1:01	1704044	S	1760	484	2244	0.00027
Arthrobacter sp. StoSoilB5	2830992	S	1574	475	2049	0.00025
Arthrobacter sp. Helios	2828862	S	1354	309	1663	0.00020
Arthrobacter sp. D5-1	1477518	S	1212	797	2009	0.00024
Arthrobacter sp. YN	2020486	S	1154	408	1562	0.00019
Arthrobacter sp. zg-Y462	2886936	S	1080	315	1395	0.00017
Arthrobacter agilis	37921	S	2986	588	3574	0.00043
Arthrobacter crystallopoietes	37928	S	2194	531	2725	0.00033
Arthrobacter woluwensis	156980	S	1587	468	2055	0.00025
Arthrobacter sulfonylureivorans	2486855	S	1574	330	1904	0.00023
Arthrobacter dokdonellae	2211210	S	1557	383	1940	0.00023
Pseudarthrobacter sp. NIBRBAC000502770	2590785	S	7043	20475	27518	0.00331
Pseudarthrobacter sp. NIBRBAC000502771	2590774	S	6607	22692	29299	0.00352
Pseudarthrobacter sp. L1SW	2851598	S	4215	1542	5757	0.00069
