	5QBDM2ESPNATXXX0494	5QBDM2ESPPOOBXX0490	BR5r-M2-ESP-POO-B-XX-1621	BR5rM2ESPNATXXX1625	MvvQ-M2-ESP-POO-A-XX-1616	MvvQM2ESPNATXXX1620	TZEpM2ESPNATXXX0504	TZEpM2ESPPOOAXX0500
Streptomyces.sp..WAC.01438	233240	8843	25366	16533	13077	10109	3942	8744
Streptomyces.sp..BJ20	129804	8481	22233	17902	13121	13092	3962	11718
Streptomyces.sp..HP.A2021	94707	27911	66424	63701	25183	18807	5627	16954
Streptomyces.sp..A144	290193	6513	10861	5872	5859	4562	2488	4746
Streptomyces.sp..Go.475	81496	11102	32401	23724	15504	11914	4905	8638
Streptomyces.sp..SS52	274248	5965	9785	5133	4693	4401	2146	4283
Streptomyces.sp..SGAir0924	270721	6525	10244	5885	5221	4655	2396	4666
Streptomyces.sp..SYP.A7193	70538	5515	17937	9282	8769	7215	3120	5077
Streptomyces.sp..CCM_MD2014	66676	13283	14573	7320	7031	6261	2661	3854
Streptomyces.sp..CB09001	56780	4461	14538	7518	7323	5702	2437	4268
Streptomyces.sp..Z423.1	39287	10015	33633	13654	18861	10842	4019	8585
Streptomyces.sp..MG62	39144	8014	24746	14665	12063	9795	3832	6713
Streptomyces.sp..NA02536	91004	3487	9639	6452	4753	3957	1548	3120
Streptomyces.sp..CdTB01	34962	9958	32516	15238	16022	13498	5041	8705
Streptomyces.sp..JB150	34009	6248	21476	10976	10557	8464	3291	5748
Streptomyces.sp..C8S0	32339	6276	21945	10603	10686	8366	3794	5975
Streptomyces.sp..ZYC.3	29344	9909	33203	13367	16831	10753	4187	8107
Streptomyces.sp..P3	28524	8433	27276	13161	14838	10182	4155	7125
Streptomyces.sp..891.h	26543	6206	22487	10638	12578	9197	4061	6090
Streptomyces.sp..LRE541	26921	7382	24325	11584	11531	8959	3552	6405
Streptomyces.sp..SAT1	28696	6569	22636	11681	10921	9582	3930	6171
Streptomyces.sp..DSM.40868	27909	6668	22194	11556	11233	9532	4033	6126
Streptomyces.sp..SCSIO.64649	24641	11173	39545	20028	18974	14676	6802	10537
Streptomyces.sp..3214.6	26385	7761	24475	11165	12877	10003	3695	6568
Streptomyces.sp..HM190	26256	6442	21279	11061	10691	9035	3395	6436
Streptomyces.sp..ST1015	23290	12003	30703	14505	405209	11047	4712	12514
Streptomyces.sp..A2.16	24307	7646	24326	10897	11864	11972	5287	6408
Streptomyces.sp..BH.MK.02	21299	7705	26711	12879	12514	10241	4449	6971
Streptomyces.sp..SN.593	20917	10479	35376	17673	16962	14272	6831	9741
Streptomyces.sp..AMCC400023	23285	7410	24406	11119	12428	8664	3422	7009
Streptomyces.sp..NHF165	19725	7898	28165	14717	14571	12025	5531	7957
Streptomyces.sp..NEAU.sy36	22102	6555	22989	11104	10794	9044	3797	6305
Streptomyces.sp..GQFP	19687	6250	20508	8936	10448	7673	3031	5375
Streptomyces.sp..SCUT.3	20756	8229	28163	14807	13452	11452	5314	8203
Streptomyces.sp..Go.40.10	21830	6360	21414	10975	10408	9018	3730	5700
Streptomyces.sp..MG28	20830	6671	21966	10248	11611	8339	3207	7044
Streptomyces.sp..CB01881	18486	9300	34648	16550	16152	12922	5842	8970
Streptomyces.sp..So13.3	18111	8690	30147	14026	13878	11705	5247	7987
Streptomyces.sp..3025	17434	6381	23086	11777	11264	9519	4201	6382
Streptomyces.sp..NA02950	17582	6891	24693	11151	12020	9004	3860	6420
Streptomyces.sp..RPA4.2	18494	5532	18948	8988	9258	7556	3097	5100
Streptomyces.sp..MA3_2.13	15989	7953	28735	13829	13674	10353	4617	7939
Streptomyces.sp..YIM.121038	16967	7082	25241	13658	12499	9951	4061	6793
Streptomyces.sp..GMY02	15567	5531	19983	9607	9039	7215	3253	5072
Streptomyces.sp..QHH.9511	16424	5825	19937	9757	9521	7503	3365	5305
Streptomyces.sp..HSG2	15585	4222	14641	6930	7016	5549	2534	4180
Streptomyces.sp..NA04227	15423	5603	19741	9687	9526	7524	3253	5287
Streptomyces.sp..135	15951	6019	19070	9259	9279	7416	3092	5138
Streptomyces.sp..SirexAA.E	15263	4954	16912	8651	8484	6763	3034	4770
Streptomyces.sp..SM18	14666	4848	16828	8398	7976	6609	3034	4734
Streptomyces.sp..MBT27	14729	6118	21772	10483	10324	8346	3760	5869
Streptomyces.sp..W1SF4	15163	6241	22791	11551	10954	9017	3956	6060
Streptomyces.sp..MST.110588	14034	5985	20652	10040	9865	7820	3579	5508
Streptomyces.sp..Tu.2975	14628	4828	17587	8112	8406	6339	2918	4665
Streptomyces.sp..jing01	16078	4341	15957	7814	8026	7318	3153	4388
Streptomyces.sp..RTd22	14694	6818	23186	10869	10696	10395	4211	6142
Streptomyces.sp..WAC.01529	14217	5183	16367	8501	8029	6434	2635	4482
Streptomyces.sp..Rer75	14175	6837	21414	10206	10531	10284	4123	5811
Streptomyces.sp..GS7	12707	5795	20808	9927	9727	7706	3463	5386
Streptomyces.sp..BHT.5.2	11779	5672	20169	9929	9660	7542	3449	5395
Streptomyces.sp..fd1.xmd	12253	5056	18033	8768	8556	7010	3131	4918
Streptomyces.sp..CMB.StM0423	11763	5810	21312	10355	12781	8023	3902	5636
Streptomyces.sp..S4.7	10801	4206	14566	7426	6846	5685	2344	3806
Streptomyces.sp..SUK.48	12046	4370	14911	7483	7006	5897	2581	4133
Streptomyces.sp..S1D4.11	12803	4768	16209	7054	8094	5990	2534	4263
Streptomyces.sp..INR7	10940	5017	17906	9215	8507	7135	3321	4874
Streptomyces.sp..TN58	10267	4670	16301	8095	7658	6176	2948	4661
Streptomyces.sp..NA03103	43590	3449	10250	6093	6152	4389	2053	3218
Streptomyces.sp..HF10	10542	3612	12797	6479	6189	4970	2203	3379
Streptomyces.sp..WY228	9581	3930	14243	7481	6417	5359	2274	3703
Streptomyces.sp..YPW6	8617	3462	12117	6185	6094	4764	2030	3460
Streptomyces.sp..EAS.AB2608	13589	3942	12890	6754	6236	5594	2693	3877
Streptomyces.sp..WAC.06738	9808	5582	18527	9419	10452	7250	3691	5311
Streptomyces.sp..ADI95.16	9230	4455	14838	7444	7092	6021	2822	4162
Streptomyces.sp..CNQ.509	9281	5163	16260	8262	9573	6553	3086	4691
Streptomyces.sp..PBH53	11435	3623	11971	6165	6803	5229	2475	3462
Streptomyces.sp..V17.9	23621	3376	9559	4849	4736	3756	2093	2641
Streptomyces.sp..Mg1	8408	4226	14128	7148	6838	5837	2680	3904
Streptomyces.sp..S063	7315	3809	11484	4721	4922	3617	1554	3027
Streptomyces.sp..AgN23	8238	3301	11931	5316	5835	4414	1829	2970
Streptomyces.sp..769	7275	3468	12976	6162	6428	4882	2023	3322
Streptomyces.sp..BSE6.1	20627	2677	8113	4488	3716	3894	1582	2495
Streptomyces.sp..RPA4.5	6501	2774	10109	5018	5026	3964	1671	2635
Streptomyces.sp..CB09030	15845	2187	8007	4003	4016	2993	1281	2098
Streptomyces.sp..S8	6796	2869	10439	5277	4953	4045	1750	2863
Streptomyces.sp..2323.1	6103	2805	10539	4996	4999	4071	1688	2711
Streptomyces.sp..3211	7506	3502	11756	5793	5481	4649	2222	3277
Streptomyces.sp..NEAU.S7GS2	5905	2598	9341	4414	4564	3423	1564	2533
Streptomyces.sp..RLB1.33	11648	4008	14593	6587	7033	5040	2164	3675
Streptomyces.sp..WA6.1.16	5982	2661	9124	4591	4244	3330	1562	2546
Streptomyces.sp..WAC00288	14712	2523	8448	4423	4363	4156	1485	2809
Streptomyces.sp..2114.2	19001	2122	7046	4121	3738	3417	1096	1974
Streptomyces.sp..HNA39	5712	2588	9098	4594	4458	3531	1709	2616
Streptomyces.sp..XC.2026	5270	2355	8689	4469	4272	3256	1384	2206
Streptomyces.sp..ID38640	4931	2413	8366	3987	4046	3131	1358	2228
Streptomyces.sp..VN1	13157	2498	8376	4640	4092	3258	1301	2108
Streptomyces.sp..KPB2	21441	2990	9068	4273	3922	3726	1784	2971
Streptomyces.sp..Tue.6075	5512	2345	8046	4185	3718	3120	1329	2000
Streptomyces.sp..Sge12	6016	3260	10713	5502	5204	4340	2314	2914
Streptomyces.sp..MOE7	5204	2609	9375	4565	4111	3546	1584	2251
Streptomyces.sp..CB00271	5418	2246	8381	3787	3862	3101	1335	1994
Streptomyces.sp..11.1.2	6624	2596	10228	4729	4805	3459	1502	2557
Streptomyces.sp..CFMR.7	5468	2544	9203	4579	4403	3525	1431	2673
Streptomyces.sp..M56	7325	2450	9204	4203	4340	3308	1357	2317
Streptomyces.sp..WAC00303	4592	1951	7346	3483	3546	2583	1080	1914
Streptomyces.sp..CRSS.Y.16	11544	4001	12212	5881	5743	5116	2638	3589
Streptomyces.sp..PAMC.26508	7773	2624	8365	4425	3713	3460	1878	2690
Streptomyces.sp..M2	9995	3934	12597	5892	6102	5372	2582	3655
Streptomyces.sp..CB04723	4509	1973	7208	3703	3367	2633	1089	1839
Streptomyces.sp..endophyte_N2	5682	2364	7338	3878	3376	2787	1236	1777
Streptomyces.sp..HU2014	6411	2504	9118	4389	4540	3491	1471	2234
Streptomyces.sp..Tu6071	5574	2808	9485	5369	5520	4443	2573	3172
