ID,Reads_B,Reads_A,Reads_diff,Q30_B,Q30_A,LowQual,N_reads,too_short,Duplication,LengthR1,LengthR2,Classified
P3278,196939408,167037470,15.18,0.929151,0.974984,70,808,29901060,0.0499517,124,125,33.96
P3251,201249306,166113534,17.46,0.918964,0.972261,82,1668,35134022,0.0506277,128,128,34.91
P3303,157404140,135042110,14.21,0.933087,0.974845,34,832,22361164,0.0475496,125,125,33.17
P3029,207721966,180409140,13.15,0.939573,0.975411,66,176,27312584,0.0307699,129,130,35.46
P3236,174202604,141555246,18.74,0.913382,0.968311,98,1608,32645652,0.0425105,127,129,32.56
P3244,250161550,204195796,18.37,0.914372,0.969302,74,2250,45963430,0.0443786,129,128,34.98
P3080,77844324,66583792,14.47,0.934325,0.973345,22,74,11260436,0.0247893,130,129,30.24
P3142,239800410,210739914,12.12,0.944396,0.977036,52,160,29060284,0.0386227,129,130,34.02
P3358,70585772,51275034,27.36,0.880322,0.960552,36,672,19310030,0.0274916,127,122,36.43
P3094,158401800,140581048,11.25,0.950055,0.979757,32,80,17820640,0.0328504,125,126,32.94
P3246,204656848,169628490,17.12,0.920451,0.971643,98,1634,35026626,0.0428047,127,128,36.23
P3218,147703942,119577090,19.04,0.911601,0.968862,64,1544,28125244,0.0380766,129,128,33.25
P3130,184733146,161971502,12.32,0.943381,0.977369,44,110,22761490,0.0361629,129,130,33.64
P3127,284050536,251391286,11.5,0.94703,0.978638,58,172,32659020,0.0454337,128,129,35
P3031,178521970,156258648,12.47,0.942295,0.976314,52,136,22263134,0.034563,130,130,42.69
P3367,98535112,78238082,20.6,0.905994,0.965512,38,902,20296090,0.0358141,126,127,35.47
P3257,159842076,132418712,17.16,0.919869,0.970987,78,1368,27421918,0.0457087,127,128,34.88
P3222,171786734,141108832,17.86,0.916906,0.970628,78,1644,30676180,0.0456829,129,128,32.42
P3061,114078750,90344854,20.8,0.910387,0.967334,54,78,23733764,0.0232797,130,127,33.64
P3088,93209580,83377688,10.55,0.95187,0.981052,20,32,9831840,0.0339147,125,126,31.74
P3305,220075514,183108612,16.8,0.9228,0.972404,62,1628,36965212,0.0475534,126,126,38.05
P3217,115793644,92693066,19.95,0.90752,0.965318,42,1174,23099362,0.0355198,127,127,27.01
P3066,115578318,95662836,17.23,0.924325,0.970069,60,98,19915324,0.0239986,130,128,31.19
P3399,104276136,84306636,19.15,0.912251,0.96928,28,912,19968560,0.041764,129,128,32.18
P3254,170910532,140667226,17.7,0.917548,0.970059,84,1714,30241508,0.0421672,128,129,30.37
P3078,137473320,119463944,13.1,0.940596,0.97617,26,94,18009256,0.0284724,130,130,34.52
P3074,193885638,170359170,12.13,0.943269,0.976396,36,192,23526240,0.0343757,129,130,38.44
MD2055,97567616,79729358,18.28,0.931141,0.97437,42,2158,17836058,0.0308539,116,116,29.22
MD2056,122861240,101735746,17.19,0.931326,0.974474,80,2546,21122868,0.0345328,118,118,29.16
MD2065,91602834,75053424,18.07,0.92856,0.973168,46,2120,16547244,0.0329658,118,118,35.12
MD2066,153515396,127019086,17.26,0.932878,0.974398,84,3426,26492800,0.0378564,117,118,29.15
MD2075,102066374,85106438,16.62,0.928276,0.972144,50,2890,16956996,0.0286947,124,124,33.75
MD2076,146716724,120567390,17.82,0.925251,0.968205,124,4004,26145206,0.032279,120,122,31.14
MD2085,109490166,88238588,19.41,0.921911,0.970371,64,3688,21247826,0.0303463,121,121,28.84
MD2086,88017888,70383304,20.04,0.916915,0.966164,66,3082,17631436,0.0230371,121,121,32.4
MD2095,181924866,149586936,17.78,0.925846,0.971983,62,4256,32333612,0.0363402,121,120,28.88
MD2096,144337200,119311532,17.34,0.92743,0.972086,56,4270,25021342,0.035486,122,122,30.05
MD2105,111686448,91240996,18.31,0.924172,0.971737,62,3524,20441866,0.0311491,123,122,31.03
MD2106,92758366,39507414,57.41,0.826895,0.939669,246,306,53250400,0.0130388,127,100,24.89
MD2115,123930754,102548492,17.25,0.928813,0.97284,68,3784,21378410,0.0286245,122,122,30.41
MD2116,122876000,100486266,18.22,0.92429,0.971274,66,3868,22385800,0.0302365,123,122,29.97
MD2125,77107898,62012666,19.58,0.919667,0.965306,52,2518,15092662,0.0252136,120,122,31.77
MD2126,132913068,110220548,17.07,0.928956,0.973714,48,2978,22689494,0.0364339,120,120,30.77
MD2135,64376020,52928380,17.78,0.923874,0.969959,26,2598,11445016,0.0264638,125,125,32.54
MD2136,61546890,49293508,19.91,0.915923,0.96406,30,2588,12250764,0.0197456,124,126,30.42
MP2047,93052092,78298188,15.86,0.933864,0.974731,48,1984,14751872,0.0347291,120,120,27.95
