ID,Category,Treatment
P3278,nearCrop,NA
P3251,nearCrop,NA
P3303,nearCrop,NA
P3029,nearCrop,NA
P3236,nearCrop,NA
P3244,nearCrop,NA
P3080,nearCrop,NA
P3142,nearCrop,NA
P3358,nearCrop,NA
P3094,nearCrop,NA
P3246,uncultivatedLand,NA
P3218,uncultivatedLand,NA
P3130,uncultivatedLand,NA
P3127,uncultivatedLand,NA
P3031,uncultivatedLand,NA
P3367,uncultivatedLand,NA
P3257,uncultivatedLand,NA
P3222,uncultivatedLand,NA
P3061,uncultivatedLand,NA
P3088,uncultivatedLand,NA
P3305,forestDegraded,NA
P3217,forestDegraded,NA
P3066,forestDegraded,NA
P3399,forestDegraded,NA
P3254,forestDegraded,NA
P3078,forestDegraded,NA
P3074,forestDegraded,NA
MP2068,cropHealthy,Healthy
MP2087,cropHealthy,Healthy
MD2095,cropWilted,Wilted
MP2058,cropHealthy,Healthy
MP2099,cropHealthy,Healthy
MP2098,cropHealthy,Healthy
MP2069,cropHealthy,Healthy
MP2067,cropHealthy,Healthy
MP2089,cropHealthy,Healthy
MP2050,cropHealthy,Healthy
MD2066,cropWilted,Wilted
MP2057,cropHealthy,Healthy
MD2076,cropWilted,Wilted
MD2096,cropWilted,Wilted
MP2059,cropHealthy,Healthy
MP2070,cropHealthy,Healthy
MD2126,cropWilted,Wilted
MP2118,cropHealthy,Healthy
MP2100,cropHealthy,Healthy
MP2117,cropHealthy,Healthy
MP2049,cropHealthy,Healthy
MD2115,cropWilted,Wilted
MD2056,cropWilted,Wilted
MD2116,cropWilted,Wilted
MP2060,cropHealthy,Healthy
MP2048,cropHealthy,Healthy
MP2097,cropHealthy,Healthy
MD2105,cropWilted,Wilted
MP2090,cropHealthy,Healthy
MD2085,cropWilted,Wilted
MP2107,cropHealthy,Healthy
MD2075,cropWilted,Wilted
MP2120,cropHealthy,Healthy
MP2119,cropHealthy,Healthy
MD2055,cropWilted,Wilted
MP2077,cropHealthy,Healthy
MP2047,cropHealthy,Healthy
MD2065,cropWilted,Wilted
MD2086,cropWilted,Wilted
MP2129,cropHealthy,Healthy
MP2128,cropHealthy,Healthy
MP2078,cropHealthy,Healthy
MD2125,cropWilted,Wilted
MP2139,cropHealthy,Healthy
MP2138,cropHealthy,Healthy
MP2127,cropHealthy,Healthy
MP2108,cropHealthy,Healthy
MP2110,cropHealthy,Healthy
MD2135,cropWilted,Wilted
MP2140,cropHealthy,Healthy
MP2130,cropHealthy,Healthy
MD2136,cropWilted,Wilted
MD2106,cropWilted,Wilted
MP2080,cropHealthy,Healthy
MP2137,cropHealthy,Healthy
MP2109,cropHealthy,Healthy
MP2079,cropHealthy,Healthy
MP2088,cropHealthy,Healthy
