name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinobacteria	201174	P	5794674	251612	6046286	0.47538
Firmicutes	1239	P	203222	106424	309646	0.02435
Deinococcus-Thermus	1297	P	35314	1364	36678	0.00288
Cyanobacteria	1117	P	34482	825	35307	0.00278
Chloroflexi	200795	P	27384	420	27804	0.00219
Armatimonadetes	67819	P	2678	15	2693	0.00021
Proteobacteria	1224	P	5251162	332661	5583823	0.43902
Planctomycetes	203682	P	253863	3204	257067	0.02021
Verrucomicrobia	74201	P	33002	924	33926	0.00267
Kiritimatiellaeota	134625	P	1210	867	2077	0.00016
Bacteroidetes	976	P	89663	1784	91447	0.00719
Chlorobi	1090	P	3598	130	3728	0.00029
Gemmatimonadetes	142182	P	65521	3674	69195	0.00544
Acidobacteria	57723	P	95728	2249	97977	0.00770
Nitrospirae	40117	P	9376	131	9507	0.00075
Spirochaetes	203691	P	3726	139	3865	0.00030
Synergistetes	508458	P	3032	240	3272	0.00026
Ascomycota	4890	P	91430	788	92218	0.00725
Basidiomycota	5204	P	4824	138	4962	0.00039
Oomycota	4762	P	6508	935	7443	0.00059
