name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces sp. 3214.6	1882757	S	16703	6235	22938	0.00196
Streptomyces sp. CdTB01	1725411	S	14935	5384	20319	0.00174
Streptomyces sp. SN-593	659352	S	13365	3698	17063	0.00146
Streptomyces sp. BH-MK-02	2880933	S	9260	2474	11734	0.00100
Streptomyces sp. So13.3	2136173	S	9117	2040	11157	0.00095
Streptomyces sp. A2-16	2781734	S	7981	3176	11157	0.00095
Streptomyces sp. CB01881	2078691	S	7623	1627	9250	0.00079
Streptomyces sp. SCSIO 64649	2878388	S	7133	1482	8615	0.00074
Streptomyces sp. P3	2135430	S	7094	2262	9356	0.00080
Streptomyces sp. ZYC-3	2797636	S	6969	1762	8731	0.00075
Streptomyces sp. SAT1	1849967	S	6499	2976	9475	0.00081
Streptomyces sp. ST1015	1848900	S	6171	1616	7787	0.00067
Streptomyces sp. NA02950	2742137	S	6043	1470	7513	0.00064
Streptomyces sp. NEAU-sy36	2751189	S	5968	2781	8749	0.00075
Streptomyces sp. SYP-A7193	2662065	S	5869	4730	10599	0.00091
Streptomyces sp. NHF165	2175864	S	5852	1200	7052	0.00060
Streptomyces sp. DSM 40868	2721173	S	5768	2658	8426	0.00072
Streptomyces sp. Z423-1	2730915	S	5638	2075	7713	0.00066
Streptomyces sp. GQFP	2907545	S	5628	1218	6846	0.00059
Streptomyces sp. MA3_2.13	2867410	S	5537	824	6361	0.00054
Streptomyces sp. LRE541	2931983	S	5487	1604	7091	0.00061
Streptomyces sp. WAC 01438	2203204	S	5432	2302	7734	0.00066
Streptomyces sp. Go 40/10	2825844	S	5413	3087	8500	0.00073
Streptomyces sp. S4.7	2705439	S	5360	2220	7580	0.00065
Streptomyces sp. SCUT-3	2684469	S	5206	2365	7571	0.00065
Streptomyces sp. RPA4-2	2721244	S	5125	1923	7048	0.00060
Streptomyces sp. 3025	2923272	S	4765	1010	5775	0.00049
Streptomyces sp. CMB-StM0423	2059884	S	4725	3318	8043	0.00069
Streptomyces sp. GMY02	1333528	S	4588	990	5578	0.00048
Streptomyces sp. MBT27	1488356	S	4557	1642	6199	0.00053
Streptomyces sp. JB150	2714844	S	4545	1877	6422	0.00055
Streptomyces sp. RTd22	1841249	S	4545	2790	7335	0.00063
Streptomyces sp. YIM 121038	2136401	S	4476	1649	6125	0.00052
Streptomyces sp. 891-h	2720714	S	4422	973	5395	0.00046
Streptomyces sp. HM190	2695266	S	4337	1734	6071	0.00052
Streptomyces sp. AgN23	1188315	S	4294	4781	9075	0.00078
Streptomyces sp. NA04227	2742136	S	4271	1187	5458	0.00047
Streptomyces sp. QHH-9511	2684468	S	4265	1433	5698	0.00049
Streptomyces sp. GS7	2692234	S	4163	1379	5542	0.00047
Streptomyces sp. Rer75	2750011	S	4146	2805	6951	0.00059
Streptomyces sp. MG62	2838015	S	4142	1983	6125	0.00052
Streptomyces sp. Go-475	2072505	S	4109	2417	6526	0.00056
Streptomyces sp. BJ20	2930049	S	4086	2070	6156	0.00053
Streptomyces sp. MST-110588	2833628	S	4057	1197	5254	0.00045
Streptomyces sp. C8S0	2585716	S	3977	1356	5333	0.00046
Streptomyces sp. W1SF4	2305220	S	3972	1732	5704	0.00049
Streptomyces sp. AMCC400023	2056258	S	3954	2151	6105	0.00052
Streptomyces sp. MG28	2865673	S	3824	1814	5638	0.00048
Streptomyces sp. SirexAA-E	862751	S	3709	1390	5099	0.00044
Streptomyces sp. jing01	2726118	S	3704	2605	6309	0.00054
Streptomyces sp. SM18	1736046	S	3696	1287	4983	0.00043
Streptomyces sp. BHT-5-2	2866715	S	3496	1354	4850	0.00042
Streptomyces sp. MOE7	1961713	S	3443	5101	8544	0.00073
Streptomyces sp. CB09001	2083284	S	3392	2887	6279	0.00054
Streptomyces sp. 135	2838850	S	3352	1380	4732	0.00040
Streptomyces sp. S1D4-11	2721246	S	3207	3242	6449	0.00055
Streptomyces sp. HSG2	2797167	S	3082	823	3905	0.00033
Streptomyces sp. HP-A2021	2927875	S	3056	2178	5234	0.00045
Streptomyces sp. WY228	2855836	S	3045	2018	5063	0.00043
Streptomyces sp. Tu 2975	2676871	S	2920	1137	4057	0.00035
Streptomyces sp. WAC 01529	2203205	S	2900	1290	4190	0.00036
Streptomyces sp. fd1-xmd	1812480	S	2834	1639	4473	0.00038
Streptomyces sp. INR7	2607753	S	2750	1893	4643	0.00040
