name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Mycobacteriaceae	1762	F	903785	63112	966897	0.08536
Nocardiaceae	85025	F	185121	21984	207105	0.01828
Corynebacteriaceae	1653	F	32697	5373	38070	0.00336
Gordoniaceae	85026	F	27879	3470	31349	0.00277
Tsukamurellaceae	85028	F	8291	1287	9578	0.00085
Dietziaceae	85029	F	4689	667	5356	0.00047
Segniliparaceae	316606	F	3263	3224	6487	0.00057
Streptomycetaceae	2062	F	1016074	161116	1177190	0.10392
Microbacteriaceae	85023	F	323184	34661	357845	0.03159
Micrococcaceae	1268	F	194298	29740	224038	0.01978
Cellulomonadaceae	85016	F	39388	9761	49149	0.00434
Intrasporangiaceae	85021	F	39177	7402	46579	0.00411
Promicromonosporaceae	85017	F	23140	7363	30503	0.00269
Ornithinimicrobiaceae	2805590	F	16011	2465	18476	0.00163
Dermabacteraceae	85020	F	11599	1612	13211	0.00117
Brevibacteriaceae	85019	F	11368	1704	13072	0.00115
Dermacoccaceae	145357	F	8525	1462	9987	0.00088
Bogoriellaceae	145358	F	7945	1790	9735	0.00086
Ruaniaceae	1331736	F	6689	603	7292	0.00064
Beutenbergiaceae	125316	F	4628	6620	11248	0.00099
Sanguibacteraceae	145360	F	3249	758	4007	0.00035
Dermatophilaceae	85018	F	1435	98	1533	0.00014
Kytococcaceae	2805426	F	1429	397	1826	0.00016
Pseudonocardiaceae	2070	F	335400	36193	371593	0.03280
Micromonosporaceae	28056	F	259444	26386	285830	0.02523
Nocardioidaceae	85015	F	184431	27592	212023	0.01872
Propionibacteriaceae	31957	F	33945	4607	38552	0.00340
Kribbellaceae	2726069	F	20406	2392	22798	0.00201
Actinopolymorphaceae	2805400	F	4853	422	5275	0.00047
Thermomonosporaceae	2012	F	116125	17294	133419	0.01178
Streptosporangiaceae	2004	F	89899	11128	101027	0.00892
Nocardiopsaceae	83676	F	19138	2364	21502	0.00190
Geodermatophilaceae	85030	F	42862	7885	50747	0.00448
Actinomycetaceae	2049	F	18351	1892	20243	0.00179
Frankiaceae	74712	F	18175	1335	19510	0.00172
Catenulisporaceae	414877	F	11375	1215	12590	0.00111
Jiangellaceae	1217100	F	9242	1200	10442	0.00092
Nakamurellaceae	85031	F	9204	949	10153	0.00090
Bifidobacteriaceae	31953	F	7175	1381	8556	0.00076
Jatrophihabitantaceae	2805416	F	5089	318	5407	0.00048
Glycomycetaceae	85034	F	2571	150	2721	0.00024
Kineosporiaceae	83778	F	2266	456	2722	0.00024
Sporichthyaceae	85033	F	1469	539	2008	0.00018
Actinopolysporaceae	622451	F	1249	92	1341	0.00012
Conexibacteraceae	320583	F	66258	6749	73007	0.00645
Miltoncostaeaceae	2843199	F	15671	1418	17089	0.00151
Baekduiaceae	2600303	F	25946	3089	29035	0.00256
Rubrobacteraceae	84997	F	9810	264	10074	0.00089
Iamiaceae	633392	F	27727	2523	30250	0.00267
Ilumatobacteraceae	2448023	F	2455	109	2564	0.00023
Eggerthellaceae	1643826	F	5958	630	6588	0.00058
Atopobiaceae	1643824	F	2869	413	3282	0.00029
Coriobacteriaceae	84107	F	1334	206	1540	0.00014
Egibacteraceae	1747769	F	2379	100	2479	0.00022
Euzebyaceae	908622	F	2163	126	2289	0.00020
Egicoccaceae	1755824	F	2085	228	2313	0.00020
Paenibacillaceae	186822	F	1164618	111622	1276240	0.11267
Bacillaceae	186817	F	97048	56914	153962	0.01359
Planococcaceae	186818	F	3285	487	3772	0.00033
Alicyclobacillaceae	186823	F	3118	245	3363	0.00030
Staphylococcaceae	90964	F	1752	1777	3529	0.00031
Thermoactinomycetaceae	186824	F	1057	984	2041	0.00018
Lactobacillaceae	33958	F	2661	516	3177	0.00028
Streptococcaceae	1300	F	1464	614	2078	0.00018
Oscillospiraceae	216572	F	4451	803	5254	0.00046
Clostridiaceae	31979	F	3983	394	4377	0.00039
Clostridiales Family XVII. Incertae Sedis	539000	F	3002	425	3427	0.00030
Lachnospiraceae	186803	F	2198	306	2504	0.00022
Symbiobacteriaceae	543349	F	1231	55	1286	0.00011
Thermoanaerobacteraceae	186814	F	1613	205	1818	0.00016
Sporomusaceae	1843490	F	6101	302	6403	0.00057
Selenomonadaceae	1843491	F	1633	38	1671	0.00015
Limnochordaceae	1676650	F	1201	22	1223	0.00011
Deinococcaceae	183710	F	14866	1098	15964	0.00141
Thermaceae	188786	F	5176	189	5365	0.00047
Trueperaceae	332247	F	1042	36	1078	0.00010
Synechococcaceae	1890426	F	6998	720	7718	0.00068
Prochlorococcaceae	2881426	F	1758	320	2078	0.00018
Nostocaceae	1162	F	1656	728	2384	0.00021
Gloeobacteraceae	1890422	F	2078	40	2118	0.00019
Leptolyngbyaceae	1890438	F	1231	110	1341	0.00012
Sphaerobacteraceae	85002	F	3439	238	3677	0.00032
Roseiflexaceae	1508635	F	1864	112	1976	0.00017
Ktedonosporobacteraceae	2692416	F	2441	94	2535	0.00022
Tepidiformaceae	2682227	F	1885	54	1939	0.00017
Ardenticatenaceae	1382930	F	1775	23	1798	0.00016
Fimbriimonadaceae	1663426	F	1123	3	1126	0.00010
Bradyrhizobiaceae	41294	F	713413	49226	762639	0.06733
Phyllobacteriaceae	69277	F	226052	28485	254537	0.02247
Rhizobiaceae	82115	F	150065	35640	185705	0.01639
Xanthobacteraceae	335928	F	135736	134506	270242	0.02386
Methylobacteriaceae	119045	F	113763	11466	125229	0.01106
Devosiaceae	2831106	F	86426	5712	92138	0.00813
Hyphomicrobiaceae	45401	F	73957	4428	78385	0.00692
Boseaceae	2831100	F	41921	4858	46779	0.00413
Aurantimonadaceae	255475	F	19886	2877	22763	0.00201
Methylocystaceae	31993	F	14459	857	15316	0.00135
Kaistiaceae	2831111	F	12219	2148	14367	0.00127
Stappiaceae	2821832	F	11568	1965	13533	0.00119
Phreatobacteraceae	2843305	F	11522	1390	12912	0.00114
Beijerinckiaceae	45404	F	7866	397	8263	0.00073
Chelatococcaceae	2036754	F	6708	1079	7787	0.00069
Parvibaculaceae	2813035	F	6588	1256	7844	0.00069
Blastochloridaceae	2831090	F	6240	1057	7297	0.00064
Brucellaceae	118882	F	5111	1648	6759	0.00060
Amorphaceae	2685818	F	3179	245	3424	0.00030
Pleomorphomonadaceae	2843308	F	2613	336	2949	0.00026
Lichenihabitantaceae	2723775	F	2448	77	2525	0.00022
Breoghaniaceae	2831104	F	2201	211	2412	0.00021
Sphingomonadaceae	41297	F	215159	22719	237878	0.02100
Erythrobacteraceae	335929	F	30635	4258	34893	0.00308
Sphingosinicellaceae	2820280	F	7671	425	8096	0.00071
Azospirillaceae	2829815	F	67443	5638	73081	0.00645
Acetobacteraceae	433	F	55731	4583	60314	0.00532
Rhodospirillaceae	41295	F	28282	81239	109521	0.00967
Stellaceae	2844601	F	4728	256	4984	0.00044
Elioraeaceae	2690195	F	2183	77	2260	0.00020
Thalassospiraceae	2844866	F	1652	81	1733	0.00015
Rhodobacteraceae	31989	F	54097	6017	60114	0.00531
Roseobacteraceae	2854170	F	36794	3570	40364	0.00356
Caulobacteraceae	76892	F	67108	4864	71972	0.00635
Maricaulaceae	2800061	F	2832	220	3052	0.00027
Hyphomonadaceae	69657	F	2745	83	2828	0.00025
Burkholderiaceae	119060	F	238771	63626	302397	0.02670
Comamonadaceae	80864	F	178546	44917	223463	0.01973
Oxalobacteraceae	75682	F	75166	7339	82505	0.00728
Alcaligenaceae	506	F	57290	63848	121138	0.01069
Zoogloeaceae	2008794	F	14913	4786	19699	0.00174
Rhodocyclaceae	75787	F	10719	2709	13428	0.00119
Azonexaceae	2008795	F	4243	363	4606	0.00041
Usitatibacteraceae	2803844	F	9007	550	9557	0.00084
Nitrosomonadaceae	206379	F	6837	215	7052	0.00062
Sterolibacteriaceae	2008793	F	4319	966	5285	0.00047
Gallionellaceae	90627	F	2525	233	2758	0.00024
Thiobacillaceae	2008790	F	2296	545	2841	0.00025
Sulfuricellaceae	2772226	F	2153	218	2371	0.00021
Methylophilaceae	32011	F	1030	74	1104	0.00010
Chromobacteriaceae	1499392	F	15436	2305	17741	0.00157
Neisseriaceae	481	F	6562	926	7488	0.00066
Xanthomonadaceae	32033	F	128072	30312	158384	0.01398
Rhodanobacteraceae	1775411	F	83711	9072	92783	0.00819
Pseudomonadaceae	135621	F	147818	39599	187417	0.01655
Marinobacteraceae	2887365	F	3393	215	3608	0.00032
Enterobacteriaceae	543	F	23855	61713	85568	0.00755
Yersiniaceae	1903411	F	10815	2065	12880	0.00114
Erwiniaceae	1903409	F	7526	927	8453	0.00075
Pectobacteriaceae	1903410	F	4654	590	5244	0.00046
Morganellaceae	1903414	F	1483	643	2126	0.00019
Hafniaceae	1903412	F	1328	406	1734	0.00015
Halomonadaceae	28256	F	20910	1950	22860	0.00202
Alcanivoracaceae	224372	F	2234	617	2851	0.00025
Oceanospirillaceae	135620	F	1748	135	1883	0.00017
Ectothiorhodospiraceae	72276	F	11092	804	11896	0.00105
Chromatiaceae	1046	F	8893	498	9391	0.00083
Wenzhouxiangellaceae	1676141	F	1364	1125	2489	0.00022
Aeromonadaceae	84642	F	10336	5301	15637	0.00138
Methylococcaceae	403	F	9273	297	9570	0.00084
Shewanellaceae	267890	F	3455	409	3864	0.00034
Alteromonadaceae	72275	F	1594	255	1849	0.00016
Pseudoalteromonadaceae	267888	F	1195	108	1303	0.00012
Microbulbiferaceae	1706373	F	2791	128	2919	0.00026
Cellvibrionaceae	1706371	F	1340	34	1374	0.00012
Halieaceae	1706372	F	1299	96	1395	0.00012
Sinobacteraceae	568386	F	3471	349	3820	0.00034
Steroidobacteraceae	2689614	F	1885	389	2274	0.00020
Vibrionaceae	641	F	4950	1022	5972	0.00053
Acidiferrobacteraceae	1692041	F	4009	133	4142	0.00037
Moraxellaceae	468	F	2931	802	3733	0.00033
Legionellaceae	444	F	1607	58	1665	0.00015
Immundisolibacteraceae	1934946	F	1286	186	1472	0.00013
Pasteurellaceae	712	F	1141	418	1559	0.00014
Polyangiaceae	49	F	117522	6970	124492	0.01099
Sandaracinaceae	1055686	F	23021	928	23949	0.00211
Labilitrichaceae	1524216	F	21182	775	21957	0.00194
Myxococcaceae	31	F	51414	10539	61953	0.00547
Archangiaceae	39	F	49156	2662	51818	0.00457
Anaeromyxobacteraceae	1524215	F	26604	1462	28066	0.00248
Vulgatibacteraceae	1524213	F	3856	225	4081	0.00036
Kofleriaceae	224464	F	7122	315	7437	0.00066
Geobacteraceae	213422	F	12694	1117	13811	0.00122
Desulfuromonadaceae	213421	F	3828	517	4345	0.00038
Desulfovibrionaceae	194924	F	12192	1109	13301	0.00117
Desulfobacteraceae	213119	F	2929	269	3198	0.00028
Desulfobulbaceae	213121	F	1223	165	1388	0.00012
