name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces	1883	G	1462241	315307	1777548	0.12771
Kitasatospora	2063	G	25527	7719	33246	0.00239
Streptacidiphilus	228398	G	15498	3891	19389	0.00139
Yinghuangia	2805681	G	14914	2091	17005	0.00122
Microbacterium	33882	G	170994	24571	195565	0.01405
Curtobacterium	2034	G	86374	16629	103003	0.00740
Agromyces	33877	G	42519	8484	51003	0.00366
Rathayibacter	33886	G	37400	7321	44721	0.00321
Leifsonia	110932	G	28043	10878	38921	0.00280
Agrococcus	46352	G	20005	4484	24489	0.00176
Clavibacter	1573	G	19936	11528	31464	0.00226
Leucobacter	55968	G	18935	3062	21997	0.00158
Plantibacter	190323	G	12664	1718	14382	0.00103
Protaetiibacter	2680004	G	9080	2195	11275	0.00081
Salinibacterium	235888	G	7412	986	8398	0.00060
Cryobacterium	69578	G	7128	852	7980	0.00057
Herbiconiux	881616	G	6473	1070	7543	0.00054
Frondihabitans	447237	G	5904	766	6670	0.00048
Microterricola	518733	G	5112	1044	6156	0.00044
Microcella	337004	G	4478	1302	5780	0.00042
Cnuibacter	1759331	G	4095	730	4825	0.00035
Frigoribacterium	96492	G	3577	866	4443	0.00032
Gryllotalpicola	1195526	G	3423	553	3976	0.00029
Mycetocola	76634	G	3217	349	3566	0.00026
Agreia	110934	G	3116	314	3430	0.00025
Subtercola	120212	G	3113	218	3331	0.00024
Humibacter	427753	G	2729	501	3230	0.00023
Amnibacterium	1029631	G	2706	539	3245	0.00023
Chryseoglobus	1331730	G	2527	429	2956	0.00021
Marisediminicola	1230698	G	2144	221	2365	0.00017
Gulosibacter	256818	G	1858	447	2305	0.00017
Diaminobutyricimonas	1433997	G	1773	276	2049	0.00015
Glaciihabitans	1649454	G	1641	108	1749	0.00013
Arthrobacter	1663	G	145202	32496	177698	0.01277
Pseudarthrobacter	1742993	G	27813	9114	36927	0.00265
Kocuria	57493	G	16526	4241	20767	0.00149
Paenarthrobacter	1742992	G	10783	5097	15880	0.00114
Sinomonas	596707	G	8959	1981	10940	0.00079
Micrococcus	1269	G	7894	4946	12840	0.00092
Glutamicibacter	1742989	G	4680	1477	6157	0.00044
Rothia	32207	G	3331	1225	4556	0.00033
Citricoccus	169133	G	2645	588	3233	0.00023
Janibacter	53457	G	18269	4896	23165	0.00166
Pedococcus	2805645	G	17197	4950	22147	0.00159
Phycicoccus	367298	G	16590	4456	21046	0.00151
Intrasporangium	53357	G	14166	3372	17538	0.00126
Tetrasphaera	99479	G	12059	3073	15132	0.00109
Arsenicicoccus	267408	G	5166	1813	6979	0.00050
Cellulomonas	1707	G	64772	20056	84828	0.00609
Actinotalea	458839	G	4302	1408	5710	0.00041
Oerskovia	162491	G	3455	1003	4458	0.00032
Pseudactinotalea	1926259	G	2882	378	3260	0.00023
Paraoerskovia	665568	G	2349	556	2905	0.00021
Cellulosimicrobium	157920	G	18645	6915	25560	0.00184
Xylanimonas	186188	G	10514	3092	13606	0.00098
Isoptericola	254250	G	8049	3281	11330	0.00081
Ornithinimicrobium	125287	G	18042	3480	21522	0.00155
Serinicoccus	265976	G	13406	3380	16786	0.00121
Brachybacterium	43668	G	21388	3194	24582	0.00177
Dermabacter	36739	G	1413	711	2124	0.00015
Brevibacterium	1696	G	20857	3736	24593	0.00177
Dermacoccus	57495	G	5899	1848	7747	0.00056
Luteipulveratus	745364	G	4804	616	5420	0.00039
Allobranchiibius	2040262	G	3824	768	4592	0.00033
Yimella	908935	G	2246	413	2659	0.00019
Georgenia	154116	G	15875	4177	20052	0.00144
Ruania	626119	G	13166	1424	14590	0.00105
Pengzhenrongella	2888818	G	4947	1243	6190	0.00044
Luteimicrobium	754249	G	4546	1256	5802	0.00042
Beutenbergia	84756	G	5270	780	6050	0.00043
Miniimonas	947525	G	3785	1749	5534	0.00040
Sanguibacter	60919	G	6547	1778	8325	0.00060
Gephyromycinifex	2885697	G	1445	157	1602	0.00012
Austwickia	1184606	G	1023	74	1097	0.00008
Kytococcus	57499	G	2785	1932	4717	0.00034
Nocardioides	1839	G	620003	123515	743518	0.05342
Aeromicrobium	2040	G	34558	6157	40715	0.00293
Marmoricola	86795	G	13105	4558	17663	0.00127
Friedmanniella	53387	G	9045	1617	10662	0.00077
Pimelobacter	2044	G	7852	2715	10567	0.00076
Mumia	1546255	G	5082	815	5897	0.00042
Micropruina	116071	G	2416	314	2730	0.00020
Microlunatus	29404	G	27505	3139	30644	0.00220
Tessaracoccus	72763	G	16298	5164	21462	0.00154
Brevilactibacter	2717325	G	6417	2289	8706	0.00063
Acidipropionibacterium	1912215	G	5514	1903	7417	0.00053
Propionibacterium	1743	G	5276	1564	6840	0.00049
Auraticoccus	1278221	G	4539	737	5276	0.00038
Raineyella	1911549	G	2573	312	2885	0.00021
Cutibacterium	1912216	G	2392	510	2902	0.00021
Arachnia	2801844	G	2306	157	2463	0.00018
Kribbella	182639	G	36848	4895	41743	0.00300
Actinopolymorpha	117156	G	14811	1485	16296	0.00117
Mycobacterium	1763	G	160666	39056	199722	0.01435
Mycolicibacterium	1866885	G	151507	25081	176588	0.01269
Mycolicibacter	1073531	G	10135	3742	13877	0.00100
Mycobacteroides	670516	G	8913	2199	11112	0.00080
Mycolicibacillus	2126281	G	2093	514	2607	0.00019
Rhodococcus	1827	G	105966	23483	129449	0.00930
Nocardia	1817	G	94648	15070	109718	0.00788
Corynebacterium	1716	G	53393	11821	65214	0.00469
Gordonia	2053	G	46662	9297	55959	0.00402
Skermania	59613	G	2164	223	2387	0.00017
