name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	3775175	230258	4005433	0.25724
Gammaproteobacteria	1236	C	1442059	324238	1766297	0.11344
Betaproteobacteria	28216	C	1080510	164913	1245423	0.07998
Deltaproteobacteria	28221	C	444578	31638	476216	0.03058
Epsilonproteobacteria	29547	C	4003	174	4177	0.00027
Acidithiobacillia	1807140	C	2048	136	2184	0.00014
Oligoflexia	1553900	C	1118	12	1130	0.00007
Actinomycetia	1760	C	6265201	282121	6547322	0.42048
Thermoleophilia	1497346	C	188590	21998	210588	0.01352
Rubrobacteria	84995	C	79680	9304	88984	0.00571
Acidimicrobiia	84992	C	49493	4882	54375	0.00349
Coriobacteriia	84998	C	21092	2954	24046	0.00154
Nitriliruptoria	908620	C	14263	1124	15387	0.00099
Bacilli	91061	C	127688	54040	181728	0.01167
Clostridia	186801	C	36122	5511	41633	0.00267
Negativicutes	909932	C	5552	509	6061	0.00039
Limnochordia	1676648	C	2553	84	2637	0.00017
Deinococci	188787	C	41915	26935	68850	0.00442
Gloeobacteria	307596	C	4022	8969	12991	0.00083
Thermomicrobia	189775	C	8774	318	9092	0.00058
Chloroflexia	32061	C	5610	191	5801	0.00037
Tepidiformia	2682225	C	4394	157	4551	0.00029
Ardenticatenia	1382928	C	3650	62	3712	0.00024
Ktedonobacteria	388447	C	3640	104	3744	0.00024
Caldilineae	475962	C	1708	104	1812	0.00012
Anaerolineae	292625	C	1345	25	1370	0.00009
Dehalococcoidia	301297	C	1121	918	2039	0.00013
Fimbriimonadia	1663419	C	2256	10	2266	0.00015
Planctomycetia	203683	C	287482	4480	291962	0.01875
Phycisphaerae	666505	C	13978	499	14477	0.00093
Opitutae	414999	C	19021	753	19774	0.00127
Verrucomicrobiae	203494	C	11049	1903	12952	0.00083
Cytophagia	768503	C	31990	597	32587	0.00209
Chitinophagia	1853228	C	21247	191	21438	0.00138
Bacteroidia	200643	C	12327	1939	14266	0.00092
Flavobacteriia	117743	C	11140	10616	21756	0.00140
Sphingobacteriia	117747	C	7756	444	8200	0.00053
Chlorobia	191410	C	3887	423	4310	0.00028
Gemmatimonadetes	219685	C	64999	3192	68191	0.00438
Acidobacteriia	204432	C	60352	812	61164	0.00393
Vicinamibacteria	1813735	C	37724	1985	39709	0.00255
Blastocatellia	1562566	C	3331	117	3448	0.00022
Holophagae	533205	C	2102	35	2137	0.00014
Nitrospira	203693	C	7860	98	7958	0.00051
Spirochaetia	203692	C	4152	217	4369	0.00028
Synergistia	649775	C	3477	967	4444	0.00029
Sordariomycetes	147550	C	79353	1624	80977	0.00520
Dothideomycetes	147541	C	34856	6976	41832	0.00269
Eurotiomycetes	147545	C	15514	735	16249	0.00104
Saccharomycetes	4891	C	2821	228	3049	0.00020
Ustilaginomycetes	5257	C	4113	86	4199	0.00027
Agaricomycetes	155619	C	1617	25	1642	0.00011
