name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetales	85011	O	999159	208478	1207637	0.16168
Micrococcales	85006	O	489505	67575	557080	0.07458
Propionibacteriales	85009	O	401683	67665	469348	0.06284
Corynebacteriales	85007	O	346862	42555	389417	0.05213
Pseudonocardiales	85010	O	291429	40014	331443	0.04437
Micromonosporales	85008	O	229501	29691	259192	0.03470
Streptosporangiales	85012	O	201332	29682	231014	0.03093
Geodermatophilales	1643682	O	63462	14606	78068	0.01045
Frankiales	85013	O	17941	1662	19603	0.00262
Actinomycetales	2037	O	17012	2271	19283	0.00258
Jiangellales	1217098	O	11031	1759	12790	0.00171
Nakamurellales	1643684	O	7709	963	8672	0.00116
Bifidobacteriales	85004	O	6667	1996	8663	0.00116
Catenulisporales	414714	O	5056	672	5728	0.00077
Jatrophihabitantales	2805415	O	3935	316	4251	0.00057
Glycomycetales	85014	O	2522	187	2709	0.00036
Kineosporiales	622452	O	2176	549	2725	0.00036
Sporichthyales	2495578	O	1373	588	1961	0.00026
Actinopolysporales	622450	O	1077	101	1178	0.00016
Solirubrobacterales	588673	O	78824	11143	89967	0.01204
Miltoncostaeales	2843198	O	15638	1941	17579	0.00235
Rubrobacterales	84996	O	43372	5385	48757	0.00653
Acidimicrobiales	84993	O	27247	2818	30065	0.00403
Eggerthellales	1643822	O	5667	876	6543	0.00088
Coriobacteriales	84999	O	4166	794	4960	0.00066
Egibacterales	1747768	O	2539	140	2679	0.00036
Egicoccales	1755823	O	2303	330	2633	0.00035
Euzebyales	908621	O	2190	167	2357	0.00032
Bacillales	1385	O	60424	33129	93553	0.01252
Lactobacillales	186826	O	2978	1372	4350	0.00058
Eubacteriales	186802	O	14566	2789	17355	0.00232
Thermoanaerobacterales	68295	O	1738	271	2009	0.00027
Selenomonadales	909929	O	1941	133	2074	0.00028
Limnochordales	1676649	O	1166	43	1209	0.00016
Deinococcales	118964	O	13407	1355	14762	0.00198
Thermales	68933	O	5258	300	5558	0.00074
Trueperales	2762275	O	1016	51	1067	0.00014
Synechococcales	1890424	O	8413	587	9000	0.00120
Nostocales	1161	O	2724	207	2931	0.00039
Pseudanabaenales	2881377	O	1938	116	2054	0.00028
Gloeobacterales	307595	O	1899	41	1940	0.00026
Oscillatoriales	1150	O	1155	117	1272	0.00017
Sphaerobacterales	85001	O	2992	196	3188	0.00043
Chloroflexales	32064	O	2631	108	2739	0.00037
Tepidiformales	2682226	O	2122	89	2211	0.00030
Ardenticatenales	1382929	O	1629	32	1661	0.00022
Ktedonobacterales	388448	O	1171	41	1212	0.00016
Fimbriimonadales	1663425	O	1038	5	1043	0.00014
Hyphomicrobiales	356	O	930020	50010	980030	0.13121
Sphingomonadales	204457	O	249397	28357	277754	0.03719
Rhodospirillales	204441	O	107123	99059	206182	0.02760
Rhodobacterales	204455	O	75482	5473	80955	0.01084
Caulobacterales	204458	O	49433	4601	54034	0.00723
Maricaulales	2800059	O	2381	234	2615	0.00035
Hyphomonadales	2800060	O	2214	83	2297	0.00031
Burkholderiales	80840	O	498295	129250	627545	0.08402
Rhodocyclales	206389	O	36254	10946	47200	0.00632
Nitrosomonadales	32003	O	33505	3972	37477	0.00502
Neisseriales	206351	O	21690	5572	27262	0.00365
Xanthomonadales	135614	O	144421	24757	169178	0.02265
Pseudomonadales	72274	O	129008	39298	168306	0.02253
Enterobacterales	91347	O	41973	59567	101540	0.01359
Chromatiales	135613	O	25168	2022	27190	0.00364
Oceanospirillales	135619	O	22899	3454	26353	0.00353
Aeromonadales	135624	O	8949	7358	16307	0.00218
Methylococcales	135618	O	8650	417	9067	0.00121
Nevskiales	1775403	O	6105	1243	7348	0.00098
Alteromonadales	135622	O	5106	710	5816	0.00078
Acidiferrobacterales	1692040	O	5075	261	5336	0.00071
Cellvibrionales	1706369	O	4960	281	5241	0.00070
Vibrionales	135623	O	3027	533	3560	0.00048
Moraxellales	2887326	O	1574	551	2125	0.00028
Immundisolibacterales	1934945	O	1451	1606	3057	0.00041
Thiotrichales	72273	O	1168	249	1417	0.00019
Myxococcales	29	O	182802	12495	195297	0.02615
Desulfuromonadales	69541	O	16975	1609	18584	0.00249
Desulfovibrionales	213115	O	12183	1183	13366	0.00179
Desulfobacterales	213118	O	4412	487	4899	0.00066
Bradymonadales	1779134	O	3543	112	3655	0.00049
Campylobacterales	213849	O	1735	99	1834	0.00025
Gemmatales	2691355	O	44266	1511	45777	0.00613
Isosphaerales	2691356	O	33735	3433	37168	0.00498
Pirellulales	2691354	O	25237	600	25837	0.00346
Planctomycetales	112	O	20553	2204	22757	0.00305
Tepidisphaerales	1771349	O	4171	116	4287	0.00057
Phycisphaerales	666506	O	2624	171	2795	0.00037
Opitutales	415000	O	12077	579	12656	0.00169
