name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetales	85011	O	2421607	441012	2862619	0.14945
Micrococcales	85006	O	1457213	178445	1635658	0.08539
Corynebacteriales	85007	O	1041887	110419	1152306	0.06016
Propionibacteriales	85009	O	985635	156328	1141963	0.05962
Micromonosporales	85008	O	761088	90616	851704	0.04447
Pseudonocardiales	85010	O	666403	82585	748988	0.03910
Streptosporangiales	85012	O	418989	56332	475321	0.02482
Geodermatophilales	1643682	O	139329	29216	168545	0.00880
Frankiales	85013	O	50866	4220	55086	0.00288
Actinomycetales	2037	O	48614	5901	54515	0.00285
Jiangellales	1217098	O	32216	4747	36963	0.00193
Catenulisporales	414714	O	22580	2736	25316	0.00132
Bifidobacteriales	85004	O	18956	4326	23282	0.00122
Nakamurellales	1643684	O	18395	1990	20385	0.00106
Jatrophihabitantales	2805415	O	10770	782	11552	0.00060
Glycomycetales	85014	O	7067	473	7540	0.00039
Kineosporiales	622452	O	6605	1518	8123	0.00042
Sporichthyales	2495578	O	4020	1608	5628	0.00029
Actinopolysporales	622450	O	3056	260	3316	0.00017
Acidothermales	1643683	O	2260	96	2356	0.00012
Solirubrobacterales	588673	O	201254	25288	226542	0.01183
Miltoncostaeales	2843198	O	48105	5330	53435	0.00279
Rubrobacterales	84996	O	113070	12620	125690	0.00656
Acidimicrobiales	84993	O	79229	7412	86641	0.00452
Eggerthellales	1643822	O	16522	2244	18766	0.00098
Coriobacteriales	84999	O	12222	2039	14261	0.00074
Egibacterales	1747768	O	7314	364	7678	0.00040
Euzebyales	908621	O	6402	442	6844	0.00036
Egicoccales	1755823	O	6381	829	7210	0.00038
Bacillales	1385	O	274807	125983	400790	0.02092
Lactobacillales	186826	O	10029	6667	16696	0.00087
Eubacteriales	186802	O	40866	6814	47680	0.00249
Thermoanaerobacterales	68295	O	4747	598	5345	0.00028
Selenomonadales	909929	O	5439	266	5705	0.00030
Veillonellales	1843489	O	1402	319	1721	0.00009
Limnochordales	1676649	O	3322	101	3423	0.00018
Deinococcales	118964	O	38138	1522	39660	0.00207
Thermales	68933	O	14738	711	15449	0.00081
Trueperales	2762275	O	2856	122	2978	0.00016
Synechococcales	1890424	O	23853	1374	25227	0.00132
Nostocales	1161	O	6857	474	7331	0.00038
Gloeobacterales	307595	O	5253	98	5351	0.00028
Pseudanabaenales	2881377	O	5238	292	5530	0.00029
Oscillatoriales	1150	O	3202	256	3458	0.00018
Chroococcales	1118	O	1225	144	1369	0.00007
Sphaerobacterales	85001	O	8848	500	9348	0.00049
Thermomicrobiales	189776	O	2067	43	2110	0.00011
Chloroflexales	32064	O	6885	231	7116	0.00037
Tepidiformales	2682226	O	6302	217	6519	0.00034
Ardenticatenales	1382929	O	4622	75	4697	0.00025
Ktedonobacterales	388448	O	2434	71	2505	0.00013
Caldilineales	475963	O	2216	136	2352	0.00012
Anaerolineales	292629	O	1720	1146	2866	0.00015
Fimbriimonadales	1663425	O	3101	14	3115	0.00016
Hyphomicrobiales	356	O	2265375	107874	2373249	0.12390
Sphingomonadales	204457	O	597069	49763	646832	0.03377
Rhodospirillales	204441	O	306525	228315	534840	0.02792
Rhodobacterales	204455	O	207016	13425	220441	0.01151
Caulobacterales	204458	O	169579	14203	183782	0.00959
Maricaulales	2800059	O	6871	609	7480	0.00039
Hyphomonadales	2800060	O	5995	208	6203	0.00032
Parvularculales	255473	O	2113	124	2237	0.00012
Rickettsiales	766	O	1019	13	1032	0.00005
Burkholderiales	80840	O	1206590	212577	1419167	0.07409
Rhodocyclales	206389	O	83322	22436	105758	0.00552
Nitrosomonadales	32003	O	70153	7870	78023	0.00407
Neisseriales	206351	O	53752	12489	66241	0.00346
Xanthomonadales	135614	O	457228	67580	524808	0.02740
Pseudomonadales	72274	O	330267	91679	421946	0.02203
Enterobacterales	91347	O	112641	172477	285118	0.01489
Chromatiales	135613	O	63118	4039	67157	0.00351
Oceanospirillales	135619	O	60740	6992	67732	0.00354
Aeromonadales	135624	O	24061	16404	40465	0.00211
Methylococcales	135618	O	20542	791	21333	0.00111
Alteromonadales	135622	O	13553	1423	14976	0.00078
Cellvibrionales	1706369	O	12957	546	13503	0.00070
Nevskiales	1775403	O	12560	1714	14274	0.00075
Acidiferrobacterales	1692040	O	11680	476	12156	0.00063
Vibrionales	135623	O	7896	1994	9890	0.00052
Moraxellales	2887326	O	4420	1189	5609	0.00029
Legionellales	118969	O	3535	151	3686	0.00019
Immundisolibacterales	1934945	O	3129	3735	6864	0.00036
Thiotrichales	72273	O	2893	157	3050	0.00016
Salinisphaerales	742030	O	2153	75	2228	0.00012
Pasteurellales	135625	O	1835	2334	4169	0.00022
Cardiobacteriales	135615	O	1310	168	1478	0.00008
Myxococcales	29	O	482751	35886	518637	0.02708
Desulfuromonadales	69541	O	41116	2784	43900	0.00229
Desulfovibrionales	213115	O	31255	2043	33298	0.00174
Desulfobacterales	213118	O	11049	726	11775	0.00061
Bradymonadales	1779134	O	8905	208	9113	0.00048
Syntrophobacterales	213462	O	2293	421	2714	0.00014
Desulfarculales	453227	O	2250	926	3176	0.00017
Syntrophales	2914038	O	1241	353	1594	0.00008
Campylobacterales	213849	O	4976	274	5250	0.00027
Acidithiobacillales	225057	O	2577	240	2817	0.00015
Bdellovibrionales	213481	O	1190	14	1204	0.00006
Gemmatales	2691355	O	109939	2933	112872	0.00589
Isosphaerales	2691356	O	78461	6103	84564	0.00441
Pirellulales	2691354	O	53712	973	54685	0.00285
Planctomycetales	112	O	45839	3477	49316	0.00257
Tepidisphaerales	1771349	O	11223	224	11447	0.00060
Phycisphaerales	666506	O	7138	341	7479	0.00039
Opitutales	415000	O	39770	1336	41106	0.00215
Puniceicoccales	415001	O	1341	129	1470	0.00008
Verrucomicrobiales	48461	O	16131	2326	18457	0.00096
Kiritimatiellales	1921782	O	1205	1089	2294	0.00012
Cytophagales	768507	O	49043	899	49942	0.00261
Chitinophagales	1853229	O	19370	190	19560	0.00102
Bacteroidales	171549	O	17326	2922	20248	0.00106
Flavobacteriales	200644	O	16167	1038	17205	0.00090
Bacteroidetes Order II. Incertae sedis	1100069	O	13172	522	13694	0.00071
Sphingobacteriales	200666	O	9076	608	9684	0.00051
Chlorobiales	191411	O	5004	560	5564	0.00029
Gemmatimonadales	219686	O	117031	5595	122626	0.00640
Acidobacteriales	204433	O	65509	1187	66696	0.00348
Bryobacterales	332160	O	10056	221	10277	0.00054
Vicinamibacterales	2910145	O	39567	6439	46006	0.00240
Acanthopleuribacterales	533206	O	2576	41	2617	0.00014
Nitrospirales	189778	O	10272	135	10407	0.00054
Spirochaetales	136	O	4279	200	4479	0.00023
Leptospirales	1643688	O	1320	22	1342	0.00007
Synergistales	649776	O	4529	322	4851	0.00025
