name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces	1883	G	2399193	489208	2888401	0.14782
Kitasatospora	2063	G	37741	10846	48587	0.00249
Streptacidiphilus	228398	G	23871	5638	29509	0.00151
Yinghuangia	2805681	G	21988	2889	24877	0.00127
Microbacterium	33882	G	177252	25626	202878	0.01038
Agromyces	33877	G	59878	11828	71706	0.00367
Curtobacterium	2034	G	39140	6850	45990	0.00235
Rathayibacter	33886	G	34149	6438	40587	0.00208
Leifsonia	110932	G	26152	13276	39428	0.00202
Clavibacter	1573	G	25860	11608	37468	0.00192
Leucobacter	55968	G	25166	3998	29164	0.00149
Agrococcus	46352	G	24472	5486	29958	0.00153
Protaetiibacter	2680004	G	11977	2888	14865	0.00076
Cryobacterium	69578	G	9175	1098	10273	0.00053
Salinibacterium	235888	G	9119	1218	10337	0.00053
Frondihabitans	447237	G	7527	967	8494	0.00043
Plantibacter	190323	G	6515	697	7212	0.00037
Microterricola	518733	G	6494	1306	7800	0.00040
Microcella	337004	G	5834	1675	7509	0.00038
Cnuibacter	1759331	G	4613	813	5426	0.00028
Frigoribacterium	96492	G	4494	1075	5569	0.00029
Herbiconiux	881616	G	4434	723	5157	0.00026
Gryllotalpicola	1195526	G	4386	694	5080	0.00026
Mycetocola	76634	G	3889	407	4296	0.00022
Subtercola	120212	G	3734	254	3988	0.00020
Humibacter	427753	G	3449	625	4074	0.00021
Amnibacterium	1029631	G	3324	652	3976	0.00020
Chryseoglobus	1331730	G	3147	523	3670	0.00019
Gulosibacter	256818	G	2685	626	3311	0.00017
Marisediminicola	1230698	G	2523	256	2779	0.00014
Diaminobutyricimonas	1433997	G	2160	330	2490	0.00013
Glaciihabitans	1649454	G	1998	129	2127	0.00011
Agreia	110934	G	1894	187	2081	0.00011
Arthrobacter	1663	G	179385	36414	215799	0.01104
Pseudarthrobacter	1742993	G	24979	7099	32078	0.00164
Kocuria	57493	G	23951	6443	30394	0.00156
Micrococcus	1269	G	11351	6197	17548	0.00090
Sinomonas	596707	G	9842	2078	11920	0.00061
Glutamicibacter	1742989	G	6616	1990	8606	0.00044
Paenarthrobacter	1742992	G	5612	2796	8408	0.00043
Rothia	32207	G	4575	1631	6206	0.00032
Citricoccus	169133	G	3717	816	4533	0.00023
Nesterenkonia	57494	G	1270	68	1338	0.00007
Cellulomonas	1707	G	95971	28941	124912	0.00639
Actinotalea	458839	G	5963	1886	7849	0.00040
Oerskovia	162491	G	4883	1373	6256	0.00032
Pseudactinotalea	1926259	G	4044	509	4553	0.00023
Paraoerskovia	665568	G	3216	733	3949	0.00020
Janibacter	53457	G	22747	5857	28604	0.00146
Phycicoccus	367298	G	21179	5451	26630	0.00136
Pedococcus	2805645	G	17896	4936	22832	0.00117
Intrasporangium	53357	G	16161	3700	19861	0.00102
Tetrasphaera	99479	G	14222	3474	17696	0.00091
Arsenicicoccus	267408	G	7055	2380	9435	0.00048
Cellulosimicrobium	157920	G	28966	10408	39374	0.00201
Xylanimonas	186188	G	15010	4234	19244	0.00098
Isoptericola	254250	G	11581	4561	16142	0.00083
Ornithinimicrobium	125287	G	24892	4555	29447	0.00151
Serinicoccus	265976	G	18958	4505	23463	0.00120
Brachybacterium	43668	G	28852	4111	32963	0.00169
Dermabacter	36739	G	1907	892	2799	0.00014
Brevibacterium	1696	G	29802	5133	34935	0.00179
Georgenia	154116	G	23015	5800	28815	0.00147
Dermacoccus	57495	G	8050	2476	10526	0.00054
Luteipulveratus	745364	G	6442	795	7237	0.00037
Allobranchiibius	2040262	G	5148	996	6144	0.00031
Yimella	908935	G	2988	527	3515	0.00018
Ruania	626119	G	17841	1848	19689	0.00101
Pengzhenrongella	2888818	G	7075	1722	8797	0.00045
Luteimicrobium	754249	G	6044	1623	7667	0.00039
Beutenbergia	84756	G	7436	1078	8514	0.00044
Miniimonas	947525	G	5304	2415	7719	0.00040
Sanguibacter	60919	G	9212	2424	11636	0.00060
