name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces sp. BH-MK-02	2880933	S	13925	4008	17933	0.00258
Streptomyces sp. CdTB01	1725411	S	10078	3945	14023	0.00202
Streptomyces sp. 3214.6	1882757	S	7481	3050	10531	0.00151
Streptomyces sp. SN-593	659352	S	6626	1904	8530	0.00123
Streptomyces sp. A2-16	2781734	S	5680	2501	8181	0.00118
Streptomyces sp. S4.7	2705439	S	5362	2474	7836	0.00113
Streptomyces sp. P3	2135430	S	5348	1848	7196	0.00103
Streptomyces sp. So13.3	2136173	S	5107	1201	6308	0.00091
Streptomyces sp. CB01881	2078691	S	4902	1074	5976	0.00086
Streptomyces sp. ZYC-3	2797636	S	4729	1295	6024	0.00087
Streptomyces sp. SCSIO 64649	2878388	S	4687	994	5681	0.00082
Streptomyces sp. ST1015	1848900	S	4017	1139	5156	0.00074
Streptomyces sp. GQFP	2907545	S	4002	936	4938	0.00071
Streptomyces sp. Z423-1	2730915	S	3733	1501	5234	0.00075
Streptomyces sp. NHF165	2175864	S	3661	781	4442	0.00064
Streptomyces sp. WAC 01438	2203204	S	3658	1682	5340	0.00077
Streptomyces sp. NEAU-sy36	2751189	S	3654	1844	5498	0.00079
Streptomyces sp. LRE541	2931983	S	3653	1164	4817	0.00069
Streptomyces sp. Go 40/10	2825844	S	3564	2228	5792	0.00083
Streptomyces sp. SAT1	1849967	S	3564	1757	5321	0.00077
Streptomyces sp. DSM 40868	2721173	S	3433	1721	5154	0.00074
Streptomyces sp. MA3_2.13	2867410	S	3364	514	3878	0.00056
Streptomyces sp. NA02950	2742137	S	3302	854	4156	0.00060
Streptomyces sp. SCUT-3	2684469	S	3284	1543	4827	0.00069
Streptomyces sp. SirexAA-E	862751	S	3281	1319	4600	0.00066
Streptomyces sp. RPA4-2	2721244	S	3278	1363	4641	0.00067
Streptomyces sp. SM18	1736046	S	3076	1148	4224	0.00061
Streptomyces sp. 3025	2923272	S	3011	666	3677	0.00053
Streptomyces sp. GMY02	1333528	S	2966	681	3647	0.00052
Streptomyces sp. JB150	2714844	S	2961	1324	4285	0.00062
Streptomyces sp. YIM 121038	2136401	S	2921	1192	4113	0.00059
