name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinomycetia	1760	C	3465505	185602	3651107	0.44073
Thermoleophilia	1497346	C	98138	12029	110167	0.01330
Rubrobacteria	84995	C	42447	5095	47542	0.00574
Acidimicrobiia	84992	C	29129	2937	32066	0.00387
Coriobacteriia	84998	C	11675	1693	13368	0.00161
Nitriliruptoria	908620	C	7872	623	8495	0.00103
Bacilli	91061	C	71867	44481	116348	0.01404
Clostridia	186801	C	18720	4203	22923	0.00277
Negativicutes	909932	C	3360	349	3709	0.00045
Limnochordia	1676648	C	1323	47	1370	0.00017
Deinococci	188787	C	22110	14467	36577	0.00442
Gloeobacteria	307596	C	2216	4693	6909	0.00083
Thermomicrobia	189775	C	4271	179	4450	0.00054
Chloroflexia	32061	C	3192	129	3321	0.00040
Tepidiformia	2682225	C	2216	90	2306	0.00028
Ardenticatenia	1382928	C	1912	37	1949	0.00024
Fimbriimonadia	1663419	C	1187	6	1193	0.00014
Alphaproteobacteria	28211	C	1906163	134774	2040937	0.24637
Betaproteobacteria	28216	C	671550	119751	791301	0.09552
Gammaproteobacteria	1236	C	516855	145878	662733	0.08000
Deltaproteobacteria	28221	C	280323	13978	294301	0.03553
Epsilonproteobacteria	29547	C	2337	166	2503	0.00030
Acidithiobacillia	1807140	C	1219	129	1348	0.00016
Planctomycetia	203683	C	150802	2585	153387	0.01852
Phycisphaerae	666505	C	6904	311	7215	0.00087
Opitutae	414999	C	15551	730	16281	0.00197
Verrucomicrobiae	203494	C	10790	1199	11989	0.00145
Cytophagia	768503	C	23527	472	23999	0.00290
Chitinophagia	1853228	C	13036	152	13188	0.00159
Bacteroidia	200643	C	7351	1436	8787	0.00106
Flavobacteriia	117743	C	6616	6274	12890	0.00156
Sphingobacteriia	117747	C	3325	302	3627	0.00044
Chlorobia	191410	C	2299	263	2562	0.00031
Gemmatimonadetes	219685	C	48177	2758	50935	0.00615
Vicinamibacteria	1813735	C	31071	1813	32884	0.00397
Acidobacteriia	204432	C	28559	445	29004	0.00350
Blastocatellia	1562566	C	1923	59	1982	0.00024
Holophagae	533205	C	1243	24	1267	0.00015
Nitrospira	203693	C	5703	85	5788	0.00070
Spirochaetia	203692	C	2282	122	2404	0.00029
Synergistia	649775	C	1841	539	2380	0.00029
Sordariomycetes	147550	C	34483	633	35116	0.00424
Eurotiomycetes	147545	C	6420	220	6640	0.00080
Dothideomycetes	147541	C	1192	165	1357	0.00016
Saccharomycetes	4891	C	1361	132	1493	0.00018
Ustilaginomycetes	5257	C	1995	55	2050	0.00025
