name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinobacteria	201174	P	4042128	211440	4253568	0.49603
Firmicutes	1239	P	104733	37541	142274	0.01659
Deinococcus-Thermus	1297	P	23515	739	24254	0.00283
Cyanobacteria	1117	P	22244	487	22731	0.00265
Chloroflexi	200795	P	16728	188	16916	0.00197
Armatimonadetes	67819	P	1738	9	1747	0.00020
Proteobacteria	1224	P	3453137	215867	3669004	0.42786
Bacteroidetes	976	P	119511	1802	121313	0.01415
Chlorobi	1090	P	2369	88	2457	0.00029
Gemmatimonadetes	142182	P	58047	3299	61346	0.00715
Planctomycetes	203682	P	117276	1470	118746	0.01385
Verrucomicrobia	74201	P	27981	1303	29284	0.00342
Acidobacteria	57723	P	64630	1673	66303	0.00773
Nitrospirae	40117	P	5860	86	5946	0.00069
Spirochaetes	203691	P	2469	130	2599	0.00030
Synergistetes	508458	P	1975	167	2142	0.00025
Ascomycota	4890	P	25643	334	25977	0.00303
Basidiomycota	5204	P	2933	83	3016	0.00035
Oomycota	4762	P	4776	746	5522	0.00064
