name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	2639806	216895	2856701	0.28376
Betaproteobacteria	28216	C	837306	213277	1050583	0.10435
Gammaproteobacteria	1236	C	698758	199361	898119	0.08921
Deltaproteobacteria	28221	C	372696	23057	395753	0.03931
Epsilonproteobacteria	29547	C	2846	175	3021	0.00030
Acidithiobacillia	1807140	C	1298	134	1432	0.00014
Oligoflexia	1553900	C	718	12	730	0.00007
Hydrogenophilalia	2008785	C	471	113	584	0.00006
Zetaproteobacteria	580370	C	264	9	273	0.00003
Actinomycetia	1760	C	3591934	221232	3813166	0.37876
Thermoleophilia	1497346	C	100782	15664	116446	0.01157
Rubrobacteria	84995	C	57118	7101	64219	0.00638
Acidimicrobiia	84992	C	33243	4138	37381	0.00371
Coriobacteriia	84998	C	12937	2484	15421	0.00153
Nitriliruptoria	908620	C	9337	942	10279	0.00102
Bacilli	91061	C	56195	27454	83649	0.00831
Clostridia	186801	C	23396	4989	28385	0.00282
Negativicutes	909932	C	3469	430	3899	0.00039
Limnochordia	1676648	C	1654	83	1737	0.00017
Tissierellia	1737404	C	423	363	786	0.00008
Erysipelotrichia	526524	C	410	32579	32989	0.00328
Gloeobacteria	307596	C	2854	852	3706	0.00037
Deinococci	188787	C	30670	1652	32322	0.00321
Chloroflexia	32061	C	6119	220	6339	0.00063
Thermomicrobia	189775	C	5228	215	5443	0.00054
Ardenticatenia	1382928	C	3135	75	3210	0.00032
Anaerolineae	292625	C	2534	49	2583	0.00026
Tepidiformia	2682225	C	2276	114	2390	0.00024
Caldilineae	475962	C	1766	106	1872	0.00019
Dehalococcoidia	301297	C	803	14	817	0.00008
Ktedonobacteria	388447	C	781	21	802	0.00008
Candidatus Thermofonsia	2364196	C	641	532	1173	0.00012
Fimbriimonadia	1663419	C	1441	10	1451	0.00014
Chthonomonadetes	1077257	C	276	3	279	0.00003
Mollicutes	31969	C	436	96	532	0.00005
Chitinophagia	1853228	C	38745	529	39274	0.00390
Cytophagia	768503	C	38644	914	39558	0.00393
Flavobacteriia	117743	C	33147	2703	35850	0.00356
Sphingobacteriia	117747	C	17088	5013	22101	0.00220
Bacteroidia	200643	C	11477	10282	21759	0.00216
Saprospiria	1937959	C	456	99	555	0.00006
Chlorobia	191410	C	2840	391	3231	0.00032
Ignavibacteria	795747	C	195	4	199	0.00002
Gemmatimonadetes	219685	C	124628	9244	133872	0.01330
Fibrobacteria	204430	C	103	73	176	0.00002
Planctomycetia	203683	C	101442	2072	103514	0.01028
Phycisphaerae	666505	C	11076	471	11547	0.00115
Candidatus Brocadiia	2517206	C	130	0	130	0.00001
Opitutae	414999	C	15351	683	16034	0.00159
Verrucomicrobiae	203494	C	8207	1387	9594	0.00095
Kiritimatiellae	1921781	C	621	709	1330	0.00013
Tichowtungiia	2907184	C	246	8	254	0.00003
Chlamydiia	204429	C	249	234	483	0.00005
Vicinamibacteria	1813735	C	58115	3933	62048	0.00616
Acidobacteriia	204432	C	33078	634	33712	0.00335
Blastocatellia	1562566	C	3248	130	3378	0.00034
Holophagae	533205	C	1565	36	1601	0.00016
Nitrospira	203693	C	5522	110	5632	0.00056
Thermodesulfovibrionia	2811502	C	155	5	160	0.00002
Spirochaetia	203692	C	2781	173	2954	0.00029
Synergistia	649775	C	2255	263	2518	0.00025
Thermotogae	188708	C	700	508	1208	0.00012
Aquificae	187857	C	390	7	397	0.00004
Thermodesulfobacteria	67799	C	309	8	317	0.00003
Calditrichia	1962850	C	283	3	286	0.00003
Fusobacteriia	203490	C	256	51	307	0.00003
Deferribacteres	68337	C	241	9	250	0.00002
Chrysiogenetes	118001	C	183	110	293	0.00003
Sordariomycetes	147550	C	21218	326	21544	0.00214
Leotiomycetes	147548	C	143	1	144	0.00001
Eurotiomycetes	147545	C	1910	50	1960	0.00019
Dothideomycetes	147541	C	1230	151	1381	0.00014
Saccharomycetes	4891	C	1099	135	1234	0.00012
Ustilaginomycetes	5257	C	2314	40	2354	0.00023
Malasseziomycetes	1538075	C	152	20	172	0.00002
Agaricomycetes	155619	C	687	9	696	0.00007
Tremellomycetes	155616	C	170	4793	4963	0.00049
