name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetaceae	2062	F	2834914	738733	3573647	0.13121
Microbacteriaceae	85023	F	799110	122681	921791	0.03385
Micrococcaceae	1268	F	264089	70779	334868	0.01230
Cellulomonadaceae	85016	F	174313	61694	236007	0.00867
Intrasporangiaceae	85021	F	92105	26865	118970	0.00437
Promicromonosporaceae	85017	F	81440	33193	114633	0.00421
Ornithinimicrobiaceae	2805590	F	64031	14602	78633	0.00289
Dermabacteraceae	85020	F	46693	9606	56299	0.00207
Brevibacteriaceae	85019	F	42786	9623	52409	0.00192
Bogoriellaceae	145358	F	37276	12058	49334	0.00181
Ruaniaceae	1331736	F	29190	3869	33059	0.00121
Dermacoccaceae	145357	F	27745	34010	61755	0.00227
Beutenbergiaceae	125316	F	19806	6462	26268	0.00096
Sanguibacteraceae	145360	F	13427	4456	17883	0.00066
Dermatophilaceae	85018	F	5518	589	6107	0.00022
Kytococcaceae	2805426	F	5416	2145	7561	0.00028
Demequinaceae	1042322	F	1949	170	2119	0.00008
Jonesiaceae	85022	F	361	73	434	0.00002
Micromonosporaceae	28056	F	1653063	253500	1906563	0.07000
Pseudonocardiaceae	2070	F	1651019	271923	1922942	0.07060
Mycobacteriaceae	1762	F	844290	122818	967108	0.03551
Nocardiaceae	85025	F	420254	88486	508740	0.01868
Corynebacteriaceae	1653	F	116425	33525	149950	0.00551
Gordoniaceae	85026	F	102685	24918	127603	0.00469
Tsukamurellaceae	85028	F	32556	8903	41459	0.00152
Dietziaceae	85029	F	19218	19076	38294	0.00141
Segniliparaceae	316606	F	2555	155	2710	0.00010
Lawsonellaceae	2805586	F	423	53	476	0.00002
Nocardioidaceae	85015	F	881197	198298	1079495	0.03964
Propionibacteriaceae	31957	F	159787	39753	199540	0.00733
Kribbellaceae	2726069	F	94900	16176	111076	0.00408
Actinopolymorphaceae	2805400	F	21243	2698	23941	0.00088
Streptosporangiaceae	2004	F	308181	55891	364072	0.01337
Thermomonosporaceae	2012	F	211168	46047	257215	0.00944
Nocardiopsaceae	83676	F	86838	15965	102803	0.00377
Geodermatophilaceae	85030	F	501061	143209	644270	0.02366
Frankiaceae	74712	F	83144	9318	92462	0.00339
Actinomycetaceae	2049	F	78306	12744	91050	0.00334
Jiangellaceae	1217100	F	61361	11941	73302	0.00269
Nakamurellaceae	85031	F	31542	4689	36231	0.00133
Bifidobacteriaceae	31953	F	26993	8835	35828	0.00132
Glycomycetaceae	85034	F	19755	1865	21620	0.00079
Catenulisporaceae	414877	F	19214	3140	22354	0.00082
Jatrophihabitantaceae	2805416	F	15882	1571	17453	0.00064
Kineosporiaceae	83778	F	11997	3717	15714	0.00058
Sporichthyaceae	85033	F	6272	3309	9581	0.00035
Actinopolysporaceae	622451	F	6268	724	6992	0.00026
Acidothermaceae	85032	F	3793	231	4024	0.00015
