name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinobacteria	201174	P	10219215	448475	10667690	0.53678
Firmicutes	1239	P	137791	49411	187202	0.00942
Deinococcus-Thermus	1297	P	49163	2323	51486	0.00259
Cyanobacteria	1117	P	48966	1367	50333	0.00253
Chloroflexi	200795	P	30665	536	31201	0.00157
Armatimonadetes	67819	P	2667	16	2683	0.00014
Proteobacteria	1224	P	7317128	622660	7939788	0.39952
Planctomycetes	203682	P	359651	4785	364436	0.01834
Verrucomicrobia	74201	P	49115	1430	50545	0.00254
Kiritimatiellaeota	134625	P	1462	1170	2632	0.00013
Bacteroidetes	976	P	186729	3895	190624	0.00959
Chlorobi	1090	P	4052	149	4201	0.00021
Gemmatimonadetes	142182	P	67178	4225	71403	0.00359
Acidobacteria	57723	P	120934	4182	125116	0.00630
Nitrospirae	40117	P	9902	159	10061	0.00051
Spirochaetes	203691	P	4269	209	4478	0.00023
Synergistetes	508458	P	3773	370	4143	0.00021
Thermotogae	200918	P	1014	73	1087	0.00005
Ascomycota	4890	P	96713	1215	97928	0.00493
Basidiomycota	5204	P	6855	179	7034	0.00035
Oomycota	4762	P	8307	1175	9482	0.00048
