name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetales	85011	O	3599904	787155	4387059	0.12285
Micrococcales	85006	O	2786660	390248	3176908	0.08896
Propionibacteriales	85009	O	2402931	433071	2836002	0.07942
Corynebacteriales	85007	O	1898502	227429	2125931	0.05953
Pseudonocardiales	85010	O	1587861	232525	1820386	0.05098
Micromonosporales	85008	O	1413833	188890	1602723	0.04488
Streptosporangiales	85012	O	678715	106701	785416	0.02199
Geodermatophilales	1643682	O	554558	136492	691050	0.01935
Actinomycetales	2037	O	90043	12820	102863	0.00288
Frankiales	85013	O	82057	7971	90028	0.00252
Jiangellales	1217098	O	68099	11714	79813	0.00223
Nakamurellales	1643684	O	34945	4640	39585	0.00111
Bifidobacteriales	85004	O	31142	7968	39110	0.00110
Catenulisporales	414714	O	20393	2888	23281	0.00065
Jatrophihabitantales	2805415	O	15199	1300	16499	0.00046
Kineosporiales	622452	O	14208	3818	18026	0.00050
Glycomycetales	85014	O	13531	1072	14603	0.00041
Sporichthyales	2495578	O	7375	3411	10786	0.00030
Actinopolysporales	622450	O	7000	699	7699	0.00022
Acidothermales	1643683	O	3951	202	4153	0.00012
Candidatus Nanopelagicales	2039638	O	834	15	849	0.00002
Solirubrobacterales	588673	O	527125	77842	604967	0.01694
Miltoncostaeales	2843198	O	87851	11315	99166	0.00278
Rubrobacterales	84996	O	496012	39932	535944	0.01501
Acidimicrobiales	84993	O	182692	19853	202545	0.00567
Eggerthellales	1643822	O	26554	4278	30832	0.00086
Coriobacteriales	84999	O	19674	3794	23468	0.00066
Euzebyales	908621	O	14251	1178	15429	0.00043
Egibacterales	1747768	O	13469	800	14269	0.00040
Egicoccales	1755823	O	13083	2007	15090	0.00042
Bacillales	1385	O	342083	198254	540337	0.01513
Lactobacillales	186826	O	12138	6113	18251	0.00051
Eubacteriales	186802	O	64390	12651	77041	0.00216
Thermoanaerobacterales	68295	O	7341	1014	8355	0.00023
Halanaerobiales	53433	O	719	37	756	0.00002
Thermosediminibacterales	2770089	O	555	26	581	0.00002
Natranaerobiales	485256	O	165	6	171	0.00000
Koleobacterales	2786987	O	113	8	121	0.00000
Selenomonadales	909929	O	7462	397	7859	0.00022
Veillonellales	1843489	O	1919	562	2481	0.00007
Acidaminococcales	1843488	O	914	186	1100	0.00003
Limnochordales	1676649	O	5765	212	5977	0.00017
Erysipelotrichales	526525	O	1681	707	2388	0.00007
Tissierellales	1737405	O	1157	1308	2465	0.00007
Deinococcales	118964	O	64954	3513	68467	0.00192
Thermales	68933	O	24883	1415	26298	0.00074
Trueperales	2762275	O	5228	256	5484	0.00015
Synechococcales	1890424	O	37280	2343	39623	0.00111
Oscillatoriales	1150	O	11586	751	12337	0.00035
Chroococcales	1118	O	1906	210	2116	0.00006
Nostocales	1161	O	12898	1017	13915	0.00039
Pseudanabaenales	2881377	O	9644	510	10154	0.00028
Gloeobacterales	307595	O	8364	160	8524	0.00024
Chroococcidiopsidales	1890505	O	916	98	1014	0.00003
Pleurocapsales	52604	O	389	30	419	0.00001
Gloeomargaritales	1955042	O	208	5	213	0.00001
Thermostichales	2881383	O	160	70	230	0.00001
Sphaerobacterales	85001	O	16498	876	17374	0.00049
Thermomicrobiales	189776	O	3646	69	3715	0.00010
Chloroflexales	32064	O	11006	346	11352	0.00032
Tepidiformales	2682226	O	8000	313	8313	0.00023
Ardenticatenales	1382929	O	7463	139	7602	0.00021
Caldilineales	475963	O	3870	212	4082	0.00011
Anaerolineales	292629	O	2601	1774	4375	0.00012
Dehalococcoidales	1202465	O	570	1872	2442	0.00007
Ktedonobacterales	388448	O	1488	38	1526	0.00004
Phototrophicales	2364208	O	988	9	997	0.00003
Fimbriimonadales	1663425	O	3672	20	3692	0.00010
Chthonomonadales	1077263	O	786	6	792	0.00002
Mycoplasmatales	2085	O	580	125	705	0.00002
Acholeplasmatales	186329	O	316	28	344	0.00001
Entomoplasmatales	186328	O	309	24	333	0.00001
Hyphomicrobiales	356	O	3415082	205007	3620089	0.10137
Sphingomonadales	204457	O	1147511	104483	1251994	0.03506
Rhodospirillales	204441	O	756649	450631	1207280	0.03381
Rhodobacterales	204455	O	513094	36142	549236	0.01538
Caulobacterales	204458	O	232073	22522	254595	0.00713
Maricaulales	2800059	O	10845	1018	11863	0.00033
Hyphomonadales	2800060	O	8824	315	9139	0.00026
Parvularculales	255473	O	3145	188	3333	0.00009
Rickettsiales	766	O	1404	27	1431	0.00004
Emcibacterales	2066490	O	1341	1365	2706	0.00008
Holosporales	1921002	O	400	12	412	0.00001
Magnetococcales	1191478	O	389	10	399	0.00001
Pelagibacterales	54526	O	171	3	174	0.00000
Kordiimonadales	362534	O	171	3	174	0.00000
Burkholderiales	80840	O	2216383	532119	2748502	0.07696
Rhodocyclales	206389	O	144099	38653	182752	0.00512
Nitrosomonadales	32003	O	136224	12283	148507	0.00416
Neisseriales	206351	O	83485	20088	103573	0.00290
Xanthomonadales	135614	O	695237	113503	808740	0.02265
Pseudomonadales	72274	O	542182	173642	715824	0.02004
Enterobacterales	91347	O	166669	267389	434058	0.01215
Chromatiales	135613	O	106106	7696	113802	0.00319
Oceanospirillales	135619	O	101867	13770	115637	0.00324
Aeromonadales	135624	O	39264	25926	65190	0.00183
Methylococcales	135618	O	31865	1427	33292	0.00093
