name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces sp. ZYC-3	2797636	S	12146	2654	14800	0.00070
Streptomyces sp. A2-16	2781734	S	11891	4052	15943	0.00075
Streptomyces sp. SN-593	659352	S	11736	3087	14823	0.00070
Streptomyces sp. BH-MK-02	2880933	S	11084	2660	13744	0.00065
Streptomyces sp. So13.3	2136173	S	10731	2241	12972	0.00061
Streptomyces sp. SCSIO 64649	2878388	S	10283	2040	12323	0.00058
Streptomyces sp. CB01881	2078691	S	10085	2115	12200	0.00057
Streptomyces sp. RTd22	1841249	S	9976	4328	14304	0.00067
Streptomyces sp. CdTB01	1725411	S	9784	3085	12869	0.00061
Streptomyces sp. Rer75	2750011	S	9238	4398	13636	0.00064
Streptomyces sp. LRE541	2931983	S	8612	2175	10787	0.00051
Streptomyces sp. MBT27	1488356	S	7985	2600	10585	0.00050
Streptomyces sp. NHF165	2175864	S	7774	1489	9263	0.00044
Streptomyces sp. MA3_2.13	2867410	S	7755	1100	8855	0.00042
Streptomyces sp. ST1015	1848900	S	7347	1707	9054	0.00043
Streptomyces sp. GQFP	2907545	S	7295	1383	8678	0.00041
Streptomyces sp. 3214.6	1882757	S	7182	2316	9498	0.00045
Streptomyces sp. P3	2135430	S	6922	1916	8838	0.00042
Streptomyces sp. NA02950	2742137	S	6857	1507	8364	0.00039
Streptomyces sp. SCUT-3	2684469	S	6566	2848	9414	0.00044
Streptomyces sp. 3025	2923272	S	6441	1261	7702	0.00036
Streptomyces sp. RPA4-2	2721244	S	6187	1980	8167	0.00038
Streptomyces sp. GMY02	1333528	S	6155	1213	7368	0.00035
Streptomyces sp. YIM 121038	2136401	S	5950	1914	7864	0.00037
Streptomyces sp. 891-h	2720714	S	5851	1182	7033	0.00033
Streptomyces sp. W1SF4	2305220	S	5580	2159	7739	0.00036
Streptomyces sp. Z423-1	2730915	S	5510	1760	7270	0.00034
Streptomyces sp. GS7	2692234	S	5483	1615	7098	0.00033
Streptomyces sp. NEAU-sy36	2751189	S	5441	2214	7655	0.00036
Streptomyces sp. SAT1	1849967	S	5430	2220	7650	0.00036
Streptomyces sp. NA04227	2742136	S	5429	1390	6819	0.00032
Streptomyces sp. MST-110588	2833628	S	5352	1448	6800	0.00032
Streptomyces sp. DSM 40868	2721173	S	5256	2091	7347	0.00035
Streptomyces sp. S1D4-11	2721246	S	5173	3831	9004	0.00042
Streptomyces sp. WAC 01438	2203204	S	5080	1890	6970	0.00033
Streptomyces sp. BHT-5-2	2866715	S	5058	1713	6771	0.00032
Streptomyces sp. C8S0	2585716	S	5029	1581	6610	0.00031
Streptomyces sp. QHH-9511	2684468	S	4999	1510	6509	0.00031
Streptomyces sp. MG28	2865673	S	4933	1901	6834	0.00032
Streptomyces sp. HM190	2695266	S	4920	1722	6642	0.00031
Streptomyces sp. AMCC400023	2056258	S	4873	2126	6999	0.00033
Streptomyces sp. Go 40/10	2825844	S	4690	2238	6928	0.00033
Streptomyces sp. JB150	2714844	S	4635	1676	6311	0.00030
Streptomyces sp. Go-475	2072505	S	4594	2285	6879	0.00032
Streptomyces sp. CMB-StM0423	2059884	S	4539	2211	6750	0.00032
Streptomyces sp. MG62	2838015	S	4534	1845	6379	0.00030
Streptomyces sp. SirexAA-E	862751	S	4510	1462	5972	0.00028
Streptomyces sp. BJ20	2930049	S	4495	1998	6493	0.00031
Streptomyces sp. SM18	1736046	S	4406	1329	5735	0.00027
Streptomyces sp. 135	2838850	S	4375	1539	5914	0.00028
Streptomyces sp. fd1-xmd	1812480	S	4260	1971	6231	0.00029
Streptomyces sp. INR7	2607753	S	3981	2114	6095	0.00029
Streptomyces sp. HSG2	2797167	S	3965	971	4936	0.00023
Streptomyces sp. WAC 01529	2203205	S	3946	1506	5452	0.00026
Streptomyces sp. Tu 2975	2676871	S	3844	1325	5169	0.00024
Streptomyces sp. S4.7	2705439	S	3711	1327	5038	0.00024
Streptomyces sp. SYP-A7193	2662065	S	3670	2280	5950	0.00028
Streptomyces sp. HP-A2021	2927875	S	3550	2102	5652	0.00027
Streptomyces sp. TN58	234612	S	3470	1675	5145	0.00024
Streptomyces sp. jing01	2726118	S	3179	1883	5062	0.00024
Streptomyces sp. CB09001	2083284	S	3150	2152	5302	0.00025
Streptomyces sp. 2323.1	1938841	S	3085	1929	5014	0.00024
Streptomyces sp. SUK 48	2582831	S	2996	1939	4935	0.00023
Streptomyces sp. WAC 06738	2203210	S	2917	2875	5792	0.00027
Streptomyces sp. Mg1	465541	S	2914	2765	5679	0.00027
Streptomyces sp. WY228	2855836	S	2889	1598	4487	0.00021
Streptomyces sp. ADI95-16	1522758	S	2874	2560	5434	0.00026
Streptomyces sp. RPA4-5	2721245	S	2694	1775	4469	0.00021
Streptomyces sp. YPW6	2840373	S	2652	1422	4074	0.00019
Streptomyces sp. CNQ-509	444103	S	2614	2527	5141	0.00024
Streptomyces sp. HF10	2692233	S	2443	1771	4214	0.00020
Streptomyces sp. CCM_MD2014	1561022	S	2400	2192	4592	0.00022
Streptomyces sp. 769	1262452	S	2392	1837	4229	0.00020
Streptomyces sp. AgN23	1188315	S	2351	2114	4465	0.00021
Streptomyces sp. RLB1-33	2721243	S	1854	5527	7381	0.00035
Streptomyces sp. S063	2005885	S	1845	1306	3151	0.00015
Streptomyces sp. S8	1837283	S	1832	1617	3449	0.00016
Streptomyces sp. NEAU-S7GS2	2202000	S	1759	1470	3229	0.00015
Streptomyces sp. 3211	1964449	S	1701	2236	3937	0.00019
Streptomyces sp. ID38640	1265399	S	1633	1173	2806	0.00013
Streptomyces sp. PBH53	1577075	S	1577	2411	3988	0.00019
Streptomyces sp. EAS-AB2608	2779671	S	1577	2597	4174	0.00020
Streptomyces sp. WA6-1-16	2879427	S	1530	1579	3109	0.00015
Streptomyces sp. Sge12	1972846	S	1509	2442	3951	0.00019
Streptomyces sp. 11-1-2	1851167	S	1492	2822	4314	0.00020
Streptomyces sp. MOE7	1961713	S	1454	1772	3226	0.00015
Streptomyces sp. XC 2026	2782004	S	1451	1275	2726	0.00013
Streptomyces sp. HNA39	2850561	S	1286	1499	2785	0.00013
Streptomyces sp. CB00271	2750025	S	1233	1696	2929	0.00014
Streptomyces sp. Tue 6075	1661694	S	1192	1386	2578	0.00012
Streptomyces sp. WAC00303	2933779	S	1067	1556	2623	0.00012
Streptomyces sp. CFMR 7	1649184	S	1039	1820	2859	0.00013
Streptomyces sp. CLI2509	1984801	S	904	3332	4236	0.00020
Streptomyces sp. M56	1495638	S	850	2289	3139	0.00015
Streptomyces sp. CB04723	2748873	S	760	1376	2136	0.00010
Streptomyces sp. M2	646637	S	731	4223	4954	0.00023
Streptomyces sp. CRSS-Y-16	2906474	S	730	4463	5193	0.00024
Streptomyces sp. NA02536	2742133	S	720	1936	2656	0.00012
Streptomyces sp. S1A1-7	2594459	S	717	7358	8075	0.00038
Streptomyces sp. Tu6071	355249	S	717	2358	3075	0.00014
Streptomyces sp. PAMC 26508	1265601	S	621	2383	3004	0.00014
Streptomyces sp. HU2014	2939414	S	612	2138	2750	0.00013
Streptomyces sp. endophyte_N2	2153485	S	589	1742	2331	0.00011
Streptomyces sp. A144	2871487	S	559	2700	3259	0.00015
Streptomyces sp. WA1-19	2884220	S	545	2971	3516	0.00017
Streptomyces sp. VN1	1821625	S	533	2301	2834	0.00013
Streptomyces sp. V17-9	2831149	S	513	2568	3081	0.00014
Streptomyces sp. S501	2420135	S	511	2117	2628	0.00012
Streptomyces sp. SS52	2563602	S	497	2520	3017	0.00014
Streptomyces sp. BSE6.1	2605730	S	493	2351	2844	0.00013
Streptomyces sp. CB09030	2913412	S	493	1681	2174	0.00010
Streptomyces sp. CC0208	2306165	S	487	13453	13940	0.00066
Streptomyces sp. SGAir0924	2109593	S	481	2525	3006	0.00014
Streptomyces sp. WAC00288	2094021	S	463	1961	2424	0.00011
Streptomyces sp. NA03103	2742134	S	430	2944	3374	0.00016
Streptomyces sp. A1-5	2738410	S	397	1888	2285	0.00011
Streptomyces sp. RLB3-17	2594455	S	345	5900	6245	0.00029
Streptomyces sp. R527F	1664033	S	337	1958	2295	0.00011
Streptomyces sp. GF20	2692235	S	329	1899	2228	0.00010
Streptomyces sp. LBUM 1480	2609808	S	323	3338	3661	0.00017
Streptomyces sp. 2114.2	1881022	S	318	2016	2334	0.00011
Streptomyces sp. KPB2	2305221	S	282	2442	2724	0.00013
Streptomyces sp. RLB3-6	2594457	S	263	9039	9302	0.00044
Streptomyces sp. CA-256286	2801033	S	256	1623	1879	0.00009
Streptomyces sp. NBU3104	2911367	S	244	1647	1891	0.00009
