name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Microbacterium	33882	G	146738	24750	171488	0.01238
Agromyces	33877	G	45829	10505	56334	0.00407
Curtobacterium	2034	G	29145	5805	34950	0.00252
Agrococcus	46352	G	27360	7622	34982	0.00253
Rathayibacter	33886	G	26488	5784	32272	0.00233
Leifsonia	110932	G	20693	11481	32174	0.00232
Clavibacter	1573	G	19463	15545	35008	0.00253
Leucobacter	55968	G	16800	3133	19933	0.00144
Protaetiibacter	2680004	G	8995	2522	11517	0.00083
Salinibacterium	235888	G	7852	1205	9057	0.00065
Cryobacterium	69578	G	7282	1006	8288	0.00060
Frondihabitans	447237	G	5652	855	6507	0.00047
Microterricola	518733	G	5176	1223	6399	0.00046
Plantibacter	190323	G	5113	626	5739	0.00041
Microcella	337004	G	4669	1617	6286	0.00045
Humibacter	427753	G	4054	853	4907	0.00035
Herbiconiux	881616	G	3602	692	4294	0.00031
Cnuibacter	1759331	G	3588	742	4330	0.00031
Frigoribacterium	96492	G	3471	977	4448	0.00032
Mycetocola	76634	G	3445	423	3868	0.00028
Gryllotalpicola	1195526	G	3055	571	3626	0.00026
Amnibacterium	1029631	G	3027	697	3724	0.00027
Subtercola	120212	G	2938	234	3172	0.00023
Chryseoglobus	1331730	G	2444	484	2928	0.00021
Diaminobutyricimonas	1433997	G	2165	390	2555	0.00018
Marisediminicola	1230698	G	2012	239	2251	0.00016
Gulosibacter	256818	G	1799	506	2305	0.00017
Glaciihabitans	1649454	G	1699	129	1828	0.00013
Agreia	110934	G	1584	184	1768	0.00013
Rhodoluna	529883	G	202	13	215	0.00002
Aquiluna	529881	G	175	12	187	0.00001
Pseudoclavibacter	255204	G	332	61	393	0.00003
Aurantimicrobium	1705353	G	215	10	225	0.00002
Pontimonas	1434032	G	136	6	142	0.00001
Arthrobacter	1663	G	206912	49246	256158	0.01849
Pseudarthrobacter	1742993	G	103448	30258	133706	0.00965
Kocuria	57493	G	31530	8681	40211	0.00290
Paenarthrobacter	1742992	G	10436	5952	16388	0.00118
Micrococcus	1269	G	8212	5176	13388	0.00097
Sinomonas	596707	G	6903	1762	8665	0.00063
Glutamicibacter	1742989	G	5408	1888	7296	0.00053
Citricoccus	169133	G	3841	1003	4844	0.00035
Rothia	32207	G	3554	1506	5060	0.00037
Nesterenkonia	57494	G	913	58	971	0.00007
Paeniglutamicibacter	1742990	G	692	109	801	0.00006
Psychromicrobium	2078575	G	409	61	470	0.00003
Neomicrococcus	1868332	G	332	160	492	0.00004
Auritidibacter	1160973	G	287	29	316	0.00002
Renibacterium	1645	G	251	15	266	0.00002
Cellulomonas	1707	G	74302	25797	100099	0.00723
