,Outliers,Cluster
0,0,0
1,0,0
2,0,0
3,0,0
4,1,3
5,0,0
6,0,3
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,3
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,3
36,0,0
37,0,3
38,0,0
39,0,0
40,0,3
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,1,0
50,1,0
51,0,3
52,0,0
53,0,0
54,1,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,3
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,1,3
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,1,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,3
107,0,3
108,0,0
109,0,0
110,0,-1
111,1,3
112,0,-1
113,0,-1
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,-1
125,0,3
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,3
137,0,0
138,0,0
139,0,0
140,1,3
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,1,0
150,0,0
151,0,0
152,0,0
153,0,0
154,1,3
155,0,-1
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,3
167,1,0
168,0,3
169,0,0
170,0,3
171,0,3
172,0,3
173,0,3
174,0,3
175,0,3
176,0,3
177,0,3
178,0,3
179,0,0
180,0,3
181,0,3
182,0,3
183,0,3
184,0,-1
185,1,-1
186,0,0
187,0,0
188,0,3
189,0,0
190,0,0
191,0,0
192,0,3
193,1,3
194,0,3
195,1,0
196,1,0
197,0,0
198,0,3
199,0,3
200,0,3
201,0,3
202,0,3
203,0,3
204,0,3
205,0,3
206,0,3
207,0,3
208,0,3
209,0,3
210,0,3
211,0,3
212,0,3
213,0,3
214,0,3
215,0,3
216,0,3
217,0,3
218,0,3
219,0,3
220,0,3
221,0,3
222,0,3
223,0,3
224,0,3
225,0,3
226,1,3
227,0,3
228,1,3
229,0,3
230,0,3
231,0,3
232,0,3
233,0,3
234,0,3
235,0,3
236,1,3
237,0,1
238,0,3
239,0,3
240,0,3
241,0,3
242,1,3
243,0,3
244,0,3
245,0,3
246,1,3
247,0,3
248,0,3
249,0,3
250,0,3
251,0,3
252,1,3
253,0,3
254,0,3
255,0,3
256,1,3
257,1,3
258,0,3
259,0,3
260,0,3
261,0,3
262,0,3
263,1,3
264,1,3
265,0,3
266,1,3
267,0,3
268,0,3
269,1,3
270,0,3
271,1,3
272,1,3
273,0,3
274,0,3
275,0,3
276,0,3
277,0,3
278,0,3
279,1,3
280,0,3
281,0,3
282,0,3
283,0,3
284,0,3
285,0,3
286,0,3
287,0,3
288,0,3
289,0,3
290,0,3
291,0,3
292,0,3
293,1,3
294,1,3
295,0,3
296,1,3
297,0,3
298,0,3
299,0,3
300,0,3
301,0,3
302,0,3
303,1,3
304,0,3
305,0,3
306,1,3
307,0,3
308,0,3
309,0,3
310,0,3
311,0,3
312,1,3
313,0,3
314,0,3
315,0,3
316,0,3
317,0,3
318,0,3
319,0,3
320,0,3
321,0,3
322,0,3
323,0,3
324,0,3
325,0,3
326,0,3
327,0,3
328,0,3
329,1,3
330,0,3
331,0,3
332,0,3
333,0,3
334,0,3
335,1,3
336,0,3
337,0,3
338,0,3
339,1,3
340,0,3
341,0,3
342,1,3
343,0,3
344,0,3
345,0,3
346,1,0
347,0,3
348,0,3
349,0,3
350,0,3
351,0,3
352,0,3
353,0,3
354,0,3
355,0,3
356,0,3
357,0,3
358,0,3
359,0,3
360,0,3
361,0,3
362,0,3
363,0,3
364,0,3
365,0,3
366,0,3
367,0,3
368,0,3
369,1,3
370,0,3
371,0,3
372,0,3
373,0,3
374,0,3
375,0,3
376,1,3
377,0,3
378,0,3
379,0,3
380,0,3
381,0,3
382,0,3
383,0,3
384,0,3
385,0,3
386,0,3
387,0,3
388,0,3
389,1,3
390,0,3
391,0,3
392,0,3
393,0,3
394,1,3
395,0,3
396,0,3
397,0,3
398,0,3
399,1,3
400,1,3
401,0,3
402,0,3
403,1,3
404,0,3
405,0,3
406,0,3
407,0,3
408,1,3
409,0,3
410,0,3
411,0,3
412,0,3
413,0,3
414,0,3
415,0,3
416,0,3
417,0,3
418,0,3
419,0,3
420,0,-1
421,0,3
422,0,3
423,0,3
424,0,3
425,0,3
426,0,3
427,0,3
428,0,3
429,0,3
430,1,3
431,0,3
432,0,3
433,1,3
434,1,3
435,0,3
436,0,3
437,1,3
438,1,3
439,1,3
440,0,3
441,0,3
442,0,3
443,0,3
444,0,3
445,0,3
446,0,3
447,1,3
448,0,3
449,1,3
450,1,3
451,0,3
452,0,3
453,0,3
454,0,3
455,0,3
456,1,-1
457,0,3
458,1,3
459,0,3
460,0,3
461,0,3
462,1,3
463,0,3
464,0,3
465,1,-1
466,1,3
467,0,3
468,0,3
469,0,3
470,0,3
471,0,3
472,1,3
473,0,3
474,0,-1
475,0,3
476,0,3
477,0,3
478,0,3
479,0,3
480,0,3
481,0,3
482,0,3
483,0,3
484,0,3
485,0,3
486,0,3
487,0,3
488,0,3
489,0,3
490,0,3
491,0,3
492,1,3
493,1,3
494,1,3
495,0,3
496,0,3
497,0,3
498,0,3
499,1,3
500,0,-1
501,1,3
502,0,3
503,0,3
504,1,3
505,1,3
506,1,3
507,0,3
508,0,3
509,0,3
510,1,3
511,0,3
512,1,3
513,0,3
514,0,3
515,0,3
516,0,3
517,0,3
518,0,3
519,0,3
520,0,3
521,0,3
522,0,3
523,0,3
524,0,-1
525,0,3
526,0,3
527,0,3
528,0,3
529,0,3
530,0,3
531,0,2
532,0,2
533,0,3
534,0,3
535,0,3
536,0,3
537,0,3
538,0,3
539,0,3
540,1,3
541,0,3
542,0,3
543,0,2
544,0,3
545,0,3
546,0,3
547,0,3
548,0,3
549,0,3
550,0,3
551,0,3
552,0,3
553,0,2
554,0,2
555,1,3
556,0,3
557,0,3
558,0,3
559,0,3
560,0,2
561,0,3
562,0,2
563,0,3
564,0,3
565,0,3
566,0,3
567,0,3
568,0,3
