name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinobacteria	201174	P	5863964	225990	6089954	0.52301
Firmicutes	1239	P	168287	61456	229743	0.01973
Deinococcus-Thermus	1297	P	34510	1160	35670	0.00306
Cyanobacteria	1117	P	29947	644	30591	0.00263
Chloroflexi	200795	P	23453	312	23765	0.00204
Armatimonadetes	67819	P	2407	11	2418	0.00021
Proteobacteria	1224	P	4406087	263801	4669888	0.40105
Planctomycetes	203682	P	235422	2618	238040	0.02044
Verrucomicrobia	74201	P	24973	601	25574	0.00220
Kiritimatiellaeota	134625	P	1056	729	1785	0.00015
Bacteroidetes	976	P	67729	1241	68970	0.00592
Chlorobi	1090	P	3220	104	3324	0.00029
Gemmatimonadetes	142182	P	59828	2901	62729	0.00539
Acidobacteria	57723	P	79452	1625	81077	0.00696
Nitrospirae	40117	P	7913	98	8011	0.00069
Spirochaetes	203691	P	3297	132	3429	0.00029
Synergistetes	508458	P	2825	200	3025	0.00026
Ascomycota	4890	P	53130	457	53587	0.00460
Basidiomycota	5204	P	4906	99	5005	0.00043
Oomycota	4762	P	6748	705	7453	0.00064
