name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces	1883	G	1751716	337807	2089523	0.14320
Kitasatospora	2063	G	30481	8717	39198	0.00269
Yinghuangia	2805681	G	22645	2968	25613	0.00176
Streptacidiphilus	228398	G	17162	4048	21210	0.00145
Microbacterium	33882	G	137220	18864	156084	0.01070
Agromyces	33877	G	43897	8129	52026	0.00357
Curtobacterium	2034	G	29543	4860	34403	0.00236
Rathayibacter	33886	G	25647	4621	30268	0.00207
Leifsonia	110932	G	24098	13660	37758	0.00259
Clavibacter	1573	G	19962	13879	33841	0.00232
Leucobacter	55968	G	19070	2898	21968	0.00151
Agrococcus	46352	G	18267	3882	22149	0.00152
Protaetiibacter	2680004	G	8610	1941	10551	0.00072
Salinibacterium	235888	G	6851	846	7697	0.00053
Cryobacterium	69578	G	6507	727	7234	0.00050
Frondihabitans	447237	G	5743	692	6435	0.00044
Plantibacter	190323	G	5016	495	5511	0.00038
Microterricola	518733	G	4843	914	5757	0.00039
Microcella	337004	G	4342	1174	5516	0.00038
Cnuibacter	1759331	G	3596	593	4189	0.00029
Herbiconiux	881616	G	3462	529	3991	0.00027
Frigoribacterium	96492	G	3333	746	4079	0.00028
Gryllotalpicola	1195526	G	3261	487	3748	0.00026
Mycetocola	76634	G	3050	305	3355	0.00023
Subtercola	120212	G	2897	189	3086	0.00021
Humibacter	427753	G	2678	457	3135	0.00021
Amnibacterium	1029631	G	2453	453	2906	0.00020
Chryseoglobus	1331730	G	2441	397	2838	0.00019
Gulosibacter	256818	G	2007	448	2455	0.00017
Marisediminicola	1230698	G	1952	186	2138	0.00015
Diaminobutyricimonas	1433997	G	1643	237	1880	0.00013
Glaciihabitans	1649454	G	1486	90	1576	0.00011
Agreia	110934	G	1480	138	1618	0.00011
Arthrobacter	1663	G	160232	34473	194705	0.01334
Pseudarthrobacter	1742993	G	23356	7089	30445	0.00209
Kocuria	57493	G	17725	4382	22107	0.00152
Sinomonas	596707	G	12172	2604	14776	0.00101
Micrococcus	1269	G	8622	4661	13283	0.00091
Glutamicibacter	1742989	G	5072	1474	6546	0.00045
Paenarthrobacter	1742992	G	4979	2520	7499	0.00051
Rothia	32207	G	3670	1251	4921	0.00034
Citricoccus	169133	G	2851	594	3445	0.00024
Cellulomonas	1707	G	72101	21060	93161	0.00638
Actinotalea	458839	G	4487	1372	5859	0.00040
Oerskovia	162491	G	3629	985	4614	0.00032
Pseudactinotalea	1926259	G	3053	375	3428	0.00023
Paraoerskovia	665568	G	2426	536	2962	0.00020
Janibacter	53457	G	16635	4217	20852	0.00143
Phycicoccus	367298	G	15967	4033	20000	0.00137
Pedococcus	2805645	G	13163	3548	16711	0.00115
Intrasporangium	53357	G	11916	2690	14606	0.00100
Tetrasphaera	99479	G	9861	2352	12213	0.00084
Arsenicicoccus	267408	G	5180	1702	6882	0.00047
Cellulosimicrobium	157920	G	20440	7232	27672	0.00190
Xylanimonas	186188	G	11082	3039	14121	0.00097
Isoptericola	254250	G	8534	3267	11801	0.00081
Ornithinimicrobium	125287	G	18448	3347	21795	0.00149
Serinicoccus	265976	G	13862	3284	17146	0.00118
Brachybacterium	43668	G	21601	3010	24611	0.00169
Dermabacter	36739	G	1559	742	2301	0.00016
Brevibacterium	1696	G	22263	3755	26018	0.00178
Dermacoccus	57495	G	5933	1763	7696	0.00053
Luteipulveratus	745364	G	4757	569	5326	0.00037
Allobranchiibius	2040262	G	3728	699	4427	0.00030
Yimella	908935	G	2163	371	2534	0.00017
Georgenia	154116	G	16745	4134	20879	0.00143
Ruania	626119	G	13744	1390	15134	0.00104
Pengzhenrongella	2888818	G	5324	1254	6578	0.00045
Luteimicrobium	754249	G	4751	1232	5983	0.00041
Beutenbergia	84756	G	5615	788	6403	0.00044
Miniimonas	947525	G	3947	1723	5670	0.00039
Sanguibacter	60919	G	6930	1763	8693	0.00060
Gephyromycinifex	2885697	G	1554	152	1706	0.00012
Austwickia	1184606	G	1037	67	1104	0.00008
Kytococcus	57499	G	2803	2302	5105	0.00035
Nocardioides	1839	G	619264	115677	734941	0.05037
Aeromicrobium	2040	G	32146	5443	37589	0.00258
Marmoricola	86795	G	10715	3539	14254	0.00098
Friedmanniella	53387	G	8405	1428	9833	0.00067
Pimelobacter	2044	G	8310	2750	11060	0.00076
Mumia	1546255	G	5210	786	5996	0.00041
Micropruina	116071	G	2683	331	3014	0.00021
Microlunatus	29404	G	25019	2444	27463	0.00188
Tessaracoccus	72763	G	17234	3049	20283	0.00139
Brevilactibacter	2717325	G	6898	2326	9224	0.00063
Acidipropionibacterium	1912215	G	6026	1991	8017	0.00055
Propionibacterium	1743	G	5684	1415	7099	0.00049
Auraticoccus	1278221	G	4699	721	5420	0.00037
Raineyella	1911549	G	2766	316	3082	0.00021
Cutibacterium	1912216	G	2588	641	3229	0.00022
Arachnia	2801844	G	2558	161	2719	0.00019
Kribbella	182639	G	50471	6287	56758	0.00389
Actinopolymorpha	117156	G	10995	1037	12032	0.00082
Mycolicibacterium	1866885	G	156750	26155	182905	0.01254
Mycobacterium	1763	G	149514	34508	184022	0.01261
Mycolicibacter	1073531	G	10735	3944	14679	0.00101
Mycobacteroides	670516	G	9262	2448	11710	0.00080
Mycolicibacillus	2126281	G	2215	525	2740	0.00019
Hoyosella	697025	G	1008	46	1054	0.00007
Nocardia	1817	G	121459	17820	139279	0.00955
Rhodococcus	1827	G	100936	21449	122385	0.00839
Corynebacterium	1716	G	58786	14924	73710	0.00505
Gordonia	2053	G	49955	9495	59450	0.00407
Skermania	59613	G	2325	230	2555	0.00018
Tsukamurella	2060	G	16301	3497	19798	0.00136
Dietzia	37914	G	9446	1994	11440	0.00078
Tomitella	741759	G	5736	1005	6741	0.00046
Segniliparus	286801	G	1434	66	1500	0.00010
Amycolatopsis	1813	G	223874	36003	259877	0.01781
Pseudonocardia	1847	G	172889	27026	199915	0.01370
Saccharopolyspora	1835	G	33237	5963	39200	0.00269
Saccharothrix	2071	G	28755	6952	35707	0.00245
Saccharomonospora	1851	G	18548	2895	21443	0.00147
Kutzneria	43356	G	18441	3270	21711	0.00149
Lentzea	165301	G	13542	2445	15987	0.00110
Actinosynnema	40566	G	11052	2861	13913	0.00095
Actinoalloteichus	65496	G	10691	839	11530	0.00079
Kibdelosporangium	2029	G	8160	840	9000	0.00062
Allokutzneria	1137960	G	7768	1586	9354	0.00064
Alloactinosynnema	674734	G	6244	1182	7426	0.00051
Prauserella	142577	G	3748	294	4042	0.00028
Allosaccharopolyspora	2893576	G	3201	596	3797	0.00026
Micromonospora	1873	G	170451	37905	208356	0.01428
Actinoplanes	1865	G	109025	19910	128935	0.00884
Dactylosporangium	35753	G	23936	2247	26183	0.00179
Phytohabitans	907364	G	22016	2472	24488	0.00168
Couchioplanes	56433	G	17515	3764	21279	0.00146
Plantactinospora	673534	G	16407	2531	18938	0.00130
Actinocatenispora	390988	G	15975	1695	17670	0.00121
Catellatospora	53365	G	12596	2342	14938	0.00102
Polymorphospora	338583	G	8195	1530	9725	0.00067
Natronosporangium	2920401	G	4677	269	4946	0.00034
Verrucosispora	84593	G	3878	2545	6423	0.00044
Salinispora	168694	G	2596	370	2966	0.00020
Actinomadura	1988	G	128657	20811	149468	0.01024
Thermomonospora	2019	G	13501	3376	16877	0.00116
Nonomuraea	83681	G	69225	10136	79361	0.00544
Streptosporangium	2000	G	26112	4276	30388	0.00208
Thermobispora	147067	G	5801	1146	6947	0.00048
Nocardiopsis	2013	G	20286	3325	23611	0.00162
Thermobifida	83677	G	8147	1410	9557	0.00065
Streptomonospora	104204	G	4415	743	5158	0.00035
Spiractinospora	2913367	G	3065	171	3236	0.00022
Blastococcus	38501	G	54265	14026	68291	0.00468
Modestobacter	88138	G	38223	10314	48537	0.00333
Geodermatophilus	1860	G	25625	7615	33240	0.00228
Actinomyces	1654	G	27729	3280	31009	0.00213
Schaalia	2529408	G	3571	576	4147	0.00028
Flaviflexus	1522056	G	2027	416	2443	0.00017
Trueperella	1069494	G	1699	446	2145	0.00015
Frankia	1854	G	37555	3139	40694	0.00279
Nakamurella	53460	G	28403	3655	32058	0.00220
Jiangella	281472	G	21793	3171	24964	0.00171
Bifidobacterium	1678	G	14186	3302	17488	0.00120
Catenulispora	414878	G	10331	1251	11582	0.00079
Jatrophihabitans	1434010	G	7835	573	8408	0.00058
Stackebrandtia	283810	G	4526	344	4870	0.00033
Kineococcus	33981	G	5211	1198	6409	0.00044
Epidermidibacterium	2078948	G	2993	1184	4177	0.00029
Actinopolyspora	1849	G	2412	206	2618	0.00018
Acidothermus	28048	G	1634	71	1705	0.00012
Conexibacter	191494	G	163263	20553	183816	0.01260
Miltoncostaea	2843200	G	33516	3694	37210	0.00255
Baekduia	2600304	G	71506	10068	81574	0.00559
Rubrobacter	42255	G	24554	916	25470	0.00175
Aquihabitans	1648491	G	25833	3728	29561	0.00203
Iamia	467975	G	11350	1593	12943	0.00089
Actinomarinicola	2789775	G	11198	1940	13138	0.00090
Ilumatobacter	682522	G	5468	287	5755	0.00039
Acidimicrobium	53634	G	2031	135	2166	0.00015
Eggerthella	84111	G	3705	1064	4769	0.00033
Gordonibacter	644652	G	1904	721	2625	0.00018
Adlercreutzia	447020	G	1642	292	1934	0.00013
Arabiibacter	2005386	G	1609	266	1875	0.00013
Olsenella	133925	G	2515	497	3012	0.00021
Parolsenella	2082587	G	1610	517	2127	0.00015
Collinsella	102106	G	2216	586	2802	0.00019
Egibacter	1747770	G	5470	268	5738	0.00039
Euzebya	908623	G	4999	340	5339	0.00037
Egicoccus	1755825	G	4969	634	5603	0.00038
Priestia	2800373	G	27066	25959	53025	0.00363
Bacillus	1386	G	11603	28846	40449	0.00277
Geobacillus	129337	G	2700	765	3465	0.00024
Hydrogenibacillus	1609627	G	1837	244	2081	0.00014
Peribacillus	2675229	G	1649	641	2290	0.00016
Anoxybacillus	150247	G	1154	264	1418	0.00010
Cytobacillus	2675230	G	1100	452	1552	0.00011
Paenibacillus	44249	G	41546	3836	45382	0.00311
Brevibacillus	55080	G	4030	664	4694	0.00032
Cohnella	329857	G	2997	398	3395	0.00023
Thermobacillus	76632	G	1816	217	2033	0.00014
Saccharibacillus	456492	G	1286	138	1424	0.00010
Alicyclobacillus	29330	G	2799	198	2997	0.00021
Tumebacillus	432330	G	1856	597	2453	0.00017
