name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetales	85011	O	1863874	294805	2158679	0.16409
Micrococcales	85006	O	1006962	111501	1118463	0.08502
Propionibacteriales	85009	O	766504	102353	868857	0.06605
Corynebacteriales	85007	O	679862	55671	735533	0.05591
Pseudonocardiales	85010	O	500170	54072	554242	0.04213
Micromonosporales	85008	O	413030	40504	453534	0.03448
Streptosporangiales	85012	O	235283	27160	262443	0.01995
Geodermatophilales	1643682	O	108249	19564	127813	0.00972
Frankiales	85013	O	32622	2315	34937	0.00266
Actinomycetales	2037	O	27782	2840	30622	0.00233
Jiangellales	1217098	O	17678	2245	19923	0.00151
Nakamurellales	1643684	O	13901	1376	15277	0.00116
Catenulisporales	414714	O	10872	1138	12010	0.00091
Bifidobacteriales	85004	O	10241	1802	12043	0.00092
Jatrophihabitantales	2805415	O	7495	466	7961	0.00061
Glycomycetales	85014	O	4141	238	4379	0.00033
Kineosporiales	622452	O	4035	800	4835	0.00037
Sporichthyales	2495578	O	2446	859	3305	0.00025
Actinopolysporales	622450	O	1923	140	2063	0.00016
Acidothermales	1643683	O	1273	44	1317	0.00010
Solirubrobacterales	588673	O	140194	15204	155398	0.01181
Miltoncostaeales	2843198	O	27437	2563	30000	0.00228
Rubrobacterales	84996	O	77892	7714	85606	0.00651
Acidimicrobiales	84993	O	33746	2677	36423	0.00277
Eggerthellales	1643822	O	8282	937	9219	0.00070
Coriobacteriales	84999	O	6394	923	7317	0.00056
Egibacterales	1747768	O	3905	167	4072	0.00031
Euzebyales	908621	O	3405	202	3607	0.00027
Egicoccales	1755823	O	3395	379	3774	0.00029
Bacillales	1385	O	117018	50256	167274	0.01272
Lactobacillales	186826	O	4403	2188	6591	0.00050
Eubacteriales	186802	O	20934	2685	23619	0.00180
Thermoanaerobacterales	68295	O	2309	234	2543	0.00019
Selenomonadales	909929	O	2595	117	2712	0.00021
Limnochordales	1676649	O	1673	40	1713	0.00013
Deinococcales	118964	O	19622	1581	21203	0.00161
Thermales	68933	O	7181	299	7480	0.00057
Trueperales	2762275	O	1529	58	1587	0.00012
Synechococcales	1890424	O	12245	610	12855	0.00098
Nostocales	1161	O	3495	232	3727	0.00028
Gloeobacterales	307595	O	2468	37	2505	0.00019
Pseudanabaenales	2881377	O	2416	108	2524	0.00019
Oscillatoriales	1150	O	1565	134	1699	0.00013
Sphaerobacterales	85001	O	4859	257	5116	0.00039
Thermomicrobiales	189776	O	1087	20	1107	0.00008
Chloroflexales	32064	O	4205	140	4345	0.00033
Tepidiformales	2682226	O	2840	82	2922	0.00022
Ktedonobacterales	388448	O	2422	71	2493	0.00019
Ardenticatenales	1382929	O	2344	31	2375	0.00018
Caldilineales	475963	O	1103	68	1171	0.00009
Fimbriimonadales	1663425	O	1203	4	1207	0.00009
Hyphomicrobiales	356	O	2382566	83460	2466026	0.18746
Sphingomonadales	204457	O	466411	57844	524255	0.03985
Rhodospirillales	204441	O	161544	87131	248675	0.01890
Rhodobacterales	204455	O	112233	5076	117309	0.00892
Caulobacterales	204458	O	71244	4250	75494	0.00574
Maricaulales	2800059	O	3417	207	3624	0.00028
Hyphomonadales	2800060	O	2785	70	2855	0.00022
Parvularculales	255473	O	1092	47	1139	0.00009
Burkholderiales	80840	O	815147	131078	946225	0.07193
Nitrosomonadales	32003	O	49595	3045	52640	0.00400
Rhodocyclales	206389	O	41735	8156	49891	0.00379
Neisseriales	206351	O	28456	5148	33604	0.00255
Xanthomonadales	135614	O	253083	26662	279745	0.02126
Pseudomonadales	72274	O	208678	65731	274409	0.02086
Enterobacterales	91347	O	60030	57873	117903	0.00896
Oceanospirillales	135619	O	31656	2791	34447	0.00262
Chromatiales	135613	O	31266	1527	32793	0.00249
Aeromonadales	135624	O	12866	7117	19983	0.00152
Methylococcales	135618	O	10413	303	10716	0.00081
Alteromonadales	135622	O	6830	574	7404	0.00056
Cellvibrionales	1706369	O	6624	222	6846	0.00052
Nevskiales	1775403	O	5876	623	6499	0.00049
Acidiferrobacterales	1692040	O	5256	162	5418	0.00041
Vibrionales	135623	O	4008	1126	5134	0.00039
Moraxellales	2887326	O	2266	540	2806	0.00021
Immundisolibacterales	1934945	O	2084	1891	3975	0.00030
Thiotrichales	72273	O	1470	56	1526	0.00012
Legionellales	118969	O	1338	44	1382	0.00011
Salinisphaerales	742030	O	1174	31	1205	0.00009
Myxococcales	29	O	240151	28236	268387	0.02040
Desulfuromonadales	69541	O	19682	936	20618	0.00157
Desulfovibrionales	213115	O	15403	689	16092	0.00122
Desulfobacterales	213118	O	5361	235	5596	0.00043
Bradymonadales	1779134	O	4335	74	4409	0.00034
Desulfarculales	453227	O	1190	310	1500	0.00011
Syntrophobacterales	213462	O	1058	123	1181	0.00009
Campylobacterales	213849	O	2421	99	2520	0.00019
Bdellovibrionales	213481	O	1445	14	1459	0.00011
Acidithiobacillales	225057	O	1526	105	1631	0.00012
Isosphaerales	2691356	O	62413	4392	66805	0.00508
Gemmatales	2691355	O	53140	1242	54382	0.00413
Planctomycetales	112	O	27717	2580	30297	0.00230
Pirellulales	2691354	O	26184	446	26630	0.00202
Tepidisphaerales	1771349	O	5181	96	5277	0.00040
Phycisphaerales	666506	O	3375	147	3522	0.00027
Opitutales	415000	O	14814	517	15331	0.00117
Verrucomicrobiales	48461	O	9836	1234	11070	0.00084
Cytophagales	768507	O	21976	335	22311	0.00170
Sphingobacteriales	200666	O	12208	611	12819	0.00097
Chitinophagales	1853229	O	9286	86	9372	0.00071
Bacteroidales	171549	O	8211	1201	9412	0.00072
Flavobacteriales	200644	O	7561	394	7955	0.00060
Bacteroidetes Order II. Incertae sedis	1100069	O	6294	189	6483	0.00049
Chlorobiales	191411	O	2393	232	2625	0.00020
Gemmatimonadales	219686	O	49104	1922	51026	0.00388
Acidobacteriales	204433	O	28526	473	28999	0.00220
Bryobacterales	332160	O	4551	102	4653	0.00035
Vicinamibacterales	2910145	O	16686	2667	19353	0.00147
Acanthopleuribacterales	533206	O	1346	19	1365	0.00010
Nitrospirales	189778	O	3941	38	3979	0.00030
Spirochaetales	136	O	2032	71	2103	0.00016
Synergistales	649776	O	2262	610	2872	0.00022
Hypocreales	5125	O	30370	658	31028	0.00236
Glomerellales	1028384	O	1439	197	1636	0.00012
Sordariales	5139	O	4520	83	4603	0.00035
Magnaporthales	639021	O	1697	12	1709	0.00013
Eurotiales	5042	O	6346	141	6487	0.00049
Pleosporales	92860	O	1000	153	1153	0.00009
Saccharomycetales	4892	O	1600	101	1701	0.00013
Ustilaginales	5267	O	2776	52	2828	0.00021
Peronosporales	4776	O	5145	495	5640	0.00043
