name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetaceae	2062	F	2383638	427028	2810666	0.15234
Microbacteriaceae	85023	F	495537	57331	552868	0.02997
Micrococcaceae	1268	F	317537	58226	375763	0.02037
Intrasporangiaceae	85021	F	100799	20602	121401	0.00658
Cellulomonadaceae	85016	F	98756	26587	125343	0.00679
Promicromonosporaceae	85017	F	50238	15896	66134	0.00358
Ornithinimicrobiaceae	2805590	F	39518	6685	46203	0.00250
Dermabacteraceae	85020	F	27406	4223	31629	0.00171
Brevibacteriaceae	85019	F	26134	4311	30445	0.00165
Dermacoccaceae	145357	F	21370	4005	25375	0.00138
Bogoriellaceae	145358	F	19434	4739	24173	0.00131
Ruaniaceae	1331736	F	16320	16432	32752	0.00178
Beutenbergiaceae	125316	F	11107	2867	13974	0.00076
Sanguibacteraceae	145360	F	8031	2031	10062	0.00055
Dermatophilaceae	85018	F	3468	274	3742	0.00020
Kytococcaceae	2805426	F	3421	1505	4926	0.00027
Demequinaceae	1042322	F	1149	74	1223	0.00007
Nocardioidaceae	85015	F	834792	137431	972223	0.05270
Propionibacteriaceae	31957	F	88123	14397	102520	0.00556
Kribbellaceae	2726069	F	77982	9421	87403	0.00474
Actinopolymorphaceae	2805400	F	13330	1209	14539	0.00079
Mycobacteriaceae	1762	F	474363	51945	526308	0.02853
Nocardiaceae	85025	F	297938	50920	348858	0.01891
Corynebacteriaceae	1653	F	69061	14316	83377	0.00452
Gordoniaceae	85026	F	63151	10955	74106	0.00402
Tsukamurellaceae	85028	F	19633	3994	23627	0.00128
Dietziaceae	85029	F	10953	9687	20640	0.00112
Segniliparaceae	316606	F	1493	66	1559	0.00008
Pseudonocardiaceae	2070	F	786925	93656	880581	0.04773
Micromonosporaceae	28056	F	553827	61276	615103	0.03334
Thermomonosporaceae	2012	F	160608	24969	185577	0.01006
Streptosporangiaceae	2004	F	112057	14832	126889	0.00688
Nocardiopsaceae	83676	F	44867	6036	50903	0.00276
Geodermatophilaceae	85030	F	123967	25138	149105	0.00808
Frankiaceae	74712	F	64636	5416	70052	0.00380
Actinomycetaceae	2049	F	44216	5246	49462	0.00268
Jiangellaceae	1217100	F	29714	4201	33915	0.00184
Nakamurellaceae	85031	F	22807	2620	25427	0.00138
Bifidobacteriaceae	31953	F	17047	3330	20377	0.00110
Catenulisporaceae	414877	F	12318	1440	13758	0.00075
Jatrophihabitantaceae	2805416	F	9073	638	9711	0.00053
Glycomycetaceae	85034	F	6482	421	6903	0.00037
Kineosporiaceae	83778	F	5985	1326	7311	0.00040
Sporichthyaceae	85033	F	3590	1374	4964	0.00027
Actinopolysporaceae	622451	F	3013	248	3261	0.00018
Acidothermaceae	85032	F	1848	77	1925	0.00010
Conexibacteraceae	320583	F	162726	19334	182060	0.00987
Miltoncostaeaceae	2843199	F	34000	3571	37571	0.00204
Baekduiaceae	2600303	F	67623	8997	76620	0.00415
Rubrobacteraceae	84997	F	26155	917	27072	0.00147
Iamiaceae	633392	F	53897	5422	59319	0.00322
Ilumatobacteraceae	2448023	F	6300	318	6618	0.00036
Acidimicrobiaceae	84994	F	2075	133	2208	0.00012
Eggerthellaceae	1643826	F	14428	1892	16320	0.00088
Atopobiaceae	1643824	F	7399	1343	8742	0.00047
Coriobacteriaceae	84107	F	3059	594	3653	0.00020
Egibacteraceae	1747769	F	6107	286	6393	0.00035
Euzebyaceae	908622	F	5535	361	5896	0.00032
Egicoccaceae	1755824	F	5510	669	6179	0.00033
Bacillaceae	186817	F	65049	54537	119586	0.00648
Paenibacillaceae	186822	F	61107	4351	65458	0.00355
Alicyclobacillaceae	186823	F	6464	872	7336	0.00040
Planococcaceae	186818	F	3034	765	3799	0.00021
Thermoactinomycetaceae	186824	F	1964	2131	4095	0.00022
Staphylococcaceae	90964	F	1469	2496	3965	0.00021
Lactobacillaceae	33958	F	4516	1454	5970	0.00032
Streptococcaceae	1300	F	1672	1212	2884	0.00016
Oscillospiraceae	216572	F	10443	3250	13693	0.00074
Clostridiales Family XVII. Incertae Sedis	539000	F	7470	1698	9168	0.00050
Lachnospiraceae	186803	F	3398	1073	4471	0.00024
Symbiobacteriaceae	543349	F	3016	207	3223	0.00017
Clostridiaceae	31979	F	2967	563	3530	0.00019
Peptococcaceae	186807	F	1850	145	1995	0.00011
Christensenellaceae	990719	F	1079	396	1475	0.00008
Thermoanaerobacteraceae	186814	F	3606	576	4182	0.00023
Selenomonadaceae	1843491	F	3724	179	3903	0.00021
Veillonellaceae	31977	F	1271	312	1583	0.00009
Limnochordaceae	1676650	F	2921	91	3012	0.00016
Deinococcaceae	183710	F	35767	1722	37489	0.00203
Thermaceae	188786	F	12791	612	13403	0.00073
Trueperaceae	332247	F	2601	108	2709	0.00015
Synechococcaceae	1890426	F	16993	1658	18651	0.00101
Prochlorococcaceae	2881426	F	4121	756	4877	0.00026
Nostocaceae	1162	F	3287	1192	4479	0.00024
Calotrichaceae	2661849	F	1427	163	1590	0.00009
Leptolyngbyaceae	1890438	F	3346	235	3581	0.00019
Gloeobacteraceae	1890422	F	5106	103	5209	0.00028
Coleofasciculaceae	1892251	F	1051	346	1397	0.00008
Sphaerobacteraceae	85002	F	7197	357	7554	0.00041
Thermomicrobiaceae	189777	F	1885	32	1917	0.00010
Roseiflexaceae	1508635	F	5298	253	5551	0.00030
Chloroflexaceae	1106	F	1751	63	1814	0.00010
Tepidiformaceae	2682227	F	4717	159	4876	0.00026
Ardenticatenaceae	1382930	F	4464	71	4535	0.00025
Ktedonosporobacteraceae	2692416	F	2097	54	2151	0.00012
Caldilineaceae	475964	F	2069	112	2181	0.00012
Anaerolineaceae	292628	F	1748	1008	2756	0.00015
Fimbriimonadaceae	1663426	F	2806	12	2818	0.00015
Bradyrhizobiaceae	41294	F	985734	73566	1059300	0.05742
Phyllobacteriaceae	69277	F	336793	44877	381670	0.02069
Rhizobiaceae	82115	F	270862	49949	320811	0.01739
Methylobacteriaceae	119045	F	166476	20471	186947	0.01013
Xanthobacteraceae	335928	F	104258	13431	117689	0.00638
Hyphomicrobiaceae	45401	F	100821	7403	108224	0.00587
Boseaceae	2831100	F	49065	5905	54970	0.00298
Devosiaceae	2831106	F	42710	2889	45599	0.00247
Aurantimonadaceae	255475	F	33724	38297	72021	0.00390
Methylocystaceae	31993	F	25027	1642	26669	0.00145
Phreatobacteraceae	2843305	F	19605	2544	22149	0.00120
Stappiaceae	2821832	F	18921	3255	22176	0.00120
Beijerinckiaceae	45404	F	12205	685	12890	0.00070
Blastochloridaceae	2831090	F	11669	2125	13794	0.00075
