name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Mycobacterium dioxanotrophicus	482462	S	453728	57405	511133	0.04955
Mycobacterium sp. TY59	2775496	S	5584	899	6483	0.00063
Mycobacterium sp. DL440	2675523	S	5035	581	5616	0.00054
Mycobacterium sp. JS623	212767	S	3531	199	3730	0.00036
Mycobacterium sp. EPa45	1545728	S	2920	345	3265	0.00032
Mycobacterium sp. YC-RL4	1682113	S	2283	472	2755	0.00027
Mycobacterium sp. MS1601	1936029	S	2183	187	2370	0.00023
Mycobacterium sp. DL592	2675524	S	2139	233	2372	0.00023
Mycobacterium sp. IDR2000157661	2867005	S	2080	241	2321	0.00023
Mycobacterium sp. WY10	1920667	S	1006	4749	5755	0.00056
Mycobacterium mantenii	560555	S	6212	573	6785	0.00066
Mycobacterium colombiense	339268	S	5573	719	6292	0.00061
Mycobacterium avium	1764	S	4949	2536	7485	0.00073
Mycobacterium marseillense	701042	S	3622	625	4247	0.00041
Mycobacterium intracellulare	1767	S	2302	21252	23554	0.00228
Mycobacterium saskatchewanense	220927	S	2673	431	3104	0.00030
Mycobacterium heidelbergense	53376	S	2541	490	3031	0.00029
Mycobacterium parmense	185642	S	2541	392	2933	0.00028
Mycobacterium kubicae	120959	S	2153	285	2438	0.00024
Mycobacterium shigaense	722731	S	2118	233	2351	0.00023
Mycobacterium lentiflavum	141349	S	1945	385	2330	0.00023
Mycobacterium florentinum	292462	S	1925	368	2293	0.00022
Mycobacterium simiae	1784	S	1903	122	2025	0.00020
Mycobacterium stomatepiae	470076	S	1793	310	2103	0.00020
Mycobacterium rufum	318424	S	9810	1610	11420	0.00111
Mycobacterium virginiense	1795032	S	8762	1204	9966	0.00097
Mycobacterium goodii	134601	S	3771	656	4427	0.00043
Mycobacterium crocinum	388459	S	3669	1791	5460	0.00053
Mycobacterium conspicuum	44010	S	3662	330	3992	0.00039
Mycobacterium grossiae	1552759	S	2937	511	3448	0.00033
Mycobacterium frederiksbergense	117567	S	2920	476	3396	0.00033
Mycobacterium paraterrae	577492	S	2804	192	2996	0.00029
Mycobacterium diernhoferi	1801	S	2785	330	3115	0.00030
Mycobacterium cookii	1775	S	2364	155	2519	0.00024
Mycobacterium branderi	43348	S	2317	179	2496	0.00024
Mycobacterium holsaticum	152142	S	2230	209	2439	0.00024
Mycobacterium paragordonae	1389713	S	2013	168	2181	0.00021
Mycobacterium malmoense	1780	S	1983	244	2227	0.00022
Mycobacterium gordonae	1778	S	1770	91	1861	0.00018
Mycobacterium paraseoulense	590652	S	1635	287	1922	0.00019
Mycobacterium riyadhense	486698	S	1599	47	1646	0.00016
Mycobacterium seoulense	386911	S	1562	317	1879	0.00018
Mycobacterium vicinigordonae	1719132	S	1472	54	1526	0.00015
Mycobacterium kansasii	1768	S	1457	113	1570	0.00015
Mycobacterium noviomagense	459858	S	1453	78	1531	0.00015
Mycobacterium lacus	169765	S	1431	74	1505	0.00015
Mycobacterium ostraviense	2738409	S	1344	120	1464	0.00014
Mycobacterium koreense	1069220	S	1334	205	1539	0.00015
Mycobacterium heckeshornense	110505	S	1329	81	1410	0.00014
Mycobacterium shinjukuense	398694	S	1177	85	1262	0.00012
Mycobacterium basiliense	2094119	S	1093	27	1120	0.00011
Mycobacterium xenopi	1789	S	1085	91	1176	0.00011
Mycolicibacterium mageritense	53462	S	20963	2121	23084	0.00224
Mycolicibacterium fortuitum	1766	S	12623	2522	15145	0.00147
Mycolicibacterium neoaurum	1795	S	10132	2027	12159	0.00118
Mycolicibacterium boenickei	146017	S	8099	8780	16879	0.00164
Mycolicibacterium septicum	98668	S	7168	3712	10880	0.00105
Mycolicibacterium smegmatis	1772	S	6858	1516	8374	0.00081
Mycolicibacterium sp. YH-1	2908837	S	3864	2314	6178	0.00060
Mycolicibacterium litorale	758802	S	5511	956	6467	0.00063
Mycolicibacterium fluoranthenivorans	258505	S	4573	376	4949	0.00048
Mycolicibacterium alvei	67081	S	4532	726	5258	0.00051
Mycolicibacterium phocaicum	319706	S	4059	1552	5611	0.00054
Mycolicibacterium arabiense	1286181	S	3754	379	4133	0.00040
Mycolicibacterium madagascariense	212765	S	3360	332	3692	0.00036
Mycolicibacterium sediminis	1286180	S	3268	386	3654	0.00035
Mycolicibacterium parafortuitum	39692	S	3063	401	3464	0.00034
Mycolicibacterium vaccae	1810	S	3025	387	3412	0.00033
Mycolicibacterium rutilum	370526	S	2987	543	3530	0.00034
Mycolicibacterium tokaiense	39695	S	2912	282	3194	0.00031
Mycolicibacterium chubuense	1800	S	2840	379	3219	0.00031
Mycolicibacterium rhodesiae	36814	S	2789	284	3073	0.00030
Mycolicibacterium monacense	85693	S	2789	567	3356	0.00033
Mycolicibacterium phlei	1771	S	2781	610	3391	0.00033
Mycolicibacterium confluentis	28047	S	2759	270	3029	0.00029
Mycolicibacterium mucogenicum	56689	S	2738	842	3580	0.00035
Mycolicibacterium psychrotolerans	216929	S	2716	377	3093	0.00030
Mycolicibacterium helvum	1534349	S	2686	208	2894	0.00028
Mycolicibacterium chitae	1792	S	2658	411	3069	0.00030
Mycolicibacterium aichiense	1799	S	2558	263	2821	0.00027
Mycolicibacterium mengxianglii	2736649	S	2544	176	2720	0.00026
Mycolicibacterium aurum	1791	S	2514	215	2729	0.00026
Mycolicibacterium hassiacum	46351	S	2482	456	2938	0.00028
Mycolicibacterium poriferae	39694	S	2471	328	2799	0.00027
Mycolicibacterium baixiangningiae	2761578	S	2461	268	2729	0.00026
Mycolicibacterium moriokaense	39691	S	2402	189	2591	0.00025
Mycolicibacterium duvalii	39688	S	2384	303	2687	0.00026
Mycolicibacterium gilvum	1804	S	2357	505	2862	0.00028
Mycolicibacterium anyangense	1431246	S	2349	237	2586	0.00025
Mycolicibacterium celeriflavum	1249101	S	2337	264	2601	0.00025
Mycolicibacterium thermoresistibile	1797	S	2317	333	2650	0.00026
Mycolicibacterium gadium	1794	S	2274	196	2470	0.00024
Mycolicibacterium pulveris	36813	S	2255	241	2496	0.00024
