name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinomycetia	1760	C	9416506	456101	9872607	0.45759
Thermoleophilia	1497346	C	294185	35891	330076	0.01530
Rubrobacteria	84995	C	140712	16031	156743	0.00726
Acidimicrobiia	84992	C	79970	7862	87832	0.00407
Coriobacteriia	84998	C	33682	4826	38508	0.00178
Nitriliruptoria	908620	C	23431	1839	25270	0.00117
Bacilli	91061	C	238271	104876	343147	0.01590
Clostridia	186801	C	58954	8926	67880	0.00315
Negativicutes	909932	C	8485	845	9330	0.00043
Limnochordia	1676648	C	3711	129	3840	0.00018
Erysipelotrichia	526524	C	1017	270	1287	0.00006
Tissierellia	1737404	C	1003	803	1806	0.00008
Deinococci	188787	C	66145	42786	108931	0.00505
Gloeobacteria	307596	C	6685	14370	21055	0.00098
Thermomicrobia	189775	C	11657	368	12025	0.00056
Chloroflexia	32061	C	9165	267	9432	0.00044
Tepidiformia	2682225	C	6033	218	6251	0.00029
Ardenticatenia	1382928	C	5546	96	5642	0.00026
Caldilineae	475962	C	2760	137	2897	0.00013
Anaerolineae	292625	C	2272	35	2307	0.00011
Ktedonobacteria	388447	C	2035	47	2082	0.00010
Dehalococcoidia	301297	C	1623	1202	2825	0.00013
Fimbriimonadia	1663419	C	3261	16	3277	0.00015
Alphaproteobacteria	28211	C	4203453	329911	4533364	0.21012
Betaproteobacteria	28216	C	1913251	331960	2245211	0.10406
Gammaproteobacteria	1236	C	1312176	369979	1682155	0.07797
Deltaproteobacteria	28221	C	813151	48866	862017	0.03995
Epsilonproteobacteria	29547	C	6121	298	6419	0.00030
Acidithiobacillia	1807140	C	3212	313	3525	0.00016
Oligoflexia	1553900	C	1605	20	1625	0.00008
Hydrogenophilalia	2008785	C	1052	194	1246	0.00006
Planctomycetia	203683	C	398427	5916	404343	0.01874
Phycisphaerae	666505	C	21194	702	21896	0.00101
Opitutae	414999	C	38456	1426	39882	0.00185
Verrucomicrobiae	203494	C	19011	3017	22028	0.00102
Kiritimatiellae	1921781	C	1564	1459	3023	0.00014
Cytophagia	768503	C	56188	1130	57318	0.00266
Bacteroidia	200643	C	20322	3499	23821	0.00110
Chitinophagia	1853228	C	20317	254	20571	0.00095
Flavobacteriia	117743	C	17217	18443	35660	0.00165
Sphingobacteriia	117747	C	8194	655	8849	0.00041
Chlorobia	191410	C	6377	728	7105	0.00033
Gemmatimonadetes	219685	C	140761	7897	148658	0.00689
Vicinamibacteria	1813735	C	98831	5423	104254	0.00483
Acidobacteriia	204432	C	70124	1044	71168	0.00330
Blastocatellia	1562566	C	5843	163	6006	0.00028
Holophagae	533205	C	3963	72	4035	0.00019
Nitrospira	203693	C	17353	244	17597	0.00082
Spirochaetia	203692	C	6528	306	6834	0.00032
Synergistia	649775	C	5413	1533	6946	0.00032
Thermotogae	188708	C	1372	79	1451	0.00007
Sordariomycetes	147550	C	82623	1317	83940	0.00389
Eurotiomycetes	147545	C	12385	332	12717	0.00059
Dothideomycetes	147541	C	3707	432	4139	0.00019
Saccharomycetes	4891	C	3562	377	3939	0.00018
Ustilaginomycetes	5257	C	6257	120	6377	0.00030
Agaricomycetes	155619	C	2173	32	2205	0.00010
