name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinomycetia	1760	C	11879147	475378	12354525	0.50701
Thermoleophilia	1497346	C	291805	27334	319139	0.01310
Rubrobacteria	84995	C	135355	12876	148231	0.00608
Acidimicrobiia	84992	C	66364	5144	71508	0.00293
Coriobacteriia	84998	C	29501	3132	32633	0.00134
Nitriliruptoria	908620	C	20967	1277	22244	0.00091
Bacilli	91061	C	185438	61667	247105	0.01014
Clostridia	186801	C	45295	5325	50620	0.00208
Negativicutes	909932	C	7033	500	7533	0.00031
Limnochordia	1676648	C	3263	77	3340	0.00014
Deinococci	188787	C	57979	42076	100055	0.00411
Gloeobacteria	307596	C	5106	6586	11692	0.00048
Thermomicrobia	189775	C	10927	324	11251	0.00046
Chloroflexia	32061	C	7136	204	7340	0.00030
Tepidiformia	2682225	C	4794	132	4926	0.00020
Ardenticatenia	1382928	C	4520	58	4578	0.00019
Ktedonobacteria	388447	C	3273	81	3354	0.00014
Caldilineae	475962	C	2132	111	2243	0.00009
Anaerolineae	292625	C	1601	25	1626	0.00007
Dehalococcoidia	301297	C	1268	1170	2438	0.00010
Fimbriimonadia	1663419	C	2683	9	2692	0.00011
Mollicutes	31969	C	1080	201	1281	0.00005
Alphaproteobacteria	28211	C	5133413	265106	5398519	0.22155
Betaproteobacteria	28216	C	1817094	249205	2066299	0.08480
Gammaproteobacteria	1236	C	1458371	280347	1738718	0.07135
Deltaproteobacteria	28221	C	556296	35708	592004	0.02429
Epsilonproteobacteria	29547	C	5498	200	5698	0.00023
Acidithiobacillia	1807140	C	2631	186	2817	0.00012
Oligoflexia	1553900	C	2467	22	2489	0.00010
Chitinophagia	1853228	C	190306	1231	191537	0.00786
Cytophagia	768503	C	56108	897	57005	0.00234
Sphingobacteriia	117747	C	41654	2352	44006	0.00181
Flavobacteriia	117743	C	22714	1385	24099	0.00099
Bacteroidia	200643	C	18212	16321	34533	0.00142
Chlorobia	191410	C	4895	486	5381	0.00022
Gemmatimonadetes	219685	C	117888	4831	122719	0.00504
Planctomycetia	203683	C	352240	4270	356510	0.01463
Phycisphaerae	666505	C	19969	519	20488	0.00084
Opitutae	414999	C	31506	925	32431	0.00133
Verrucomicrobiae	203494	C	18541	2373	20914	0.00086
Kiritimatiellae	1921781	C	1218	990	2208	0.00009
Acidobacteriia	204432	C	70292	795	71087	0.00292
Vicinamibacteria	1813735	C	39045	1747	40792	0.00167
Blastocatellia	1562566	C	4030	117	4147	0.00017
Holophagae	533205	C	2686	38	2724	0.00011
Nitrospira	203693	C	8658	90	8748	0.00036
Spirochaetia	203692	C	5453	209	5662	0.00023
Synergistia	649775	C	4529	260	4789	0.00020
Thermotogae	188708	C	1138	44	1182	0.00005
Sordariomycetes	147550	C	72738	1307	74045	0.00304
Eurotiomycetes	147545	C	8862	256	9118	0.00037
Dothideomycetes	147541	C	3436	427	3863	0.00016
Saccharomycetes	4891	C	3586	286	3872	0.00016
Ustilaginomycetes	5257	C	6027	277	6304	0.00026
Agaricomycetes	155619	C	2339	53	2392	0.00010
