name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinobacteria	201174	P	8285683	362737	8648420	0.46324
Firmicutes	1239	P	250278	101508	351786	0.01884
Deinococcus-Thermus	1297	P	62057	2918	64975	0.00348
Cyanobacteria	1117	P	61525	1473	62998	0.00337
Chloroflexi	200795	P	42215	701	42916	0.00230
Armatimonadetes	67819	P	3783	22	3805	0.00020
Proteobacteria	1224	P	7987528	522550	8510078	0.45583
Planctomycetes	203682	P	343867	3926	347793	0.01863
Verrucomicrobia	74201	P	60219	1690	61909	0.00332
Kiritimatiellaeota	134625	P	2097	1489	3586	0.00019
Bacteroidetes	976	P	138180	2979	141159	0.00756
Chlorobi	1090	P	6242	225	6467	0.00035
Gemmatimonadetes	142182	P	123571	6952	130523	0.00699
Acidobacteria	57723	P	152294	4186	156480	0.00838
Nitrospirae	40117	P	20338	288	20626	0.00110
Spirochaetes	203691	P	6447	331	6778	0.00036
Synergistetes	508458	P	5596	458	6054	0.00032
Candidatus Bipolaricaulota	67810	P	1141	45	1186	0.00006
Thermotogae	200918	P	1615	87	1702	0.00009
Aquificae	200783	P	1079	15	1094	0.00006
Ascomycota	4890	P	77581	833	78414	0.00420
Basidiomycota	5204	P	8101	185	8286	0.00044
Oomycota	4762	P	11065	1303	12368	0.00066
