name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces sp. 3214.6	1882757	S	24182	7652	31834	0.00170
Streptomyces sp. A2-16	2781734	S	23800	7988	31788	0.00169
Streptomyces sp. CdTB01	1725411	S	18896	5772	24668	0.00131
Streptomyces sp. So13.3	2136173	S	17666	3324	20990	0.00112
Streptomyces sp. BH-MK-02	2880933	S	17543	3941	21484	0.00114
Streptomyces sp. SN-593	659352	S	17421	4055	21476	0.00114
Streptomyces sp. GQFP	2907545	S	17265	3169	20434	0.00109
Streptomyces sp. P3	2135430	S	16723	4535	21258	0.00113
Streptomyces sp. WAC 01438	2203204	S	15194	5442	20636	0.00110
Streptomyces sp. ZYC-3	2797636	S	12904	2779	15683	0.00084
Streptomyces sp. CB01881	2078691	S	12613	2284	14897	0.00079
Streptomyces sp. NA02950	2742137	S	11911	2446	14357	0.00076
Streptomyces sp. SCSIO 64649	2878388	S	11572	2029	13601	0.00072
Streptomyces sp. ST1015	1848900	S	10983	2423	13406	0.00071
Streptomyces sp. NHF165	2175864	S	10364	1795	12159	0.00065
Streptomyces sp. Z423-1	2730915	S	9768	3038	12806	0.00068
Streptomyces sp. LRE541	2931983	S	9710	2406	12116	0.00065
Streptomyces sp. MA3_2.13	2867410	S	9464	1191	10655	0.00057
Streptomyces sp. SCUT-3	2684469	S	9456	3621	13077	0.00070
Streptomyces sp. BJ20	2930049	S	9167	3925	13092	0.00070
Streptomyces sp. RPA4-2	2721244	S	8818	2796	11614	0.00062
Streptomyces sp. SAT1	1849967	S	8742	3382	12124	0.00065
Streptomyces sp. DSM 40868	2721173	S	8641	3387	12028	0.00064
Streptomyces sp. 3025	2923272	S	8617	1546	10163	0.00054
Streptomyces sp. NEAU-sy36	2751189	S	8475	3354	11829	0.00063
Streptomyces sp. RTd22	1841249	S	8442	4775	13217	0.00070
Streptomyces sp. 891-h	2720714	S	8285	1540	9825	0.00052
Streptomyces sp. YIM 121038	2136401	S	8057	2488	10545	0.00056
Streptomyces sp. Go 40/10	2825844	S	7857	3835	11692	0.00062
Streptomyces sp. MG28	2865673	S	7830	3194	11024	0.00059
Streptomyces sp. Rer75	2750011	S	7767	4851	12618	0.00067
Streptomyces sp. AMCC400023	2056258	S	7730	3613	11343	0.00060
Streptomyces sp. JB150	2714844	S	7683	2713	10396	0.00055
Streptomyces sp. GMY02	1333528	S	7584	1372	8956	0.00048
Streptomyces sp. SYP-A7193	2662065	S	7575	5382	12957	0.00069
Streptomyces sp. HM190	2695266	S	7541	2551	10092	0.00054
Streptomyces sp. MBT27	1488356	S	7369	2220	9589	0.00051
Streptomyces sp. MST-110588	2833628	S	7290	1805	9095	0.00048
Streptomyces sp. MG62	2838015	S	7266	2949	10215	0.00054
Streptomyces sp. Go-475	2072505	S	7210	3600	10810	0.00058
Streptomyces sp. W1SF4	2305220	S	7129	2630	9759	0.00052
Streptomyces sp. NA04227	2742136	S	7115	1659	8774	0.00047
Streptomyces sp. GS7	2692234	S	6942	1947	8889	0.00047
