name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetaceae	2062	F	1921624	384490	2306114	0.12878
Microbacteriaceae	85023	F	474642	66626	541268	0.03023
Micrococcaceae	1268	F	205814	45153	250967	0.01401
Cellulomonadaceae	85016	F	91790	27962	119752	0.00669
Intrasporangiaceae	85021	F	80090	18725	98815	0.00552
Promicromonosporaceae	85017	F	46739	16338	63077	0.00352
Ornithinimicrobiaceae	2805590	F	36356	7032	43388	0.00242
Dermabacteraceae	85020	F	27323	4814	32137	0.00179
Brevibacteriaceae	85019	F	26493	4887	31380	0.00175
Dermacoccaceae	145357	F	18855	3979	22834	0.00128
Bogoriellaceae	145358	F	18304	5022	23326	0.00130
Ruaniaceae	1331736	F	15675	16084	31759	0.00177
Beutenbergiaceae	125316	F	11247	3234	14481	0.00081
Sanguibacteraceae	145360	F	7977	2236	10213	0.00057
Dermatophilaceae	85018	F	3435	308	3743	0.00021
Kytococcaceae	2805426	F	3125	1577	4702	0.00026
Demequinaceae	1042322	F	1190	87	1277	0.00007
Mycobacteriaceae	1762	F	457872	55755	513627	0.02868
Nocardiaceae	85025	F	252204	48236	300440	0.01678
Corynebacteriaceae	1653	F	70496	18159	88655	0.00495
Gordoniaceae	85026	F	61092	11799	72891	0.00407
Tsukamurellaceae	85028	F	18913	4334	23247	0.00130
Dietziaceae	85029	F	10888	10292	21180	0.00118
Segniliparaceae	316606	F	1565	80	1645	0.00009
Nocardioidaceae	85015	F	684860	131662	816522	0.04560
Propionibacteriaceae	31957	F	83270	14545	97815	0.00546
Kribbellaceae	2726069	F	78207	10789	88996	0.00497
Actinopolymorphaceae	2805400	F	16611	1743	18354	0.00102
Pseudonocardiaceae	2070	F	713678	98436	812114	0.04535
Micromonosporaceae	28056	F	483124	62826	545950	0.03049
Thermomonosporaceae	2012	F	191277	33985	225262	0.01258
Streptosporangiaceae	2004	F	106560	16096	122656	0.00685
Nocardiopsaceae	83676	F	43105	6985	50090	0.00280
Geodermatophilaceae	85030	F	93386	22136	115522	0.00645
Actinomycetaceae	2049	F	45253	6403	51656	0.00288
Frankiaceae	74712	F	42796	4021	46817	0.00261
Jiangellaceae	1217100	F	26903	4441	31344	0.00175
Bifidobacteriaceae	31953	F	18547	6754	25301	0.00141
Nakamurellaceae	85031	F	16880	2107	18987	0.00106
Catenulisporaceae	414877	F	11514	1571	13085	0.00073
Jatrophihabitantaceae	2805416	F	8920	737	9657	0.00054
Glycomycetaceae	85034	F	6534	496	7030	0.00039
Kineosporiaceae	83778	F	5586	1449	7035	0.00039
Sporichthyaceae	85033	F	3676	1633	5309	0.00030
Actinopolysporaceae	622451	F	2918	280	3198	0.00018
Acidothermaceae	85032	F	1946	96	2042	0.00011
Conexibacteraceae	320583	F	152146	21050	173196	0.00967
Miltoncostaeaceae	2843199	F	35414	4389	39803	0.00222
Baekduiaceae	2600303	F	58315	9220	67535	0.00377
Rubrobacteraceae	84997	F	28511	1200	29711	0.00166
Iamiaceae	633392	F	53853	6422	60275	0.00337
Ilumatobacteraceae	2448023	F	6646	387	7033	0.00039
Acidimicrobiaceae	84994	F	2478	183	2661	0.00015
Eggerthellaceae	1643826	F	16436	2587	19023	0.00106
Atopobiaceae	1643824	F	8205	1784	9989	0.00056
Coriobacteriaceae	84107	F	3519	794	4313	0.00024
Egibacteraceae	1747769	F	6697	368	7065	0.00039
Egicoccaceae	1755824	F	6024	863	6887	0.00038
Euzebyaceae	908622	F	5777	441	6218	0.00035
Paenibacillaceae	186822	F	68010	5697	73707	0.00412
Bacillaceae	186817	F	46186	48850	95036	0.00531
Alicyclobacillaceae	186823	F	7896	1264	9160	0.00051
Planococcaceae	186818	F	3080	938	4018	0.00022
Thermoactinomycetaceae	186824	F	2648	2686	5334	0.00030
Staphylococcaceae	90964	F	1478	11609	13087	0.00073
Lactobacillaceae	33958	F	5005	2107	7112	0.00040
Streptococcaceae	1300	F	1773	1417	3190	0.00018
Oscillospiraceae	216572	F	11665	4209	15874	0.00089
Clostridiales Family XVII. Incertae Sedis	539000	F	8773	2121	10894	0.00061
Lachnospiraceae	186803	F	3757	1397	5154	0.00029
Symbiobacteriaceae	543349	F	3610	295	3905	0.00022
Clostridiaceae	31979	F	3070	614	3684	0.00021
Peptococcaceae	186807	F	2308	187	2495	0.00014
Christensenellaceae	990719	F	1212	519	1731	0.00010
Desulfitobacteriaceae	2937909	F	1055	108	1163	0.00006
Heliobacteriaceae	31984	F	1052	391	1443	0.00008
Eubacteriaceae	186806	F	1006	213	1219	0.00007
Thermoanaerobacteraceae	186814	F	4371	604	4975	0.00028
Selenomonadaceae	1843491	F	4694	270	4964	0.00028
Veillonellaceae	31977	F	1451	457	1908	0.00011
Limnochordaceae	1676650	F	3532	136	3668	0.00020
Deinococcaceae	183710	F	39258	4411	43669	0.00244
Thermaceae	188786	F	15022	858	15880	0.00089
Trueperaceae	332247	F	2877	137	3014	0.00017
Synechococcaceae	1890426	F	18861	2064	20925	0.00117
Prochlorococcaceae	2881426	F	4227	840	5067	0.00028
Nostocaceae	1162	F	4156	1547	5703	0.00032
Calotrichaceae	2661849	F	1845	218	2063	0.00012
Leptolyngbyaceae	1890438	F	4279	346	4625	0.00026
Gloeobacteraceae	1890422	F	6052	146	6198	0.00035
Coleofasciculaceae	1892251	F	1170	236	1406	0.00008
Oscillatoriaceae	1892254	F	1107	262	1369	0.00008
