name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetales	85011	O	971675	182896	1154571	0.14406
Micrococcales	85006	O	591548	77927	669475	0.08353
Corynebacteriales	85007	O	446133	46346	492479	0.06145
Propionibacteriales	85009	O	424414	70209	494623	0.06172
Pseudonocardiales	85010	O	377348	49736	427084	0.05329
Micromonosporales	85008	O	247523	29209	276732	0.03453
Streptosporangiales	85012	O	149006	21067	170073	0.02122
Geodermatophilales	1643682	O	76400	16796	93196	0.01163
Frankiales	85013	O	20693	1805	22498	0.00281
Actinomycetales	2037	O	20599	2635	23234	0.00290
Jiangellales	1217098	O	12202	1874	14076	0.00176
Nakamurellales	1643684	O	11011	1390	12401	0.00155
Bifidobacteriales	85004	O	7800	1648	9448	0.00118
Catenulisporales	414714	O	6070	776	6846	0.00085
Jatrophihabitantales	2805415	O	5268	403	5671	0.00071
Glycomycetales	85014	O	3064	219	3283	0.00041
Kineosporiales	622452	O	2851	692	3543	0.00044
Sporichthyales	2495578	O	1772	744	2516	0.00031
Actinopolysporales	622450	O	1384	124	1508	0.00019
Solirubrobacterales	588673	O	81772	10478	92250	0.01151
Miltoncostaeales	2843198	O	18647	2167	20814	0.00260
Rubrobacterales	84996	O	43692	4978	48670	0.00607
Acidimicrobiales	84993	O	30006	2887	32893	0.00410
Eggerthellales	1643822	O	6825	961	7786	0.00097
Coriobacteriales	84999	O	4954	888	5842	0.00073
Egibacterales	1747768	O	2915	148	3063	0.00038
Egicoccales	1755823	O	2586	342	2928	0.00037
Euzebyales	908621	O	2545	179	2724	0.00034
Bacillales	1385	O	64916	24505	89421	0.01116
Lactobacillales	186826	O	3668	3220	6888	0.00086
Eubacteriales	186802	O	17417	3750	21167	0.00264
Thermoanaerobacterales	68295	O	2025	258	2283	0.00028
Selenomonadales	909929	O	2230	146	2376	0.00030
Limnochordales	1676649	O	1409	47	1456	0.00018
Deinococcales	118964	O	16256	1398	17654	0.00220
Thermales	68933	O	5979	306	6285	0.00078
Trueperales	2762275	O	1134	52	1186	0.00015
Synechococcales	1890424	O	10304	661	10965	0.00137
Nostocales	1161	O	3184	248	3432	0.00043
Gloeobacterales	307595	O	2245	45	2290	0.00029
