name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces	1883	G	187430	47570	235000	0.15903
Kitasatospora	2063	G	2897	1014	3911	0.00265
Streptacidiphilus	228398	G	1877	545	2422	0.00164
Yinghuangia	2805681	G	1824	295	2119	0.00143
Microbacterium	33882	G	16433	3199	19632	0.01329
Agromyces	33877	G	4881	1352	6233	0.00422
Curtobacterium	2034	G	3710	886	4596	0.00311
Rathayibacter	33886	G	2806	740	3546	0.00240
Leifsonia	110932	G	2377	421	2798	0.00189
Leucobacter	55968	G	2300	503	2803	0.00190
Clavibacter	1573	G	2239	1291	3530	0.00239
Agrococcus	46352	G	2092	637	2729	0.00185
Arthrobacter	1663	G	14894	4132	19026	0.01288
Pseudarthrobacter	1742993	G	2420	963	3383	0.00229
Kocuria	57493	G	1902	597	2499	0.00169
Sinomonas	596707	G	1066	289	1355	0.00092
Intrasporangium	53357	G	2237	635	2872	0.00194
Janibacter	53457	G	2236	720	2956	0.00200
Phycicoccus	367298	G	2024	642	2666	0.00180
Pedococcus	2805645	G	1808	607	2415	0.00163
Tetrasphaera	99479	G	1500	448	1948	0.00132
Cellulomonas	1707	G	7622	3077	10699	0.00724
Cellulosimicrobium	157920	G	2238	1066	3304	0.00224
Xylanimonas	186188	G	1267	474	1741	0.00118
Ornithinimicrobium	125287	G	2182	503	2685	0.00182
Serinicoccus	265976	G	1675	510	2185	0.00148
Brachybacterium	43668	G	2455	458	2913	0.00197
Brevibacterium	1696	G	2507	533	3040	0.00206
Georgenia	154116	G	1911	628	2539	0.00172
Ruania	626119	G	1614	216	1830	0.00124
Nocardioides	1839	G	72165	16305	88470	0.05987
Aeromicrobium	2040	G	3650	741	4391	0.00297
Marmoricola	86795	G	1127	441	1568	0.00106
Microlunatus	29404	G	2727	342	3069	0.00208
Tessaracoccus	72763	G	2048	565	2613	0.00177
Kribbella	182639	G	5658	845	6503	0.00440
Actinopolymorpha	117156	G	1429	162	1591	0.00108
Mycobacterium	1763	G	20615	5443	26058	0.01763
Mycolicibacterium	1866885	G	20090	3597	23687	0.01603
Mycolicibacter	1073531	G	1392	533	1925	0.00130
Mycobacteroides	670516	G	1023	249	1272	0.00086
Nocardia	1817	G	11975	2108	14083	0.00953
Rhodococcus	1827	G	11558	2923	14481	0.00980
Corynebacterium	1716	G	6635	1772	8407	0.00569
Gordonia	2053	G	5529	1220	6749	0.00457
Tsukamurella	2060	G	1782	448	2230	0.00151
Dietzia	37914	G	1059	226	1285	0.00087
Amycolatopsis	1813	G	24755	5467	30222	0.02045
Pseudonocardia	1847	G	17313	3136	20449	0.01384
Saccharopolyspora	1835	G	3635	711	4346	0.00294
Saccharothrix	2071	G	3065	861	3926	0.00266
Saccharomonospora	1851	G	2128	383	2511	0.00170
Kutzneria	43356	G	2097	435	2532	0.00171
Actinoalloteichus	65496	G	1628	162	1790	0.00121
Actinosynnema	40566	G	1136	361	1497	0.00101
Micromonospora	1873	G	19434	5387	24821	0.01680
Actinoplanes	1865	G	13172	1988	15160	0.01026
Phytohabitans	907364	G	2551	355	2906	0.00197
Dactylosporangium	35753	G	2473	288	2761	0.00187
Actinocatenispora	390988	G	1901	246	2147	0.00145
Plantactinospora	673534	G	1805	350	2155	0.00146
Couchioplanes	56433	G	1629	442	2071	0.00140
Catellatospora	53365	G	1379	319	1698	0.00115
Actinomadura	1988	G	17580	3419	20999	0.01421
Thermomonospora	2019	G	1578	461	2039	0.00138
Nonomuraea	83681	G	6512	1126	7638	0.00517
Streptosporangium	2000	G	2815	548	3363	0.00228
Nocardiopsis	2013	G	2224	478	2702	0.00183
Blastococcus	38501	G	6676	2051	8727	0.00591
Modestobacter	88138	G	4640	1493	6133	0.00415
Geodermatophilus	1860	G	3142	1099	4241	0.00287
Actinomyces	1654	G	2980	435	3415	0.00231
Frankia	1854	G	4192	442	4634	0.00314
Jiangella	281472	G	2866	506	3372	0.00228
Nakamurella	53460	G	1885	258	2143	0.00145
Bifidobacterium	1678	G	1607	407	2014	0.00136
Catenulispora	414878	G	1168	172	1340	0.00091
Jatrophihabitans	1434010	G	1082	98	1180	0.00080
Conexibacter	191494	G	20065	3200	23265	0.01574
Miltoncostaea	2843200	G	4153	602	4755	0.00322
Baekduia	2600304	G	7641	1380	9021	0.00610
Rubrobacter	42255	G	3085	155	3240	0.00219
Aquihabitans	1648491	G	2603	465	3068	0.00208
Actinomarinicola	2789775	G	1159	245	1404	0.00095
Iamia	467975	G	1138	190	1328	0.00090
Bacillus	1386	G	2295	5944	8239	0.00558
Priestia	2800373	G	2259	2447	4706	0.00319
Paenibacillus	44249	G	5103	802	5905	0.00400
Deinococcus	1298	G	3538	370	3908	0.00265
Synechococcus	1129	G	1611	335	1946	0.00132
Bradyrhizobium	374	G	72243	10058	82301	0.05569
Rhodopseudomonas	1073	G	3861	1529	5390	0.00365
Nitrobacter	911	G	1415	164	1579	0.00107
Tardiphaga	1395974	G	1386	190	1576	0.00107
Afipia	1033	G	1130	373	1503	0.00102
Mesorhizobium	68287	G	18433	4307	22740	0.01539
Aquibium	2911176	G	1004	243	1247	0.00084
Rhizobium	379	G	10218	2333	12551	0.00849
Agrobacterium	357	G	1905	666	2571	0.00174
Sinorhizobium	28105	G	2148	1043	3191	0.00216
Ensifer	106591	G	1900	409	2309	0.00156
Shinella	323620	G	1616	1321	2937	0.00199
Methylobacterium	407	G	9979	1932	11911	0.00806
Microvirga	186650	G	3035	391	3426	0.00232
Methylorubrum	2282523	G	2169	918	3087	0.00209
Pseudolabrys	556257	G	5815	903	6718	0.00455
Starkeya	152053	G	1430	376	1806	0.00122
Xanthobacter	279	G	1301	309	1610	0.00109
Ancylobacter	99	G	1246	444	1690	0.00114
Rhodoplanes	29407	G	5786	599	6385	0.00432
Hyphomicrobium	81	G	1516	114	1630	0.00110
Bosea	85413	G	4082	669	4751	0.00322
Devosia	46913	G	2587	277	2864	0.00194
Aureimonas	414371	G	1756	370	2126	0.00144
Nordella	169055	G	1195	69	1264	0.00086
Pseudorhodoplanes	1734920	G	1143	86	1229	0.00083
Methylocystis	133	G	1722	195	1917	0.00130
Phreatobacter	1632780	G	1862	335	2197	0.00149
Blastochloris	59282	G	1148	283	1431	0.00097
Chelatococcus	28209	G	1035	244	1279	0.00087
Sphingomonas	13687	G	24043	3614	27657	0.01872
Sphingopyxis	165697	G	4291	987	5278	0.00357
Sphingobium	165695	G	4131	2263	6394	0.00433
Novosphingobium	165696	G	3321	1426	4747	0.00321
Rhizorhabdus	1649486	G	1311	635	1946	0.00132
Erythrobacter	1041	G	1979	744	2723	0.00184
Qipengyuania	1855416	G	1220	469	1689	0.00114
Sphingosinicella	335405	G	1024	134	1158	0.00078
Azospirillum	191	G	6335	934	7269	0.00492
Skermanella	204447	G	2367	362	2729	0.00185
Roseomonas	125216	G	3658	996	4654	0.00315
Hypericibacter	2705399	G	2032	133	2165	0.00147
Magnetospirillum	13134	G	1183	29774	30957	0.02095
Stella	93	G	1143	89	1232	0.00083
Paracoccus	265	G	3541	1645	5186	0.00351
Caulobacter	75	G	4361	547	4908	0.00332
Brevundimonas	41275	G	3440	579	4019	0.00272
Phenylobacterium	20	G	1294	219	1513	0.00102
Burkholderia	32008	G	17184	7250	24434	0.01653
Paraburkholderia	1822464	G	9718	1564	11282	0.00764
Cupriavidus	106589	G	8319	4097	12416	0.00840
Caballeronia	1827195	G	2491	496	2987	0.00202
Ralstonia	48736	G	2459	2581	5040	0.00341
Pandoraea	93217	G	2277	501	2778	0.00188
Variovorax	34072	G	8324	3965	12289	0.00832
Hydrogenophaga	47420	G	3114	1991	5105	0.00345
Acidovorax	12916	G	3054	2259	5313	0.00360
Ramlibacter	174951	G	1911	1056	2967	0.00201
Comamonas	283	G	1787	1117	2904	0.00197
Rhodoferax	28065	G	1490	491	1981	0.00134
Schlegelella	215579	G	1016	438	1454	0.00098
Massilia	149698	G	8153	2063	10216	0.00691
Janthinobacterium	29580	G	1499	416	1915	0.00130
Herbaspirillum	963	G	1479	380	1859	0.00126
Achromobacter	222	G	5237	3089	8326	0.00563
Bordetella	517	G	4169	2187	6356	0.00430
Rhizobacter	212743	G	1247	585	1832	0.00124
Thauera	33057	G	1801	1618	3419	0.00231
Azoarcus	12960	G	1516	686	2202	0.00149
Aromatoleum	551759	G	1492	653	2145	0.00145
Usitatibacter	2803845	G	2929	395	3324	0.00225
Chromobacterium	535	G	1468	558	2026	0.00137
Lysobacter	68	G	9456	2495	11951	0.00809
Stenotrophomonas	40323	G	4124	2398	6522	0.00441
Xanthomonas	338	G	3983	2047	6030	0.00408
Luteimonas	83614	G	2492	631	3123	0.00211
Pseudoxanthomonas	83618	G	1697	918	2615	0.00177
Thermomonas	141948	G	1141	382	1523	0.00103
Luteibacter	242605	G	1915	253	2168	0.00147
Frateuria	70411	G	1642	450	2092	0.00142
Rhodanobacter	75309	G	1362	324	1686	0.00114
Dyella	231454	G	1226	217	1443	0.00098
Pseudomonas	286	G	27498	12668	40166	0.02718
Serratia	613	G	1384	1158	2542	0.00172
Halomonas	2745	G	3290	829	4119	0.00279
Aeromonas	642	G	1922	2183	4105	0.00278
Anaeromyxobacter	161492	G	7466	934	8400	0.00568
Corallococcus	83461	G	2453	1029	3482	0.00236
Myxococcus	32	G	2414	629	3043	0.00206
Pyxidicoccus	224458	G	1114	211	1325	0.00090
Archangium	47	G	2614	805	3419	0.00231
Sorangium	39643	G	9579	1480	11059	0.00748
Polyangium	55	G	2251	253	2504	0.00169
Chondromyces	50	G	1168	62	1230	0.00083
Sandaracinus	1055688	G	3757	266	4023	0.00272
Labilithrix	1524217	G	2210	121	2331	0.00158
Haliangium	162027	G	1676	185	1861	0.00126
Geomonas	2651583	G	1211	351	1562	0.00106
Geobacter	28231	G	1017	226	1243	0.00084
Gemmata	113	G	3673	426	4099	0.00277
Urbifossiella	2807415	G	3032	293	3325	0.00225
Frigoriglobus	2774146	G	2075	337	2412	0.00163
Limnoglobus	2731450	G	1623	80	1703	0.00115
Aquisphaera	1511635	G	2919	498	3417	0.00231
Tautonia	2680020	G	2634	233	2867	0.00194
Paludisphaera	1763521	G	2051	414	2465	0.00167
Singulisphaera	466152	G	1705	231	1936	0.00131
Lacipirellula	2691417	G	1159	221	1380	0.00093
Planctomyces	118	G	2352	698	3050	0.00206
Opitutus	178440	G	1164	229	1393	0.00094
Hymenobacter	89966	G	2436	522	2958	0.00200
Gemmatirosa	1706036	G	8295	909	9204	0.00623
Gemmatimonas	173479	G	2867	89	2956	0.00200
Granulicella	940557	G	1610	221	1831	0.00124
Terriglobus	392733	G	1175	191	1366	0.00092
Candidatus Koribacter	658061	G	1165	52	1217	0.00082
Acidobacterium	33973	G	1065	116	1181	0.00080
Paludibaculum	1649475	G	1181	37	1218	0.00082
Luteitalea	2004797	G	5846	438	6284	0.00425
Nitrospira	1234	G	1259	23	1282	0.00087
Fusarium	5506	G	2529	496	3025	0.00205
